	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
ENSG00000099139	653.33206	7741.193	893.622199	1042.364738	6034.999361	263.352157	275.781735	19628.090915	856.3409939999999	726.627515	16.958631	17548.047197	69.94949	227.002946	5631.020564	75.32214499999999	97.839629	217.06722599999998	3903.9934369999996	785.217813	1985.8204	212.92022599999999	1243.309857	117.87848000000001	131.745384	326.247343	123.65365	143.31108899999998	12825.803270999999	136.861627	274.457661	425.19109800000007	220.326048	258.96952999999996	348.422772	12028.382398	260.44573199999996	406.398698	15452.605827000001	327.95044	300.166403	106.27888600000001	56.775075	3647.5919740000004	168.86508899999998	341.158783	680.655873	311.700675
ENSG00000069869	3468.6791020000005	8396.666170999999	1939.3483039999999	3214.663043	5291.407602	1583.569951	856.154698	5382.873703	2140.611003	2700.139609	225.64825699999997	6242.017395	384.289128	1239.707156	7596.2017319999995	688.605649	837.457718	465.010771	9240.096016	4518.441375	5895.603601	370.124408	3556.5587119999996	634.004738	1121.346165	1950.7025620000002	647.184215	436.97496500000005	7047.314501999999	724.050083	1736.1096949999999	2523.3772289999997	786.683963	1127.841835	1257.412556	7319.297839	692.839011	1672.8826279999998	5912.4555740000005	1678.3715739999998	1306.288217	608.681064	457.27853600000003	5362.537585	1312.1800970000002	2481.158754	1531.727025	2096.627817
ENSG00000135968	3712.132707	236.369146	2292.420173	5793.03654	199.363293	3291.0195510000003	3580.712824	231.969553	8799.122476999999	4203.485769	198.910576	225.09391800000003	462.287922	1230.714665	369.706835	567.181372	831.971569	648.334925	587.687501	5038.148036	260.765797	518.96616	6694.493988	972.5077470000001	1133.5185609999999	3248.216703	1276.3199849999999	759.845015	234.33168500000002	1942.7907280000002	4459.784737	2095.84387	1007.5747460000001	2142.232463	3032.70829	335.629383	770.8684	5984.0803	327.07605099999995	1567.107721	3660.0858689999995	717.15337	495.811371	355.507506	3058.959173	1949.929339	3885.014532	2244.362189
ENSG00000198763	3559.435743	1421.189092	5532.740713	2456.368071	1890.1094059999998	1288.684017	1037.7788189999999	8640.626386	2247.0954	2104.834125	1760.793589	4677.159692	2160.811213	1433.779673	1879.3726550000001	872.9429240000001	2149.400288	546.6996839999999	1068.606961	2101.389809	639.094016	410.834839	4540.173661	5015.094974000001	1992.540389	2820.849056	990.2463529999999	1586.139908	2629.086341	1347.585505	1294.7309810000002	9861.492999	3309.273918	1341.389732	1448.571565	4380.909490999999	3173.589832	1053.697691	5284.166894	3835.218702	4956.490479	1742.384457	506.698652	2516.143788	1628.304424	2129.24078	349.193827	1344.050098
ENSG00000198695	1047.597252	2137.7372809999997	1339.776575	1699.3590800000002	3885.444864	793.970915	1095.3208630000001	6340.549374	2720.487906	2481.099567	136.451966	3427.4189090000004	242.88454700000003	849.6827189999999	2602.0936039999997	212.293927	371.338709	246.50755	1580.946265	2017.0379440000002	888.7155529999999	312.938168	3093.800307	423.447875	516.575582	1171.70404	277.224375	591.289966	3888.431941	474.71290199999993	1050.088998	966.1555369999999	712.274868	831.467254	1251.650168	8045.961297	531.109566	1305.406705	9154.407904000002	678.185608	1649.169202	387.052071	180.534274	1123.785744	765.616171	696.635029	1670.1075289999999	1426.6532
ENSG00000166710	1345.4955730000001	109.945329	1114.69357	1497.926249	200.877503	3994.6042350000002	3711.558731	33.583929	2382.459891	1983.555365	1672.891096	26.027766	6744.599573	2998.5301600000003	227.22048199999998	2242.3573920000003	1549.1666400000001	3175.3700010000002	48.138728	1435.111987	833.372679	2341.024531	1796.278666	5377.8451	2782.681956	3376.958343	4634.962564	3134.493897	38.510104999999996	3942.3805119999997	1329.797519	1736.78019	2208.720287	3504.0888159999995	1957.8814129999998	352.387777	3173.95404	4153.059354	28.914143	2481.1369760000002	2875.7556219999997	5113.1383399999995	2298.978975	848.7132650000001	4538.271027000001	1791.032784	1082.847057	2963.210248
ENSG00000167996	1586.608348	138.185363	763.30201	2194.057498	181.114527	3498.211305	4820.504879	16.200722	4010.5845189999995	2869.64679	1526.040125	9.483887	5453.280736	4563.853792	257.673827	1351.9133550000001	969.614285	1563.012917	24.731244	1988.5550329999999	1032.110178	1254.048481	2072.193393	3382.1634329999997	3584.021474	3973.93271	3752.0382630000004	2400.121496	23.523742000000002	2900.689169	1739.1871600000002	1220.701259	1737.0218550000002	4998.23539	1840.283005	176.34733400000002	1789.9694829999999	3125.761978	18.832853	2806.653906	3224.467949	3183.152376	668.937036	1330.155953	4127.349659	1364.5555650000001	1105.945853	1867.031704
ENSG00000104164	2178.625996	4108.907439	1304.642131	2053.360957	3634.0376969999998	1161.20773	620.623446	2995.4394899999998	1542.717722	2215.206702	164.593587	3501.578225	258.865541	722.669211	4129.199554	487.91530700000004	466.230221	321.037863	5288.906138	3185.8623850000004	2899.324322	271.175442	2367.030688	452.403325	688.7946019999999	1130.656848	453.29254299999997	312.374154	3961.806561	481.08959699999997	1097.345795	1561.0327849999999	510.435596	930.9268119999999	876.687898	3580.1208340000003	449.608435	1199.686729	3685.4885259999996	992.916068	911.9585460000001	371.965785	300.294832	2801.389713	870.2758759999999	1842.7503829999998	1197.299326	1319.789285
ENSG00000118785	563.191582	132.50221299999998	134.542812	1670.8586289999998	191.217366	3039.769909	5027.1958079999995	18.932489	3016.669454	1008.1551109999999	661.459527	20.528681	3103.513204	1617.539324	154.423746	467.426307	546.825147	1667.4146560000002	17.301682	452.80897699999997	584.9664339999999	1504.687797	1239.639158	1280.0636439999998	1805.844245	2733.181462	3085.637341	2627.016242	20.127313	2395.432625	3295.024086	513.564676	1231.174533	1543.484665	764.683173	92.145139	649.669121	2346.0606350000003	4.028818	1490.0799849999999	1278.132265	3297.868157	197.580612	794.972033	2535.955304	819.718385	812.189085	636.292924
ENSG00000198804	3138.33762	834.858926	3366.163281	2749.011849	1060.243029	3379.576765	3305.709594	2194.6240620000003	3155.781533	2892.424584	2917.799893	1423.927909	3420.732868	2935.119342	1075.2859460000002	2284.201832	2650.597021	1598.4490560000002	552.4606110000001	2894.340141	1262.529098	1367.618199	2711.682331	3389.0350399999998	4741.949682	1844.09702	3090.260927	3732.0821479999995	1438.648966	2604.510996	3561.37534	3761.37873	4210.971413	3435.879082	2950.85548	2151.856635	3393.2267479999996	2995.1644760000004	2091.485689	3558.128207	5777.678863	3967.0509850000003	1954.187198	1274.058969	3691.4254539999997	3364.9420689999997	893.244775	2788.030632
ENSG00000198727	1373.894847	1391.623241	1674.333161	1103.671515	1810.1078699999998	742.802486	644.914218	3786.902767	1180.942542	1139.019718	1120.677074	2620.301264	552.3051740000001	840.1223130000001	1898.0568670000002	456.79657699999996	752.9232	332.911457	683.335554	1367.210327	534.241204	284.021104	1292.724709	748.263088	744.181752	1029.051992	558.0192969999999	921.9995869999999	2567.116995	504.291675	755.813399	1826.0855350000002	1122.792331	761.965243	903.6834630000001	4443.930095000001	968.0426050000001	583.626443	5647.10525	1250.912081	1711.4389620000002	940.4152939999999	376.210748	838.418021	828.403286	848.198045	363.309118	787.115278
ENSG00000198899	2897.727312	1158.007089	3166.3980309999997	2344.424318	1886.871179	2421.039973	1459.915185	2971.708264	1955.1054120000001	2642.465028	3004.111472	2316.817968	2241.218159	2880.831414	1504.817654	1518.4297390000002	1721.143923	869.965175	675.196702	2157.0376100000003	921.2866640000001	487.09385199999997	2332.948837	3941.729843	2348.825199	1229.916171	2684.835315	2515.712046	1903.7155	1642.88102	2903.621149	4355.176933	3236.891722	1892.2749370000001	2056.481159	2884.475791	2874.7869600000004	1094.108009	3213.136281	5177.173488	4670.684905	3178.1424030000003	1034.789021	1030.242428	2141.747663	2259.529609	509.11450099999996	2324.647204
ENSG00000156508	1104.029314	76.975306	1376.480887	1035.149609	103.28452	2371.163027	1836.253225	38.216532	1375.669111	1356.062242	993.4493769999999	20.968379000000002	2978.758872	1409.052324	133.601136	2220.972765	1827.254074	1533.966225	32.60893	964.686845	367.20075299999996	2141.07731	1019.2511119999999	3342.1769719999998	2061.519895	2711.180023	2566.364581	1710.651927	41.252990999999994	1292.323016	593.1503230000001	1585.643918	1964.168168	2037.014957	1094.627868	145.26939299999998	2746.6911489999998	2525.80186	10.642309	1359.135045	1539.751317	2429.163284	2507.3320870000002	409.028301	2220.147986	1894.835615	525.088582	2832.5759999999996
ENSG00000087086	515.664126	108.669991	295.86577900000003	971.0942759999999	100.28329699999999	1597.5866839999999	2415.867263	18.460839	1840.815693	1348.268973	482.99963099999997	4.641839	3884.704667	2057.3625039999997	235.92984700000002	585.884986	316.666926	1943.396841	11.54536	575.005816	487.616417	740.395511	894.877741	1555.474052	2117.674029	2038.5034629999998	2264.366405	1774.511496	14.655525	1964.959859	523.118888	565.211948	837.011015	1647.782991	1082.7046070000001	142.483075	728.861984	2114.76306	5.654614	1193.1444279999998	1854.612378	2349.2451379999998	387.99760699999996	677.561555	2261.908871	486.50178600000004	727.6098519999999	882.983451
ENSG00000198886	2138.8772670000003	1438.521949	2641.142599	2007.530042	2281.464453	1289.411413	1150.2837240000001	3351.895277	1819.752254	2187.4666190000003	2317.74478	2079.042955	1153.995269	2009.3866480000002	1653.640364	844.6600890000001	1064.21078	574.407166	746.927293	1900.394965	888.762292	405.528547	1789.0929440000002	1864.4855079999998	1648.251099	1140.671326	1123.000319	2029.1937899999998	1954.339171	1106.053816	1779.2993620000002	2278.1036289999997	2432.12607	1071.224369	1536.294749	3576.701849	1946.558249	946.45615	4281.354061999999	3475.899325	3812.4357159999995	1856.775664	624.103968	851.1652789999999	1741.543789	1379.4813960000001	501.524869	2004.6903949999999
ENSG00000198786	1895.9780449999998	1144.984521	1749.468563	1310.415579	1778.950996	1038.284074	805.08568	3470.8964840000003	1191.143248	1617.7383140000002	1401.637944	2196.057784	943.4781529999999	1116.510669	1523.457198	595.207999	880.9626789999999	351.907415	746.416458	1302.718981	643.849847	277.518819	1484.645632	1615.544318	1111.6310349999999	903.1572359999999	718.754666	1074.781367	2189.774614	804.667424	1323.895344	2440.795232	1498.646563	1030.446637	1085.102653	3712.0019060000004	1316.6730890000001	627.518788	4533.473293999999	2502.41565	2537.358499	1455.249582	346.307999	768.995753	1000.762618	917.7729310000001	259.617629	1096.246486
ENSG00000115414	1679.976356	178.729717	1220.438424	1738.6460600000003	306.19732999999997	2447.552795	1626.899272	41.821976	1515.839745	2807.539546	1334.382402	31.68115	1286.191578	1448.645777	397.723783	1846.3329820000001	2142.883612	1892.2128579999999	52.903923	1902.5092170000003	473.226491	2285.6766399999997	2197.245828	2422.363744	1629.289415	3322.6559190000003	1976.0918	1691.685329	100.98701899999999	1357.0437630000001	1754.919521	1499.281039	1645.88746	2282.709971	1391.098032	446.869212	2592.126107	2224.580726	23.078819	1337.062656	1747.3721239999998	1126.25706	470.217422	542.465518	1675.199867	2242.037069	880.0007199999999	2341.512402
