"Sample_R123" "Sample_R362" "Sample_R171" "Sample_R112" "Sample_R263" "Sample_R213" "Sample_R381" "Sample_R162" "Sample_R231" "Sample_R312" "Sample_R343" "Sample_R113" "Sample_R212" "Sample_R221" "Sample_R332"
"ENSG00000062485" 369.322701 48.0034 233.98596 176.907254 339.647426 485.541242 468.951767 485.484578 1381.244505 420.670048 189.164792 965.730153 658.044988 331.543405 81.412624
"ENSG00000091140" 525.999999 59.999998 168 442 220 654 562.999999 676 1351.999997 643.999999 215 1531 934.999998 259 69.999999
"ENSG00000091483" 148 18 105 97 132.861699 285.998083 242.719636 230.997686 764 168 82 479 320 93 18
"ENSG00000100412" 429.958466 50 107.999999 99 357.779573 324.711534 236.771226 327.780284 714.966426 204.918021 124.924849 930.873373 418.999999 191 47.69913
"ENSG00000118245" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000119689" 378.981301 61 393.000002 159.000878 249.950754 573.956844 419.779533 436.905198 1148.025565 486.947829 195.391613 1052.981373 647.834858 298.771755 50
"ENSG00000122304" 0 0 0 0 0 0 1 0 0 0 0 0 0 3 3
"ENSG00000122729" 291.177469 24 366.999999 244.999999 172.09072 630.289941 564.272185 466 1491.246368 421.292659 159.589977 1245 631 324 53.017157
"ENSG00000131473" 613 83.000001 563.000001 361.999998 443.999998 767.999999 642.000001 636 1585.999999 686.000001 240 1796 1024.999999 399.000001 80.000001
"ENSG00000138413" 1100.999998 289.999999 531 486 581.983143 1985.997797 733.759474 796.000001 4443.000001 307.999999 350.941236 2280.999999 1624.996764 319.999999 129
"ENSG00000150768" 178 29.999999 158.000001 114 127.999999 368.999999 265 221 876 180 117 709 389 121 37.000001
"ENSG00000164113" 0 0 0 0 0 9 16 0 1 0 6 0 3 0 1
"ENSG00000170777" 0 0 0 0 0 13 42 0 23 0 23.999999 0 11 10 4
"ENSG00000175646" 0 0 0 0 0 0 5 0 8 0 0 0 0 0 0
"ENSG00000182054" 276.040675 53.048433 295.999999 137 186.336486 409 267.403598 259.014545 987.38694 199.510804 83.596454 732.083948 524.944204 127.000001 21.140755
"ENSG00000198033" 0 0 0 1 0 0 3 0 1 0 6 0 0.451535 6.815665 2
"ENSG00000203784" 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
"ENSG00000228075" 0 0 0 0 0 8 17 0 5 0 12 0 17 3 0
"ENSG00000234186" 0 0 0 0 0 0 4 0 4 0 7 0 6 11 1
