"Sample_R123" "Sample_R362" "Sample_R171" "Sample_R112" "Sample_R263" "Sample_R213" "Sample_R381" "Sample_R162" "Sample_R231" "Sample_R312" "Sample_R343" "Sample_R113" "Sample_R212" "Sample_R221" "Sample_R332"
"ENSG00000062485" 17.597068 27.217936 13.666826 22.007769 11.815106 14.8005 17.69509 16.601983 17.696521 12.360853 24.431749 15.11531 15.123259 16.859237 14.669286
"ENSG00000091140" 29.095475 35.694854 7.013855 55.583444 28.394367 30.655025 34.091945 33.836614 22.454105 22.8725 45.731214 29.316503 31.039974 22.576332 39.413174
"ENSG00000091483" 16.543703 7.598906 16.754611 18.891736 13.261532 17.814177 21.858575 17.719215 22.311121 9.706905 19.051148 19.718133 13.974872 5.341578 9.29657
"ENSG00000100412" 12.368756 8.740686 2.938033 6.48748 8.113626 8.23685 4.436951 9.417198 5.536473 3.117145 11.539233 9.469793 6.035044 6.017764 7.070064
"ENSG00000118245" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000119689" 14.892836 21.408413 35.384418 13.398707 8.717467 16.002269 13.629224 14.885983 12.677672 10.717425 19.725874 13.62911 13.799871 15.076688 8.016187
"ENSG00000122304" 0 0 0 0 0 0 0.058088 0 0 0 0 0 0 0.205293 0.859287
"ENSG00000122729" 6.627774 3.360099 9.936107 10.413327 3.653178 10.048835 8.165351 7.979964 8.489853 4.312166 6.301031 8.281384 6.108838 5.569297 3.951316
"ENSG00000131473" 28.411417 26.866967 35.116718 26.504929 13.593601 18.153224 15.514277 21.331745 10.408182 10.366139 18.87861 18.23949 14.943875 15.380209 8.575252
"ENSG00000138413" 70.760901 96.969844 30.63269 47.17305 27.367822 84.440279 27.059589 29.481773 57.31434 9.774548 39.6743 41.895625 39.340507 16.741223 26.902614
"ENSG00000150768" 6.735865 14.878921 6.382586 9.4285 4.511676 9.954599 6.914757 5.964762 9.961195 3.298558 9.47038 8.053554 7.160728 4.034819 5.22743
"ENSG00000164113" 0 0 0 0 0 0.37173 0.625666 0 0.058423 0 0.680376 0 0.083427 0 0.216871
"ENSG00000170777" 0 0 0 0 0 0.464113 1.438537 0 0.318235 0 2.184441 0 0.223901 0.425683 0.615931
"ENSG00000175646" 0 0 0 0 0 0 0.510536 0 0.352767 0 0 0 0 0 0
"ENSG00000182054" 13.124298 19.270219 14.575467 12.201148 6.247082 14.115303 9.251175 9.313814 12.539366 4.276356 8.968442 8.968018 10.734723 5.717462 3.329924
"ENSG00000198033" 0 0 0 0.097092 0 0 0.11333 0 0.015145 0 0.673737 0 0.010152 0.315307 0.403785
"ENSG00000203784" 0 0 0 0 0 0 0.11844 0 0 0 0 0 0.161278 0 0
"ENSG00000228075" 0 0 0 0 0 0.193835 0.379231 0 0.043896 0 0.77759 0 0.248412 0.094601 0
"ENSG00000234186" 0 0 0 0 0 0 0.071683 0 0.029258 0 0.398113 0 0.069111 0.250783 0.097385
