Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
Glycolysis / Gluconeogenesis	77	-15.112	0.67237	0.99988	46.777	0.062355	0.17528	56.629	0.0001893	0.0020256	25	35.459	0.00012929	0.0025237	52	44.323	0.12736	0.26207
Starch and sucrose metabolism	25	-8.9373	0.63231	0.99988	28.457	0.13243	0.31608	33.002	0.018161	0.036665	8	18.285	0.042149	0.11303	17	27.478	0.11742	0.26207
Galactose metabolism	27	-1.6016	0.17796	0.99988	19.063	0.48564	0.67486	36.462	0.004985	0.016669	12	24.21	0.0086391	0.038516	15	27.264	0.067942	0.21443
Fructose and Mannose metabolism	10	12.332	0.0023531	0.065656	-6.7003	0.977	0.98622	20.021	0.11659	0.15402	6	20.44	0.014926	0.057039	4	6.623	0.86386	0.9432
Fructose and mannose metabolism	33	7.6436	0.0042953	0.065656	6.37	0.94591	0.98265	44.036	0.00012665	0.0016939	17	34.423	0.00015499	0.0025237	16	27.76	0.081792	0.23031
Pentose and glucuronate interconversions	12	-3.7074	0.43814	0.99988	7.8626	0.68336	0.82471	18.558	0.22989	0.28939	4	12.929	0.11667	0.19205	8	13.587	0.67256	0.80699
Pyruvate metabolism	41	-9.7206	0.56771	0.99988	25.713	0.37906	0.60537	38.616	0.019289	0.037526	13	26.54	0.0027602	0.016146	28	28.644	0.5008	0.63042
Propanoate metabolism	45	-18.347	0.93525	0.99988	41.481	0.02933	0.10823	48.082	0.00017578	0.0020256	12	28.042	0.0016467	0.013093	33	39.238	0.033373	0.17004
Butanoate metabolism	21	-10.161	0.72346	0.99988	28.937	0.10458	0.26023	31.644	0.013126	0.029163	7	17.377	0.04727	0.11729	14	26.468	0.076222	0.22655
Pentose phosphate pathway	29	-11.63	0.75332	0.99988	33.083	0.076008	0.19836	35.47	0.012282	0.028569	10	15.255	0.12932	0.20652	19	32.754	0.02023	0.14431
Pyrimidine metabolism	74	-15.496	0.73988	0.99988	30.837	0.50352	0.69072	49.142	0.0084247	0.022037	24	26.999	0.010345	0.040997	50	41.079	0.27333	0.41192
Alanine, aspartate and glutamate metabolism	36	-15.288	0.88415	0.99988	38.343	0.031226	0.11137	38.065	0.0097004	0.024713	11	16.943	0.092463	0.17708	25	34.439	0.052017	0.19878
Arginine and proline metabolism	60	-13.736	0.70005	0.99988	38.205	0.13739	0.31834	49.087	0.0016044	0.0085835	20	29.504	0.0025069	0.016146	40	39.256	0.12613	0.26207
Glycine, serine and threonine metabolism	58	-25.329	0.99191	0.99988	45.118	0.029333	0.10823	41.221	0.046508	0.073182	12	14.792	0.15655	0.23265	46	38.731	0.30999	0.44225
Histidine metabolism	53	-25.945	0.99643	0.99988	53.396	0.0012352	0.011014	46.205	0.0018234	0.0092905	13	16.181	0.10784	0.18315	40	43.962	0.012615	0.10879
Lysine metabolism	50	-7.3207	0.32782	0.99988	26.244	0.4686	0.66854	50.95	4.6389e-05	0.00099273	18	35.152	8.0149e-05	0.002144	32	37.323	0.059892	0.21443
Tryptophan metabolism	16	-22.458	0.99829	0.99988	45.794	0.00013355	0.0035725	30.97	0.0049369	0.016669	3	4.4542	0.47237	0.51575	13	32.218	0.0011668	0.05666
Tyrosine metabolism	28	-29.49	0.99987	0.99988	59.27	3.2911e-06	0.00035215	30.99	0.059359	0.08583	2	0.52042	0.61384	0.65031	26	32.015	0.15241	0.2861
Valine, leucine, and isoleucine metabolism	71	-27.796	0.9963	0.99988	60.311	0.00064471	0.0098549	58.868	1.7752e-05	0.00047488	18	28.285	0.002867	0.016146	53	51.651	0.0021181	0.05666
Cysteine and methionine metabolism	52	-20.468	0.96434	0.99988	46.635	0.0081976	0.041769	46.315	0.0019656	0.0095598	16	19.434	0.071711	0.15752	36	42.708	0.013407	0.10879
Glutathione metabolism	31	-16.362	0.92217	0.99988	44.215	0.0043771	0.029272	40.658	0.00083996	0.0064197	10	16.408	0.097659	0.17708	21	38.076	0.0017181	0.05666
Transport, mitochondrial	91	-13.335	0.50544	0.99988	41.411	0.22538	0.4108	60.559	0.00011964	0.0016939	32	36.565	0.00031055	0.0041537	59	48.281	0.068199	0.21443
beta-Alanine metabolism	17	-21.986	0.99715	0.99988	44.626	0.00047312	0.0084373	29.669	0.013355	0.029163	2	8.7227	0.19739	0.2779	15	28.4	0.039473	0.17831
Other amino acid	30	-17.701	0.96115	0.99988	35.773	0.039366	0.13163	32.314	0.044515	0.071091	7	10.611	0.24019	0.31342	23	31.051	0.14224	0.27177
Amino sugar and nucleotide sugar metabolism	30	7.6537	0.0039576	0.065656	3.9195	0.96368	0.98622	34.054	0.022459	0.041983	17	26.008	0.0077958	0.036267	13	21.991	0.27862	0.41406
Aminoacyl-tRNA biosynthesis	39	10.342	0.00052959	0.056666	-0.68952	0.99508	0.99508	44.565	0.00050626	0.0049245	20	38.174	2.4962e-05	0.0013355	19	24.683	0.40848	0.55326
O-glycan metabolism	32	-25.979	0.99844	0.99988	52.399	0.00017766	0.0038019	38.009	0.0055805	0.017546	5	10.994	0.18985	0.27085	27	36.649	0.024815	0.15619
N-glycan metabolism	70	0.73545	0.018179	0.21613	27.526	0.63565	0.80601	60.316	3.5067e-06	0.00037522	34	40.891	1.7564e-05	0.0013355	36	44.369	0.0050066	0.089284
Transport, endoplasmic reticular	38	-6.2873	0.35593	0.99988	23.659	0.43446	0.65133	36.231	0.031997	0.056127	14	21.911	0.023255	0.070255	24	28.854	0.29605	0.43394
Protein degradation	18	-23.75	0.99872	0.99988	55.365	7.3002e-06	0.00039056	31.457	0.0059883	0.017546	2	4.058	0.41977	0.47783	16	31.93	0.0097495	0.10879
Nitrogen metabolism	14	4.2088	0.053809	0.57576	-3.522	0.96999	0.98622	8.6479	0.88165	0.91589	7	8.693	0.33294	0.40028	7	3.5369	0.99038	0.99987
Sulfur metabolism	11	-18.464	0.98958	0.99988	30.28	0.021556	0.08871	23.362	0.042792	0.070442	1	6.8111	0.25105	0.32365	10	22.349	0.12554	0.26207
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	56	-31.922	0.99988	0.99988	62.24	3.5879e-05	0.0012797	50.243	0.00060185	0.0053665	11	16.691	0.098564	0.17708	45	47.797	0.0067065	0.10251
Fatty acid activation (cytosolic)	16	-1.5641	0.26719	0.99988	5.6711	0.82715	0.90311	14.841	0.59916	0.64758	6	8.9945	0.2947	0.36244	10	11.806	0.8868	0.95846
Fatty acid activation (endoplasmic reticular)	10	3.9065	0.081361	0.67579	-2.8427	0.9423	0.98265	16.534	0.27397	0.33312	5	13.524	0.10561	0.18226	5	9.8578	0.67877	0.80699
Fatty acid biosynthesis (even-chain)	5	-11.279	0.91383	0.99988	28.806	0.0091227	0.044369	16.331	0.10273	0.13914	1	2.8606	0.46076	0.51575	4	16.828	0.086574	0.23663
Fatty acid biosynthesis (unsaturated)	11	-14.567	0.95166	0.99988	18.506	0.23419	0.4108	15.861	0.33119	0.38518	1	7.2432	0.23153	0.30585	10	14.345	0.73954	0.82427
Fatty acid elongation (even-chain)	11	-14.567	0.95166	0.99988	18.506	0.23419	0.4108	15.861	0.33119	0.38518	1	7.2432	0.23153	0.30585	10	14.345	0.73954	0.82427
Fatty acid elongation (odd-chain)	11	-14.567	0.95166	0.99988	18.506	0.23419	0.4108	15.861	0.33119	0.38518	1	7.2432	0.23153	0.30585	10	14.345	0.73954	0.82427
Fatty acid desaturation (even-chain)	6	5.4712	0.063005	0.61287	8.0474	0.53415	0.71443	20.228	0.036757	0.062428	3	17.118	0.03018	0.087276	3	11.489	0.30412	0.43974
Fatty acid transfer reactions	11	-14.241	0.94596	0.99988	26.058	0.059694	0.17263	17.933	0.21449	0.27651	2	3.2619	0.46343	0.51575	9	18.288	0.3198	0.44464
Linoleate metabolism	65	-10.629	0.44443	0.99988	25.969	0.65598	0.80678	13.594	0.99965	0.99965	26	-2.3635	0.97792	0.97792	39	19.479	0.99917	0.99987
Omega-3 fatty acid metabolism	44	-19.789	0.96136	0.99988	39.176	0.047619	0.14986	45.832	0.0011181	0.0072638	10	27.781	0.0017131	0.013093	34	37.072	0.092884	0.23663
Transport, peroxisomal	28	0.65818	0.092962	0.68156	14.183	0.70291	0.83568	32.899	0.029253	0.053053	13	23.697	0.0093062	0.039549	15	22.888	0.31998	0.44464
Omega-6 fatty acid metabolism	35	-8.2476	0.50229	0.99988	24.522	0.37057	0.60077	42.831	0.00096038	0.0068507	11	31.327	0.00037194	0.004422	24	30.515	0.17878	0.30624
Eicosanoid metabolism	16	-15.356	0.9574	0.99988	29.293	0.03935	0.13163	26.938	0.03058	0.054534	3	12.95	0.099761	0.17708	13	23.664	0.16139	0.29774
Acyl-CoA hydrolysis	8	-9.4114	0.83695	0.99988	14.03	0.32874	0.54116	13.166	0.39165	0.44581	1	6.5585	0.26286	0.33483	7	11.596	0.71162	0.82134
Carnitine shuttle (mitochondrial)	8	-10.638	0.88318	0.99988	20.109	0.13293	0.31608	16.837	0.18988	0.24778	1	8.7932	0.16891	0.24758	7	14.677	0.45096	0.59735
Carnitine shuttle (peroxisomal)	7	0.29381	0.26443	0.99988	17.065	0.20679	0.40827	23.636	0.015026	0.031762	3	17.993	0.022578	0.070255	4	15.685	0.13861	0.26965
Carnitine shuttle (endoplasmic reticular)	7	1.0157	0.22757	0.99988	11.406	0.41893	0.64036	22.809	0.021277	0.040654	3	17.993	0.022578	0.070255	4	14.592	0.20526	0.33277
Acylglycerides metabolism	36	-21.14	0.98631	0.99988	43.277	0.0077405	0.041412	38.889	0.0065372	0.018407	8	16.405	0.073051	0.15752	28	35.327	0.070142	0.21443
