	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b0001	178	190	287	300	254	190	315	225	286
b0002	364	368	1016	292	965	664	794	135	1372
b0003	86	92	251	75	170	155	151	28	281
b0004	151	158	522	174	387	319	370	68	562
b0005	5	7	1	0	3	7	2	2	7
b0006	41	35	38	54	56	67	47	29	42
b0007	9	15	9	11	9	6	12	12	9
b0008	810	741	930	757	926	687	651	440	896
b0009	21	26	21	17	29	16	20	14	25
b0010	11	16	11	17	13	10	13	7	12
b0011	1	4	2	4	2	4	1	0	0
b0013	3	4	1	1	3	3	3	0	4
b0014	293	615	522	349	1000	704	1128	453	876
b0015	33	49	69	32	82	75	61	26	81
b0016	18	27	33	45	32	49	36	22	29
b0018	1	1	2	0	0	0	2	1	0
b0019	54	50	52	49	64	64	82	31	56
b0020	29	33	34	30	31	36	46	23	31
b0021	19	22	32	38	40	23	36	21	26
b0022	0	0	1	3	0	1	1	0	0
b0023	357	365	364	445	435	361	557	310	496
b0024	1	1	3	5	3	5	1	7	2
b0025	100	124	129	146	191	163	140	80	184
b0026	293	314	410	467	493	488	318	253	476
b0027	19	39	35	32	44	33	22	17	48
b0028	14	32	33	24	14	33	15	20	28
b0029	37	34	38	45	48	48	37	31	47
b0030	2	5	3	2	6	1	0	2	1
b0031	827	357	502	125	97	91	81	228	66
b0032	84	129	64	12	96	75	19	62	91
b0033	132	197	144	33	111	77	27	105	155
b0034	1	5	3	2	6	2	2	5	0
b0035	6	1	4	0	5	0	2	2	0
b0036	0	5	0	1	0	1	1	0	0
b0037	6	8	5	3	3	5	7	1	4
b0038	3	6	1	1	3	3	7	4	2
b0039	6	4	5	3	2	2	1	0	1
b0040	1	2	0	2	1	1	3	5	1
b0041	3	0	0	1	1	1	0	1	0
b0042	0	2	0	1	0	2	1	1	1
b0043	0	0	1	0	2	1	1	4	0
b0044	0	0	0	0	1	1	0	0	0
b0045	1	5	0	1	2	0	2	1	0
b0046	5	11	5	8	3	7	5	6	5
b0047	22	22	20	21	18	14	21	18	13
b0048	22	19	25	18	20	22	9	16	20
b0049	23	26	31	29	27	16	19	19	23
