genes,logFC,logCPM,LR,PValue,FDR,bnumber
aaeA,-0.27894467264079,4.07642307301843,1.8179770395204,0.177554264077515,0.405101355811297,b3241
aaeB,-0.0221440765758915,4.20040625927845,0.00891329543028441,0.924783273325855,0.977996806438386,b3240
aaeR,-0.32434252786495,5.92542169147877,2.80629135688395,0.093895213187056,0.266872521526587,b3243
aaeX,-0.703537896961405,4.1580578991328,5.20759125781645,0.0224884702361647,0.0906887982726381,b3242
aas,-0.331919055773366,6.17688898055469,2.88688491458855,0.0893034421386037,0.257305915007758,b2836
aat,0.321590801769188,5.51676710268145,3.02349607463758,0.082066374735639,0.244742859101249,b0885
abgA,-0.225949577521454,2.25639681187455,0.319209863784783,0.572082875197352,0.796013510946315,b1338
abgB,-0.164741045822255,3.70574457383292,0.312598873712051,0.576089774111601,0.799493996515081,b1337
abgR,-0.191501855637136,3.22078961611971,0.455707048733446,0.499637153858712,0.750063561875488,b1339
abgT,-0.0778271498979945,3.1089534148332,0.0614012615522839,0.80429474189835,0.924783614322879,b1336
abrB,-1.38991488324475,4.25139384096769,47.6660037613092,5.05379878951525e-12,7.500809955985e-11,b0715
accA,0.0265469257916221,8.28131489761804,0.0210295158744591,0.884698577750929,0.962714325348012,b0185
accB,-0.43531854650985,8.56896069903022,3.66773833662153,0.0554754135023273,0.183039198561155,b3255
accC,-0.454609859358151,9.17677860374056,3.25943958333588,0.0710133920428095,0.219546771820254,b3256
accD,0.0879488383246073,9.29268378783742,0.196462556551715,0.657591448496261,0.85112401784745,b2316
aceA,1.92741465404011,11.7548105901355,64.2790420833791,1.07988350680117e-15,1.91934850447501e-14,b4015
aceB,1.25268458501124,12.1583283772474,34.4357565091502,4.40554978565943e-09,5.45202565165132e-08,b4014
aceE,4.06008069012452,13.0287389064412,198.922709778586,3.58858994511332e-45,1.84513333011243e-43,b0114
aceF,3.96477653172704,12.2000696716397,220.903630698512,5.74487375593487e-50,3.59595793505547e-48,b0115
aceK,1.90224229847964,8.93021685967803,76.749580440034,1.94069500965313e-18,3.70878838349198e-17,b4016
ackA,-1.33024110285505,10.6687255988613,27.1080855828571,1.92391568321245e-07,1.95515102018696e-06,b2296
acnA,2.38889989550402,8.86196920388566,118.38947406994,1.42476069897649e-27,3.77517880912851e-26,b1276
acnB,3.77650988243361,11.171235081835,223.490048952176,1.56726158882712e-50,1.01029892569318e-48,b0118
acpP,0.0671055488543761,10.6770673748582,0.10765562074922,0.742829128512807,0.89019140533679,b1094
acpS,-0.673438911218062,4.95333879588607,12.9498578072228,0.000319945793763077,0.00205021644400999,b2563
acpT,-0.312935870767396,5.56468169971105,2.6897711325162,0.100994319338625,0.278896716894834,b3475
acrA,0.147827014595552,7.83210295493791,0.591799593297072,0.44172406968695,0.702022113312941,b0463
acrB,0.251402839577236,8.98164389861122,1.52166015610215,0.217368434917121,0.464070326449355,b0462
acrB,0.251402839577236,8.98164389861122,1.52166015610215,0.217368434917121,0.464070326449355,b3699
acrD,-0.257080644872648,5.29202303767046,1.57021739684614,0.210175445229733,0.453420453520088,b2470
acrE,-0.548692624774051,2.35602781175271,1.47803988054233,0.224081453162474,0.472793256574854,b3265
