bnumber,genes
b0001,thrL
b0002,thrA
b0002,thrA1
b0002,thrA2
b0003,thrB
b0004,thrC
b0005,yaaX
b0006,yaaA
b0007,yaaJ
b0008,talB
b0008,yaaK
b0009,mog
b0009,chlG
b0009,mogA
b0009,yaaG
b0010,satP
b0010,yaaH
b0011,yaaW
b0012,htgA
b0012,htpY
b0013,yaaI
b0014,dnaK
b0014,groP
b0014,grpF
b0014,seg
b0015,dnaJ
b0015,groP
b0016,insL1
b0018,mokC
b0018,gefL
b0019,nhaA
b0019,ant
b0020,nhaR
b0020,antO
b0021,insB1
b0022,insA1
b0023,rpsT
b0024,yaaY
b0025,ribF
b0025,yaaC
b0026,ileS
b0026,ilvS
b0027,lspA
b0027,lsp
b0028,fkpB
b0028,slpA
b0028,yaaD
b0029,ispH
b0029,lytB
b0029,yaaE
b0030,rihC
b0030,yaaF
b0031,dapB
b0032,carA
b0032,pyrA
b0033,carB
b0033,pyrA
b0034,caiF
b0035,caiE
b0036,caiD
b0036,yaaL
b0037,caiC
b0037,yaaM
b0038,caiB
b0038,yaaN
b0039,caiA
b0039,yaaO
b0040,caiT
b0040,yaaP
b0041,fixA
b0041,yaaQ
b0042,fixB
b0042,yaaR
b0043,fixC
b0043,yaaS
b0044,fixX
b0044,yaaT
b0045,yaaU
b0045,yabE
b0046,kefF
b0046,yabF
b0047,kefC
b0047,trkC
b0048,folA
b0048,tmrA
b0049,apaH
b0050,apaG
b0051,rsmA
b0051,ksgA
b0052,pdxA
b0053,surA
b0054,lptD
b0054,imp
b0054,ostA
b0054,yabG
b0055,djlA
b0055,yabH
b0057,yabQ
b0058,rluA
b0058,yabO
b0059,rapA
b0059,hepA
b0059,yabA
b0060,polB
b0060,dinA
b0061,araD
b0062,araA
b0063,araB
b0064,araC
b0065,yabI
b0066,thiQ
b0066,yabJ
b0067,thiP
b0067,yabK
b0068,thiB
b0068,tbpA
b0068,yabL
b0069,sgrR
b0069,yabN
b0070,setA
b0070,yabM
b0071,leuD
b0072,leuC
b0073,leuB
b0074,leuA
b0075,leuL
b0075,leuLP
b0076,leuO
b0077,ilvI
b0078,ilvH
b0078,brnP
b0079,fruL
b0080,cra
b0080,fruC
b0080,fruR
b0080,shl
b0081,mraZ
b0081,yabB
b0082,rsmH
b0082,mraW
b0082,yabC
b0083,ftsL
b0083,mraR
b0083,yabD
b0084,ftsI
b0084,pbpB
b0085,murE
b0086,murF
b0086,mra
b0087,mraY
b0087,murX
b0088,murD
b0089,ftsW
b0090,murG
b0091,murC
b0092,ddlB
b0092,ddl
b0093,ftsQ
b0094,ftsA
b0094,divA
b0095,ftsZ
b0095,sfiB
b0095,sulB
b0096,lpxC
b0096,asmB
b0096,envA
b0097,secM
b0097,srrA
b0097,yacA
b0098,secA
b0098,azi
b0098,pea
b0098,prlD
b0099,mutT
b0101,yacG
b0102,zapD
b0102,yacF
b0103,coaE
b0103,yacE
b0104,guaC
b0106,hofC
b0106,hopC
b0106,yacD
b0107,hofB
b0107,hopB
b0108,ppdD
b0109,nadC
b0110,ampD
b0111,ampE
b0112,aroP
b0113,pdhR
b0113,aceC
b0113,genA
b0113,yacB
b0114,aceE
b0115,aceF
b0116,lpdA
b0116,lpd
b0117,yacH
b0118,acnB
b0118,yacI
b0118,yacJ
b0119,yacL
b0120,speD
b0121,speE
b0122,yacC
b0123,cueO
b0123,yacK
b0124,gcd
b0125,hpt
b0126,can
b0126,cynT2
b0126,yadF
b0127,yadG
b0128,yadH
b0129,yadI
b0130,yadE
b0131,panD
b0132,yadD
b0133,panC
b0134,panB
b0135,yadC
b0136,yadK
b0137,yadL
b0138,yadM
b0139,htrE
b0140,yadV
b0140,ecpD
b0141,yadN
b0142,folK
b0143,pcnB
b0144,gluQ
b0144,yadB
b0145,dksA
b0146,sfsA
b0146,sfs1
b0147,thpR
b0147,ligT
b0147,yadP
b0148,hrpB
b0148,yadO
b0149,mrcB
b0149,pbpF
b0149,ponB
b0150,fhuA
b0150,tonA
b0151,fhuC
b0152,fhuD
b0153,fhuB
b0154,hemL
b0154,gsa
b0154,popC
b0155,clcA
b0155,eriC
b0155,yadQ
b0156,erpA
b0156,yadR
b0157,yadS
b0158,btuF
b0158,yadT
b0159,mtnN
b0159,mtn
b0159,pfs
b0159,yadA
b0160,dgt
b0161,degP
b0161,htrA
b0161,ptd
b0162,cdaR
b0162,sdaR
b0162,yaeG
b0163,yaeH
b0164,yaeI
b0166,dapD
b0167,glnD
b0168,map
b0169,rpsB
b0170,tsf
b0171,pyrH
b0171,smbA
b0172,frr
b0172,rrf
b0173,dxr
b0173,ispC
b0173,yaeM
b0174,ispU
b0174,rth
b0174,uppS
b0174,yaeS
b0175,cdsA
b0175,cds
b0176,rseP
b0176,ecfE
b0176,yaeL
b0177,bamA
b0177,yaeT
b0177,yzzN
b0177,yzzY
b0178,skp
b0178,hlpA
b0178,ompH
b0179,lpxD
b0179,firA
b0179,omsA
b0180,fabZ
b0180,sefA
b0180,yaeA
b0181,lpxA
b0182,lpxB
b0182,pgsB
b0183,rnhB
b0184,dnaE
b0184,polC
b0185,accA
b0186,ldcC
b0186,ldc
b0186,ldcH
b0187,yaeR
b0188,tilS
b0188,mesJ
b0188,yaeN
b0189,rof
b0189,yaeO
b0190,yaeQ
b0191,arfB
b0191,yaeJ
b0192,nlpE
b0192,cutF
b0193,yaeF
b0193,yaeK
b0194,proS
b0194,drpA
b0195,trmO
b0195,tsaA
b0195,yaeB
b0196,rcsF
b0197,metQ
b0197,yaeC
b0198,metI
b0198,yaeE
b0199,metN
b0199,abc
b0200,gmhB
b0200,yaeD
b0207,dkgB
b0207,yafB
b0208,yafC
b0209,yafD
b0210,yafE
b0211,mltD
b0211,dniR
b0211,yafG
b0212,gloB
b0212,yafR
b0213,yafS
b0214,rnhA
b0214,dasF
b0214,herA
b0214,rnh
b0214,sdrA
b0215,dnaQ
b0215,mutD
b0217,yafT
b0218,yafU
b0219,yafV
b0220,ivy
b0220,ykfE
b0221,fadE
b0221,yafH
b0222,gmhA
b0222,lpcA
b0222,tfrA
b0222,yafI
b0223,yafJ
b0224,yafK
b0225,yafQ
b0226,dinJ
b0227,yafL
b0228,rayT
b0228,TnpAREP
b0228,yafM
b0229,lfhA
b0229,fhiA
b0230,lafU
b0230,mbhA
b0231,dinB
b0231,dinP
b0232,yafN
b0233,yafO
b0234,yafP
b0235,ykfJ
b0236,prfH
b0237,pepD
b0237,pepH
b0238,gpt
b0238,gpp
b0238,gxu
b0239,frsA
b0239,yafA
b0240,crl
b0241,phoE
b0241,ompE
b0242,proB
b0243,proA
b0245,ykfI
b0246,yafW
b0247,ykfG
b0248,yafX
b0249,ykfF
b0250,ykfB
b0251,yafY
b0252,yafZ
b0253,ykfA
b0254,perR
b0255,insN1
b0256,insI1
b0257,insO1
b0258,ykfC
b0259,insH1
b0260,mmuP
b0260,ykfD
b0261,mmuM
b0261,yagD
b0262,fbpC
b0262,afuC
b0262,yagC
b0263,fbpB
b0263,afuB
b0264,insB2
b0265,insA2
b0266,yagB
b0267,yagA
b0268,yagE
b0269,yagF
b0270,yagG
b0271,yagH
b0272,yagI
b0273,argF
b0274,insB3
b0275,insA3
b0276,yagJ
b0277,yagK
b0278,yagL
b0279,yagM
b0280,yagN
b0281,intF
b0281,yagO
b0283,yagQ
b0284,yagR
b0285,yagS
b0286,yagT
b0287,yagU
b0288,ykgJ
b0289,ecpE
b0289,matF
b0289,yagV
b0290,ecpD
b0290,matE
b0290,yagW
b0291,ecpC
b0291,matD
b0291,yagX
b0292,ecpB
b0292,matC
b0292,yagY
b0293,ecpA
b0293,matB
b0293,yagZ
b0294,ecpR
b0294,matA
b0294,ykgK
b0295,ykgL
b0296,ykgM
b0296,rpmE2
b0297,eaeH
b0298,insE1
b0299,insF1
b0300,ykgA
b0301,rclC
b0301,ykgB
b0303,rclB
b0303,ykgI
b0304,rclA
b0304,ykgC
b0305,rclR
b0305,ykgD
b0306,ykgE
b0307,ykgF
b0308,ykgG
b0309,NA
b0310,ykgH
b0311,betA
b0312,betB
b0313,betI
b0314,betT
b0315,yahA
b0316,yahB
b0317,yahC
b0318,yahD
b0319,yahE
b0320,yahF
b0321,yahG
b0322,yahH
b0323,yahI
b0324,yahJ
b0325,yahK
b0326,yahL
b0327,yahM
b0328,yahN
b0329,yahO
b0330,prpR
b0330,yahP
b0331,prpB
b0331,yahQ
b0333,prpC
b0333,yahS
b0333,yzzD
b0334,prpD
b0334,yahT
b0335,prpE
b0335,yahU
b0336,codB
b0337,codA
b0338,cynR
b0339,cynT
b0340,cynS
b0340,cnt
b0341,cynX
b0342,lacA
b0343,lacY
b0344,lacZ
b0345,lacI
b0346,mhpR
b0347,mhpA
b0348,mhpB
b0349,mhpC
b0350,mhpD
b0351,mhpF
b0351,mhpE
b0352,mhpE
b0353,mhpT
b0353,yaiK
b0354,yaiL
b0355,frmB
b0355,yaiM
b0356,frmA
b0356,adhC
b0357,frmR
b0357,yaiN
b0358,yaiO
b0360,insC1
b0361,insD1
b0363,yaiP
b0364,yaiS
b0365,tauA
b0365,ssiA
b0365,yaiR
b0366,tauB
b0366,ssiB
b0366,yaiQ
b0367,tauC
b0367,ssiC
b0367,yaiJ
b0368,tauD
b0368,ssiD
b0368,yaiG
b0369,hemB
b0369,ncf
b0372,insF2
b0373,insE2
b0375,yaiV
b0376,ampH
b0376,yaiH
b0377,sbmA
b0378,yaiW
b0379,yaiY
b0380,yaiZ
b0381,ddlA
b0382,iraP
b0382,yaiB
b0383,phoA
b0384,psiF
b0385,adrA
b0385,yaiC
b0386,proC
b0387,yaiI
b0388,aroL
b0389,yaiA
b0390,aroM
b0391,yaiE
b0392,ykiA
b0393,rdgC
b0393,yaiD
b0394,mak
b0394,yajF
b0396,araJ
b0397,sbcC
b0397,rmuA
b0398,sbcD
b0398,yajA
b0399,phoB
b0400,phoR
b0400,nmpB
b0401,brnQ
b0402,proY
b0402,yajM
b0403,malZ
b0404,acpH
b0404,yajB
b0405,queA
b0406,tgt
b0407,yajC
b0408,secD
b0409,secF
b0410,yajD
b0411,tsx
b0411,nupA
b0412,yajI
b0413,nrdR
b0413,ybaD
b0414,ribD
b0414,ribG
b0414,ybaE
b0415,ribE
b0415,ribH
b0415,ybaF
b0416,nusB
b0416,ssyB
b0417,thiL
b0418,pgpA
b0418,yajN
b0419,yajO
b0420,dxs
b0420,yajP
b0421,ispA
b0422,xseB
b0422,yajE
b0423,thiI
b0423,yajK
b0424,yajL
b0424,thiJ
b0425,panE
b0425,apbA
b0426,yajQ
b0427,yajR
b0428,cyoE
b0429,cyoD
b0430,cyoC
b0431,cyoB
b0432,cyoA
b0433,ampG
b0434,yajG
b0435,bolA
b0436,tig
b0437,clpP
b0437,lopP
b0438,clpX
b0438,lopC
b0439,lon
b0439,capR
b0439,deg
b0439,lopA
b0439,muc
b0440,hupB
