bnumber,logFC
b3241,-0.27894467264079
b3240,-0.0221440765758915
b3243,-0.32434252786495
b3242,-0.703537896961405
b2836,-0.331919055773366
b0885,0.321590801769188
b1338,-0.22594957752145398
b1337,-0.164741045822255
b1339,-0.19150185563713604
b1336,-0.0778271498979945
b0715,-1.3899148832447499
b0185,0.0265469257916221
b3255,-0.43531854650984997
b3256,-0.454609859358151
b2316,0.0879488383246073
b4015,1.92741465404011
b4014,1.25268458501124
b0114,4.06008069012452
b0115,3.96477653172704
b4016,1.9022422984796399
b2296,-1.33024110285505
b1276,2.38889989550402
b0118,3.77650988243361
b1094,0.0671055488543761
b2563,-0.6734389112180621
b3475,-0.312935870767396
b0463,0.147827014595552
b0462,0.251402839577236
b3699,0.251402839577236
b2470,-0.25708064487264803
b3265,-0.548692624774051
b0462,-0.548692624774051
b3266,-0.21137670940139103
b0464,0.10643951692050801
b4069,3.4139528367491097
b4067,1.33231041717918
b2213,-0.302834971160807
b1623,0.279840843453498
b3665,0.0971682913121968
b1241,-2.8681209186177896
b1478,2.3438023139122204
b4117,-0.9002458032456191
b4115,-2.87118152803937
b4116,-4.08813963859234
b0474,-0.142621132231228
b2468,-0.9989594291026701
b3072,1.3995601062273701
b0476,-0.234575989316595
b0263,-0.32868122946026396
b0262,0.694259453372045
b3135,-0.40295861015569107
b3138,-0.00777565916076494
b3139,-0.39818563511029204
b3140,0.45919378064722904
b3141,-0.0833874338061648
b3131,-0.46203982504261604
b3136,-0.36146252968554
b3133,0.19991072297857798
b1002,-0.0327401361096164
b0605,2.0887292940218702
b0606,1.2852472003038702
b4187,-0.413181970200445
b2252,0.7229065145463349
b2697,-0.0667689900920554
b1415,1.32971275602354
b3588,-0.0381357352297234
b2068,0.202137116278852
b2212,-0.20188834629462696
b0505,-0.440191469414291
b0512,-0.00592105267513062
b0516,-0.314871235593347
b0517,-0.0174458829392321
b0506,-0.0961714165280121
b2624,-0.18900427827068303
b4053,-0.19492505694957998
b4087,-0.34289319461428597
b4088,-0.284109547950101
b0889,-0.284109547950101
b4086,0.0246455148082613
b4085,-0.41284224062597497
b4084,-0.10875460357159
b3088,0.348627692120552
b2435,0.569769741659699
b4169,0.156813799711017
b2817,0.540815021473395
b1982,0.535574488934015
b4150,-0.15220437672816198
b0110,-0.39877538209420005
b0111,-0.14412722230245198
b0433,0.34152401659933196
b0376,-0.12286671989618199
b0451,-0.0110922260366248
b1927,0.33036596445321004
b1767,0.0630318038888449
b2957,-2.12487679198981
b1453,1.54284652207926
b0050,0.0188536786573146
b0049,0.00327439915542547
b4055,-0.6408269347570891
b0980,-1.2867912250336
b0979,-1.29099769893738
b0978,-1.58073360386508
b0564,-3.96550697128691
b0469,0.0712670575533614
b0875,-0.102255716461253
b0062,-0.532194398035758
b0063,0.0532201701342711
b0064,-0.237481859698332
b0061,-0.633015773408934
b2841,-0.09821633872995698
b1901,0.36637876372712797
b1900,-0.29088524143427197
b4460,-0.114130831021788
b0396,-0.0735132757387477
b4401,0.33313661786617
b3210,-0.212069878160218
b2818,1.5956428754441698
b3959,1.3274706768979398
b3958,1.43727835184477
b3359,0.670964810821041
b3957,1.0659126221770001
b0273,2.05308975450072
b3172,1.01226092775791
b3960,1.20242629102618
b4254,2.00839659141095
b2918,-0.265093256347295
b2923,-0.025501384459397
b2916,-0.34915184322637893
b3237,-0.187098359865426
b1876,0.41993213780425304
b2310,3.99371595730214
b2257,-0.0172221411285846
b0908,-0.583330304436394
b3389,0.0478031392001294
b2329,0.23389254734686601
b1693,-0.0130935550015829
b3281,0.26595132858364
b2601,0.466750125842735
b0754,-0.151239103490978
b1704,-0.458151787602067
b3390,0.0558572871429217
b0388,-0.3313504253373
b0390,-0.0112383977469729
b0112,0.7714218996399801
b4017,0.976771721674917
b3502,0.26034442864414303
b3503,-0.15090524765972
b3501,-1.16833035364562
b0863,0.24981511758295896
b0860,0.6652930553661861
b0861,0.32780391191520003
b0864,0.515265893260323
b0862,0.43477012467693604
b2716,-0.24861783312622399
b2715,-0.33047679877625
b2714,-0.170846202149839
b3433,-0.62272562107655
