bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b0001,1.4413239886854145e-09,2.7047525593613756e-09,2.745901377375783e-09,1.5203471699468599e-09,2.0709306152435525e-09,1.717332636223493e-09,1.9072158333762065e-09,4.042232703795785e-09,2.1670358158280087e-09,3.0630046899955484e-09,3.082566728914139e-09,3.71271740835937e-09,4.0647964168191006e-09,2.6888834037794368e-09,2.346755843884615e-09,2.5392265109089202e-09,2.33122829695807e-09,3.7367730372491244e-09
b0002,1.9002736021238483e-09,1.9965044890194016e-09,2.2272790170546844e-09,2.3129462303044793e-09,1.5127602436447506e-09,6.990487679975668e-10,1.8176803025317258e-09,1.8786341957902705e-09,2.281719964936561e-09,2.361448884738591e-09,2.534937326118016e-09,2.0423750393000658e-09,1.6819279394151956e-09,1.4584144821017653e-09,1.8102166547758509e-09,1.92778599637206e-09,2.0944949036403567e-09,2.0461322276779155e-09
b0003,1.20402446217438e-09,1.4947171306996037e-09,1.5641567687680663e-09,1.7536711903597526e-09,9.052506277011565e-10,6.834554529762326e-10,1.5103655298389868e-09,1.5531404807548022e-09,1.3138370499452871e-09,1.6646976157802068e-09,1.6669315483622043e-09,1.5956661951762638e-09,1.3867581466057158e-09,1.3083253997679832e-09,1.4111552885645888e-09,1.3074554552645651e-09,1.2470817452932382e-09,1.5352517306852247e-09
b0004,1.7050312358290323e-09,1.7229785922713547e-09,1.815901524114115e-09,1.7426326342981042e-09,1.0664622659714958e-09,8.762809644952874e-10,1.6292609962270006e-09,1.646170305722656e-09,1.578351470067928e-09,1.5120952758404303e-09,1.6878004685814917e-09,1.6827373403254359e-09,1.5578374139991276e-09,1.560898730022709e-09,1.6011170381983578e-09,1.4824781185127333e-09,1.4237406037114296e-09,1.7522212336921997e-09
b0005,6.61147865680772e-11,6.128045668866267e-11,7.943516284284207e-11,6.581660180129169e-11,5.550666943600153e-11,6.08574994872207e-11,8.143611150395776e-11,8.205190731359262e-11,7.035167538851342e-11,5.717585034340149e-11,6.763906573038148e-11,7.76735309831959e-11,6.671549566125667e-11,7.8159340439204e-11,7.554433926926504e-11,8.026877393189415e-11,5.924024462277642e-11,6.282826052626961e-11
b0006,8.236431899833174e-11,1.0249047038571734e-10,1.1052617491617095e-10,1.048753733059159e-10,1.0029148628425668e-10,9.247418926645281e-11,7.001559971228833e-11,1.1153522621146648e-10,1.063280524739835e-10,1.0120516264305784e-10,8.020145594515064e-11,8.845784085492641e-11,8.07321532992953e-11,9.695604225495644e-11,1.0498326735563845e-10,1.102247493580237e-10,1.0317781566861311e-10,9.404611381181532e-11
b0007,2.0091182872584565e-11,1.990510541521359e-11,1.4013514106095788e-11,1.1975563052768302e-11,9.070651906361679e-12,8.879906608659234e-12,1.9799939908787776e-11,1.4822549257616327e-11,1.2089460618287355e-11,1.1436068565582059e-11,9.550942614761082e-12,1.4111518593676965e-11,2.6190698561978745e-11,1.9305361681498632e-11,1.2594245092162787e-11,1.1962853916339356e-11,1.4344596507681654e-11,9.458189505798248e-12
b0008,1.9230928756111714e-09,1.992378065762525e-09,2.0385580038272702e-09,1.8070191637089294e-09,1.7043667154962742e-09,1.5323196661007462e-09,1.968106502495889e-09,2.096270863135765e-09,2.007621118178787e-09,2.003342243707444e-09,1.912268082860467e-09,1.961435057771103e-09,2.0786015687688355e-09,2.010635886437021e-09,2.0729430111510897e-09,1.9596025045014442e-09,1.920880970824116e-09,1.9585300284094713e-09
b0009,8.547545062561808e-11,9.175284837399871e-11,8.147732437790662e-11,7.708322347579977e-11,7.169300416468639e-11,8.049295321347143e-11,1.0038083628880805e-10,1.0080553977656305e-10,7.02815747187489e-11,8.390271214758977e-11,6.821520768719904e-11,6.650033924922643e-11,8.46847459465684e-11,9.273540342721469e-11,8.730712054560377e-11,7.339692818631076e-11,5.410854010481226e-11,7.200389157416681e-11
b0010,4.6346460413559266e-11,4.831811599958485e-11,5.570413121937817e-11,4.052676198912318e-11,4.8380371475431246e-11,4.330495995487569e-11,6.624877229532803e-11,4.993226251682296e-11,5.067534508283878e-11,4.535567911466876e-11,3.400203068682611e-11,4.09130223955009e-11,6.978016507325786e-11,5.117943330359969e-11,4.271058050559155e-11,4.7575084855746925e-11,4.2671618301518516e-11,4.331174015077886e-11
