"","ENSG ID","log2 FC","P-value","Adjusted PV"
"PLIN2","ENSG00000147872","2.82531359332609","2.22831938800782e-25","3.43629132824685e-21"
"AREGB","ENSG00000205595","2.55160029845386","1.52262557410414e-17","1.174020448913e-13"
"AREG","ENSG00000109321","2.60746605275541","3.3640376013662e-17","1.72922746168894e-13"
"IL6","ENSG00000136244","2.58548084133252","4.71779295262131e-15","1.81882712805933e-11"
"IGFBP1","ENSG00000146678","3.41040161237537","8.41773270102391e-15","2.59619711964979e-11"
"PTGS2","ENSG00000073756","2.66757865973944","1.91193923232772e-12","4.91400248362095e-09"
"SLC7A11","ENSG00000151012","1.79604047428195","3.37542279616383e-11","7.43605641994891e-08"
"ANGPTL4","ENSG00000167772","2.17373672036594","8.30673888826623e-10","1.60122775494942e-06"
"ATF3","ENSG00000162772","1.62976427573711","9.05969416460187e-09","1.55232826347028e-05"
"CPT1A","ENSG00000110090","0.878447061555523","4.41161576598904e-08","6.8031526727317e-05"
"CYP1A1","ENSG00000140465","-1.20253874994528","1.39565620592293e-07","0.000195658312286704"
"PRR15L","ENSG00000167183","-1.18935749484225","6.33823155467033e-07","0.000814515573371426"
"GCLC","ENSG00000001084","1.35628838650591","1.06659054530385e-06","0.00126522252301005"
"STC2","ENSG00000113739","1.46346492182598","1.17842417937431e-06","0.0012980342335808"
"IGFBP3","ENSG00000146674","1.17628278530805","1.7942134558651e-06","0.00184457104685971"
"LRG1","ENSG00000171236","-1.02268047169535","2.08070576016847e-06","0.00200541022047238"
"SULT1C2","ENSG00000198203","-1.42369290065624","2.34431430960182e-06","0.00212656888049233"
"C4BPA","ENSG00000123838","-1.29809641891052","2.78434514328083e-06","0.00238541035858521"
"ABLIM3","ENSG00000173210","0.998054567556969","5.32858486282506e-06","0.00432484774576975"
"HSD11B1L","ENSG00000167733","-1.1591757836801","8.73944342025584e-06","0.00673854784918826"
"SHC4","ENSG00000185634","1.42554137727375","9.22240002878217e-06","0.00677231575446904"
"IER3","ENSG00000137331","1.21291017751161","1.00878686401298e-05","0.00707113737724737"
"TXNRD1","ENSG00000198431","1.05041223058822","1.3285279556638e-05","0.00890749113230063"
"AC073610.5","ENSG00000255863","1.70917818519476","1.62387712227747e-05","0.0104340871261004"
"GCLM","ENSG00000023909","0.868155861606584","1.83515054847527e-05","0.0109525145491711"
"FGF2","ENSG00000138685","0.893725019164047","1.95812952134289e-05","0.0109525145491711"
"AKR1C1","ENSG00000187134","0.861576920773443","1.96328978530107e-05","0.0109525145491711"
"CCDC152","ENSG00000198865","-0.84051809816952","1.98865448010369e-05","0.0109525145491711"
"ECH1","ENSG00000104823","0.68747856557598","2.31977041173567e-05","0.0121312647181921"
"SERPINA6","ENSG00000170099","-0.84310057748354","2.4359737880585e-05","0.0121312647181921"
"SLC25A34","ENSG00000162461","-0.896410158530755","2.43868235694154e-05","0.0121312647181921"
"PAM16","ENSG00000217930","-1.31225757380541","2.60172768792248e-05","0.0121808444527873"
"SEPP1","ENSG00000250722","-0.799502173300914","2.6225376726025e-05","0.0121808444527873"
"TNFRSF11B","ENSG00000164761","1.02472853675225","2.68561514424985e-05","0.0121808444527873"
"RHOB","ENSG00000143878","0.792563610735102","2.94731202842823e-05","0.0129858567972548"
"CITED2","ENSG00000164442","1.05141260413721","3.10338644453702e-05","0.0132937006558904"
"DEFB1","ENSG00000164825","-1.41447998914876","3.22613887462094e-05","0.0134460236717648"
"HSPA13","ENSG00000155304","0.899157357542997","3.95854236148096e-05","0.0159402068036074"
"TCN1","ENSG00000134827","-1.77784867066755","4.12942960928484e-05","0.0159402068036074"
"TGIF2-C20orf24","ENSG00000259399","1.78549504682396","4.13467526194343e-05","0.0159402068036074"
"IL1A","ENSG00000115008","1.4469480544667","4.30768241133107e-05","0.0162021391378382"
"CSRNP1","ENSG00000144655","0.755069243171567","4.70597865702543e-05","0.0170006843726968"
"LDLR","ENSG00000130164","0.811790357572236","4.74048004685794e-05","0.0170006843726968"
"CAPN8","ENSG00000203697","1.26453449350032","5.85517377860693e-05","0.020521053372704"
"MMP1","ENSG00000196611","0.884430729111932","6.00445534205795e-05","0.0205766012955279"
"TSPAN8","ENSG00000127324","-0.860037230332726","6.54256646701157e-05","0.0219332429321273"
"LAMP3","ENSG00000078081","1.63638157339034","6.80451177967328e-05","0.0223151897903029"
"PAEP","ENSG00000122133","1.87712897933925","6.9639995619193e-05","0.0223151897903029"
"ZNF250","ENSG00000196150","1.04080702738464","7.09061863513937e-05","0.0223151897903029"
"PDE10A","ENSG00000112541","1.11199247985522","7.70087914890504e-05","0.0236946303201454"
"SSTR5-AS1","ENSG00000261713","-2.15427373347832","7.85040787570479e-05","0.0236946303201454"
"PPP1R15A","ENSG00000087074","1.25058228442968","7.98988896081681e-05","0.0236946303201454"
"RASSF4","ENSG00000107551","-0.699717335609812","8.38203802881428e-05","0.0243885676306311"
"WARS","ENSG00000140105","0.814380616657941","8.5448534857692e-05","0.0244018862229716"
"SAPCD1","ENSG00000228727","3.01327248870324","9.84148102583133e-05","0.0275937234362445"
"FICD","ENSG00000198855","0.972579967151294","0.000115140629955952","0.0317068509741203"
"KLF4","ENSG00000136826","1.15706352604892","0.000123106078402125","0.0333055935971784"
"SCNN1A","ENSG00000111319","-0.795210946433337","0.000125606483030209","0.0333961650829113"
"GK","ENSG00000198814","0.958137319424679","0.000131083905964677","0.0342617782013776"
"TGIF1","ENSG00000177426","0.708229489674183","0.000139447422907951","0.0358403118110586"
"GDF15","ENSG00000130513","1.30141100342006","0.00014192196554056","0.0358783382065734"
"CDH22","ENSG00000149654","-1.13565333538554","0.00014838349142039","0.0369068035676426"
"TRIM16","ENSG00000221926","0.997281618246582","0.000155252241193013","0.0372757027759866"
"WIPI1","ENSG00000070540","0.690267901263341","0.000155500666808013","0.0372757027759866"
"TRIB3","ENSG00000101255","1.25587158807808","0.00015711825954472","0.0372757027759866"
"SIK1","ENSG00000142178","0.770589290306642","0.00016400209493252","0.0382518887834033"
"SNTB2","ENSG00000168807","-1.05178729994902","0.000169603262094431","0.0382518887834033"
"LUCAT1","ENSG00000248323","1.83052495743691","0.000170459288304449","0.0382518887834033"
"CDC6","ENSG00000094804","1.3603438519273","0.000171154939761029","0.0382518887834033"
"HILPDA","ENSG00000135245","1.48624230307032","0.00018938925598862","0.041722453094293"
"CXCL2","ENSG00000081041","1.14035922071953","0.000194080363157147","0.0417656599273321"
"DDIT4","ENSG00000168209","0.894614111386732","0.000195002108473375","0.0417656599273321"
