Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
ethanol[c]	10	-14.106	0.9576	0.99976	22.368	0.097832	0.34649	13.178	0.48062	0.61611	1	4.1413	0.41884	0.58361	9	12.511	0.80978	0.92504
acetaldehyde[c]	17	-20.35	0.99386	0.99976	29.855	0.049434	0.22619	17.957	0.43159	0.56842	1	4.1413	0.41884	0.58361	16	17.475	0.82506	0.93764
acetate[c]	47	-23.112	0.98839	0.99976	45.13	0.012203	0.085146	40.232	0.016017	0.1086	12	12.854	0.23569	0.39395	35	39.095	0.056154	0.51104
acetate[m]	16	-22.228	0.99657	0.99976	41.823	0.0017303	0.038239	22.119	0.17963	0.31557	3	-7.7809	0.95331	0.99965	13	28.277	0.024946	0.38901
acetyl-CoA[m]	54	-26.493	0.99604	0.99976	47.978	0.010604	0.077321	50.985	0.00012993	0.031475	11	24.699	0.0077324	0.12041	43	44.643	0.023247	0.38576
AMP[m]	58	-19.223	0.92549	0.99976	39.658	0.10697	0.37112	48.199	0.0024734	0.094452	16	25.423	0.0083169	0.12041	42	40.949	0.099098	0.54572
PPi[m]	51	-28.351	0.99874	0.99976	51.616	0.0033542	0.046049	50.39	0.0001015	0.028041	10	23.281	0.0086334	0.12041	41	44.702	0.012895	0.32381
pyruvate[m]	17	-8.3142	0.68008	0.99976	19.459	0.29997	0.71208	22.171	0.17978	0.31559	6	8.2142	0.36283	0.52403	11	21.495	0.20851	0.63481
CO2[m]	36	-14.297	0.84825	0.99976	23.924	0.37878	0.77506	36.232	0.019862	0.11737	10	19.233	0.037215	0.18682	26	30.706	0.25943	0.63481
H+[p]	79	-22.998	0.95925	0.99976	50.678	0.021887	0.12154	42.418	0.1432	0.27448	23	16.485	0.19303	0.34783	56	39.817	0.57849	0.7965
NADH[p]	31	-23.395	0.9955	0.99976	42.778	0.0061492	0.051603	30.693	0.099761	0.222	5	11.073	0.2037	0.3586	26	28.659	0.42706	0.74039
pyruvate[p]	14	-6.0706	0.59557	0.99976	13.951	0.45392	0.81174	15.737	0.49093	0.62678	5	7.3071	0.38204	0.54733	9	14.182	0.68962	0.90326
L-lactate[p]	6	-5.196	0.62074	0.99976	10.529	0.42861	0.79745	7.7265	0.66002	0.80802	3	0.72333	0.68162	0.82025	3	10.204	0.43535	0.74655
NAD+[p]	31	-23.395	0.9955	0.99976	42.778	0.0061492	0.051603	30.693	0.099761	0.222	5	11.073	0.2037	0.3586	26	28.659	0.42706	0.74039
pyruvate[c]	35	-12.422	0.7555	0.99976	29.376	0.19967	0.56864	32.601	0.072071	0.17942	12	15.281	0.14002	0.31808	23	29.179	0.2416	0.63481
L-lactate[c]	22	-15.59	0.93745	0.99976	30.232	0.07198	0.28246	22.889	0.24409	0.38367	7	3.4781	0.66213	0.79866	15	25.344	0.17077	0.604
acetaldehyde[m]	5	-18.164	0.99406	0.99976	35.691	0.0013212	0.030416	20.581	0.027671	0.1276	0	NA	NA	NA	5	20.581	0.027684	0.38901
fructose-6-phosphate[c]	25	10.545	0.0016617	0.16772	0.66927	0.97513	0.98673	30.474	0.051057	0.1445	14	25.369	0.0084448	0.12041	11	17.32	0.55265	0.7965
fructose-1,6-bisphosphate[c]	9	-2.9933	0.44488	0.99976	22.829	0.082225	0.31116	26.444	0.0074988	0.094452	3	18.293	0.021768	0.14204	6	19.452	0.07644	0.54345
UTP[c]	86	-14.507	0.61038	0.99976	39.201	0.26805	0.66059	64.687	1.6714e-06	0.0036938	29	41.657	8.7168e-06	0.016597	57	49.743	0.018884	0.3532
DHAP[c]	9	-6.1199	0.6489	0.99976	20.948	0.11871	0.3981	26.208	0.0083744	0.094452	3	15.559	0.051456	0.20765	6	21.096	0.035093	0.42638
erythrose-4-phosphate[c]	7	6.3294	0.044415	0.73707	6.7725	0.62725	0.95736	16.362	0.16519	0.30301	5	9.7178	0.26161	0.40624	2	15.246	0.042138	0.45365
sedoheptulose-1,7-bisphosphate[c]	6	2.9609	0.15797	0.81038	16	0.22305	0.57924	25.4	0.0045282	0.094452	3	18.293	0.021768	0.14204	3	17.627	0.037673	0.42638
PEP[c]	10	7.0349	0.029987	0.73635	4.9245	0.74717	0.9623	26.394	0.011857	0.094452	5	23.439	0.005179	0.12041	5	13.888	0.33406	0.70083
methylglyoxal[c]	11	-4.3472	0.48294	0.99976	12.626	0.46742	0.8192	20.448	0.1332	0.25845	4	13.234	0.10739	0.30375	7	15.629	0.39873	0.72583
2-phospho-D-glycerate[c]	7	4.284	0.086696	0.73707	-2.4446	0.90681	0.9791	18.024	0.1054	0.22796	4	14.719	0.072714	0.25978	3	10.536	0.40707	0.72583
3-phospho-D-glycerate[c]	14	1.6156	0.15055	0.81038	-0.53361	0.92862	0.9791	19.649	0.2467	0.38717	6	17.964	0.039515	0.18682	8	10.436	0.87256	0.97358
1,3-bisphospho-D-glycerate[c]	13	4.9244	0.040299	0.73707	-3.5823	0.97152	0.98534	17.563	0.32376	0.45142	6	18.289	0.035685	0.18498	7	7.0019	0.95044	1
GAP[c]	11	9.0023	0.0090749	0.52224	3.0455	0.84797	0.96733	22.036	0.084677	0.19929	7	16.371	0.069028	0.25229	4	14.885	0.17743	0.60467
glucose-6-phosphate[c]	13	10.002	0.0042839	0.31558	-0.1552	0.93536	0.9791	28.017	0.01192	0.094452	8	23.994	0.0062301	0.12041	5	14.826	0.26198	0.63481
glucose[c]	39	0.9354	0.057251	0.73707	18.189	0.68534	0.9623	36.104	0.027365	0.1276	20	23.738	0.027848	0.15542	19	27.372	0.19301	0.62362
glucose-1-phosphate[c]	15	-1.3189	0.27767	0.92789	2.4866	0.8808	0.96738	24.657	0.071838	0.17939	7	16.894	0.05936	0.22616	8	17.961	0.27373	0.63593
glucose-6-phosphate[r]	8	-5.5145	0.60637	0.99976	24.372	0.054761	0.24449	23.702	0.016688	0.10952	3	13.6	0.088007	0.29455	5	19.447	0.048052	0.48205
glucose[r]	6	2.8424	0.1626	0.81038	10.166	0.44383	0.80071	21.115	0.030248	0.1293	3	16.469	0.039207	0.18682	3	13.392	0.19583	0.62637
Pi[r]	24	-10.389	0.71646	0.99976	23.807	0.26478	0.65897	27.824	0.080878	0.19261	9	12.624	0.19372	0.34791	15	25.417	0.16658	0.59489
lipoamide[m]	12	-15.19	0.96146	0.99976	23.308	0.10582	0.3677	19.154	0.19993	0.34225	2	1.3634	0.60645	0.74766	10	20.373	0.23145	0.63481
dihydrolipoamide[m]	7	-17.19	0.98646	0.99976	36.941	0.0016521	0.037256	18.468	0.092497	0.21271	0	NA	NA	NA	7	18.468	0.1884	0.6144
beta-D-glucose[c]	7	4.4379	0.082725	0.73707	6.7206	0.62937	0.95736	19.095	0.07629	0.18487	4	14.809	0.070936	0.25789	3	12.068	0.28483	0.64145
beta-D-glucose-6-phosphate[c]	7	11.054	0.0064339	0.44434	-4.4229	0.93764	0.9791	18.571	0.089668	0.20727	5	17.369	0.043451	0.18682	2	7.28	0.53217	0.79202
H2O2[p]	22	-14.577	0.91348	0.99976	28.878	0.094979	0.34075	27.87	0.061424	0.16474	4	16.19	0.047549	0.19816	18	23.18	0.47939	0.77682
H2O[p]	44	-21.873	0.98761	0.99976	47.399	0.0036502	0.047734	45.657	0.00074198	0.088221	8	26.783	0.0018933	0.11895	36	37.85	0.12806	0.54572
CO2[r]	5	-1.2382	0.378	0.99807	13.284	0.29132	0.69754	15.669	0.1403	0.26962	2	10.915	0.13202	0.31023	3	11.316	0.34279	0.71169
maltose[s]	12	-13.82	0.93767	0.99976	28.905	0.0297	0.1502	19.697	0.17491	0.30924	3	2.245	0.60122	0.74291	9	21.448	0.12146	0.54572
glucose[s]	34	-12.036	0.76224	0.99976	27.227	0.24232	0.61483	28.084	0.23128	0.37767	12	10.596	0.34999	0.5104	22	27.087	0.33049	0.69731
UDP-glucose[c]	18	-6.7568	0.57354	0.99976	13.238	0.57777	0.94026	27.683	0.038798	0.13773	7	16.197	0.072512	0.25959	11	22.491	0.14991	0.5734
UDP-glucuronate[c]	30	-6.5288	0.44956	0.99976	11.522	0.8173	0.96733	0.17093	0.99993	1	11	-6.8603	0.98067	0.99965	19	5.4347	0.99999	1
glycogenin[c]	5	-0.11173	0.30894	0.92789	7.3385	0.54078	0.9054	16.862	0.099849	0.222	2	12.596	0.08676	0.29275	3	11.485	0.32941	0.69731
glycogenin G11[c]	5	-4.2943	0.5791	0.99976	10.882	0.38739	0.77642	12.79	0.27812	0.41113	1	9.8058	0.14601	0.32109	4	9.3972	0.62084	0.84372
maltodecaose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
fructose[c]	24	-12.374	0.81567	0.99976	23.734	0.26736	0.66059	25.277	0.17228	0.30558	8	6.9146	0.4718	0.61274	16	26.068	0.16373	0.59209
maltononaose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltodecaose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltononaose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltoheptaose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltoheptaose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltohexaose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltohexaose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltopentaose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltopentaose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltotetraose[c]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltotetraose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltotriose[c]	8	-12.065	0.91697	0.99976	25.922	0.03807	0.18216	15.338	0.25334	0.39464	2	-1.1908	0.73923	0.85375	6	18.398	0.11796	0.54572
maltotriose[s]	6	-12.986	0.94047	0.99976	23.653	0.057498	0.24674	11.872	0.38347	0.51424	1	-7.4609	0.93746	0.99428	5	16.341	0.16503	0.59209
maltose[c]	9	-9.478	0.82687	0.99976	22.542	0.087176	0.32473	16.318	0.24039	0.38045	3	2.245	0.60122	0.74291	6	18.398	0.11796	0.54572
glucose[l]	5	-6.8581	0.7349	0.99976	24.871	0.034373	0.16811	15.208	0.15853	0.29487	1	9.2223	0.16695	0.33422	4	12.392	0.35748	0.718
UDP-galactose[c]	63	-14.728	0.72795	0.99976	33.355	0.31532	0.72497	44.144	0.027205	0.1276	25	19.754	0.10303	0.30375	38	40.817	0.044917	0.4656
galactose[c]	16	0.49165	0.14505	0.81038	1.2195	0.93117	0.9791	26.475	0.049644	0.14396	7	20.955	0.015424	0.14204	9	16.819	0.45673	0.76336
fructose[s]	11	-14.292	0.95404	0.99976	26.109	0.050174	0.22863	14.986	0.41805	0.55267	3	-2.5735	0.82629	0.90471	8	19.149	0.19044	0.61901
galactose[s]	12	-3.1278	0.39085	0.99976	5.728	0.77316	0.9623	24.732	0.036085	0.13586	4	19.512	0.015743	0.14204	8	16.494	0.39653	0.72565
glycerol[s]	5	6.869	0.048004	0.73707	-4.2653	0.9154	0.9791	20.11	0.033182	0.13456	3	17.412	0.029141	0.1609	2	10.472	0.26	0.63481
CDP[c]	20	-6.282	0.4977	0.99976	31.386	0.05195	0.23527	34.616	0.0022475	0.094452	7	21.441	0.012849	0.14204	13	27.202	0.043014	0.45734
