"","label"
"S1",0
"S2",0
"S3",0
"S4",0
"S5",0
"S6",0
"S7",0
"S8",0
"S9",0
"S10",0
"S11",0
"S12",0
"S13",0
"S14",0
"S15",0
"S16",0
"S17",0
"S18",0
"S19",0
"S20",0
"S21",0
"S22",0
"S23",0
"S24",0
"S25",0
"S26",0
"S27",0
"S28",0
"S29",0
"S30",0
"S31",0
"S32",0
"S33",0
"S34",0
"S35",0
"S36",0
"S37",0
"S38",0
"S39",0
"S40",0
"S41",0
"S42",0
"S43",0
"S44",0
"S45",0
"S46",0
"S47",0
"S48",0
"S49",0
"S50",0
"S51",0
"S52",0
"S53",0
"S54",0
"S55",0
"S56",0
"S57",0
"S58",0
"S59",0
"S60",0
"S61",0
"S62",0
"S63",0
"S64",0
"S65",0
"S66",0
"S67",0
"S68",0
"S69",0
"S70",0
"S71",0
"S72",0
"S73",0
"S74",0
"S75",0
"S76",0
"S77",0
"S78",0
"S79",0
"S80",0
"S81",0
"S82",1
"S83",1
"S84",1
"S85",1
"S86",1
"S87",1
"S88",1
"S89",1
"S90",1
"S91",1
"S92",1
"S93",1
"S94",1
"S95",1
"S96",1
"S97",1
"S98",1
"S99",1
"S100",1
"S101",1
"S102",1
"S103",1
"S104",1
"S105",1
"S106",1
"S107",1
"S108",1
"S109",1
"S110",1
"S111",1
"S112",1
"S113",1
"S114",1
"S115",1
"S116",1
"S117",1
"S118",1
"S119",1
"S120",1
"S121",1
"S122",1
"S123",1
"S124",1
"S125",1
"S126",1
"S127",1
"S128",1
"S129",1
"S130",1
"S131",1
"S132",1
"S133",1
"S134",1
"S135",1
"S136",1
"S137",1
"S138",1
"S139",1
"S140",1
"S141",1
"S142",1
"S143",1
"S144",1
"S145",1
"S146",1
