GeneA	GeneB	Zscore	Pvalue
DHCR24	AMD1	-0.494984843065127	0.2
DHCR24	TM7SF2	-0.700131650305335	0.119047619047619
AMD1	TM7SF2	-0.591138037191545	0.161904761904762
DHCR24	STEAP1	-0.506043442209198	0.192857142857143
AMD1	STEAP1	-0.642018378345287	0.133333333333333
TM7SF2	STEAP1	-0.586825559495436	0.166666666666667
DHCR24	SORD	-0.584292186091744	0.166666666666667
AMD1	SORD	-0.814130624202549	0.0738095238095238
TM7SF2	SORD	-0.48898801748899	0.2
STEAP1	SORD	-0.284796548117926	0.323809523809524
DHCR24	TSPAN8	-0.683763733032468	0.121428571428571
AMD1	TSPAN8	-0.874014686986622	0.0595238095238095
TM7SF2	TSPAN8	-0.359175796713257	0.264285714285714
STEAP1	TSPAN8	-0.466464668048176	0.207142857142857
SORD	TSPAN8	-0.369085929254684	0.254761904761905
DHCR24	HIST2H2BE	-0.658068770508215	0.128571428571429
AMD1	HIST2H2BE	-0.612921720490977	0.15
TM7SF2	HIST2H2BE	-0.800074216309585	0.0833333333333333
STEAP1	HIST2H2BE	-0.198374659422617	0.452380952380952
SORD	HIST2H2BE	-0.585407558713493	0.166666666666667
TSPAN8	HIST2H2BE	-0.485933933433867	0.2
DHCR24	C1R	0.377717707374517	0.247619047619048
AMD1	C1R	0.520068319402311	0.192857142857143
TM7SF2	C1R	0.593199184631776	0.161904761904762
STEAP1	C1R	0.273815513155518	0.345238095238095
SORD	C1R	0.257408736968067	0.371428571428571
TSPAN8	C1R	0.690123039936009	0.121428571428571
HIST2H2BE	C1R	0.414032308960206	0.219047619047619
DHCR24	FOXA1	-0.479162661710322	0.202380952380952
AMD1	FOXA1	-0.506196792255539	0.192857142857143
TM7SF2	FOXA1	-0.520801389390175	0.192857142857143
STEAP1	FOXA1	-0.279177729454137	0.330952380952381
SORD	FOXA1	-0.37710472507314	0.247619047619048
TSPAN8	FOXA1	-0.216871727179346	0.421428571428571
HIST2H2BE	FOXA1	-0.49853674551039	0.2
C1R	FOXA1	0.341211215220879	0.280952380952381
DHCR24	BASP1	-0.818954706245762	0.0738095238095238
AMD1	BASP1	-0.900710004062518	0.0523809523809524
TM7SF2	BASP1	-0.513000966946685	0.192857142857143
STEAP1	BASP1	-0.374512941895621	0.252380952380952
SORD	BASP1	-0.539069639108921	0.19047619047619
TSPAN8	BASP1	-0.787234786686888	0.0880952380952381
HIST2H2BE	BASP1	-0.387037361663901	0.238095238095238
C1R	BASP1	0.532117858076592	0.19047619047619
FOXA1	BASP1	-0.625485237681175	0.142857142857143
DHCR24	HOXB13	-0.664561467921645	0.123809523809524
AMD1	HOXB13	-0.403024580829102	0.226190476190476
TM7SF2	HOXB13	-0.492750360205409	0.2
STEAP1	HOXB13	-0.44981565752372	0.211904761904762
SORD	HOXB13	-0.291805792084656	0.321428571428571
TSPAN8	HOXB13	-0.404706766009746	0.226190476190476
HIST2H2BE	HOXB13	-0.326200766083295	0.288095238095238
C1R	HOXB13	0.280890590693984	0.326190476190476
FOXA1	HOXB13	-0.337391149250063	0.283333333333333
BASP1	HOXB13	-0.598953976464929	0.157142857142857
DHCR24	NEFH	-0.553887609560977	0.183333333333333
AMD1	NEFH	-0.0437702744330052	0.857142857142857
TM7SF2	NEFH	-0.870839417322562	0.0619047619047619
STEAP1	NEFH	-0.638434777076859	0.138095238095238
SORD	NEFH	-0.769810253417145	0.0976190476190476
TSPAN8	NEFH	-0.691100425898503	0.121428571428571
HIST2H2BE	NEFH	-0.834683600452976	0.0738095238095238
C1R	NEFH	0.455709578383262	0.20952380952381
FOXA1	NEFH	-0.848554252022238	0.0642857142857143
BASP1	NEFH	-0.531737792661477	0.192857142857143
HOXB13	NEFH	-0.531385948832719	0.192857142857143
DHCR24	C1S	0.499811772087531	0.197619047619048
AMD1	C1S	0.523083771573358	0.192857142857143
TM7SF2	C1S	0.691476330460081	0.121428571428571
STEAP1	C1S	0.461990653650302	0.207142857142857
SORD	C1S	0.351080756345666	0.273809523809524
TSPAN8	C1S	0.69419922633004	0.121428571428571
HIST2H2BE	C1S	0.393285319889637	0.230952380952381
C1R	C1S	-0.135820000780442	0.578571428571429
FOXA1	C1S	0.386795348236347	0.238095238095238
BASP1	C1S	0.528105014300344	0.192857142857143
HOXB13	C1S	0.428742361135934	0.214285714285714
NEFH	C1S	0.513873805615935	0.192857142857143
