GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.0736842105263158
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
CAV1	FILIP1L	0.0360353370529898	0.878947368421053
GJA1	FILIP1L	0.274970636431974	0.276315789473684
GAS1	FILIP1L	0.484535052373981	0.0526315789473684
CAV1	PCP4	0.387913889015828	0.115789473684211
GJA1	PCP4	0.238457317583806	0.340789473684211
GAS1	PCP4	0.92304376863516	0
FILIP1L	PCP4	0.24794744985912	0.323684210526316
CAV1	ACTG2	0.348163238739534	0.159210526315789
GJA1	ACTG2	0.444786979533904	0.0736842105263158
GAS1	ACTG2	0.877461885118623	0
FILIP1L	ACTG2	-0.0947342513092492	0.688157894736842
PCP4	ACTG2	0.574861661494146	0.0263157894736842
CAV1	GSTP1	0.755112763158829	0.00263157894736842
GJA1	GSTP1	0.496544014476988	0.0447368421052632
GAS1	GSTP1	0.45055845707941	0.0697368421052632
FILIP1L	GSTP1	0.670745435733322	0.0118421052631579
PCP4	GSTP1	0.82316964976024	0
ACTG2	GSTP1	0.671599506996417	0.0118421052631579
CAV1	EDNRA	0.141269881846172	0.575
GJA1	EDNRA	-0.00793618999696418	0.973684210526316
GAS1	EDNRA	0.908019147963965	0
FILIP1L	EDNRA	0.0152987236999977	0.952631578947368
PCP4	EDNRA	0.224256498052298	0.371052631578947
ACTG2	EDNRA	0.294103065443562	0.243421052631579
GSTP1	EDNRA	0.448887228260398	0.0710526315789474
CAV1	MYLK	0.382274752772156	0.126315789473684
GJA1	MYLK	0.108098085209454	0.651315789473684
GAS1	MYLK	1.16214595763178	0
FILIP1L	MYLK	0.166128830083597	0.5
PCP4	MYLK	0.406333699789673	0.0986842105263158
ACTG2	MYLK	0.310772169875191	0.222368421052632
GSTP1	MYLK	0.854746304055682	0
EDNRA	MYLK	0.131380375489347	0.593421052631579
CAV1	ID3	0.543933673172617	0.0302631578947368
GJA1	ID3	0.486208652062949	0.0513157894736842
GAS1	ID3	0.210732527139131	0.402631578947368
FILIP1L	ID3	0.469379451563392	0.0631578947368421
PCP4	ID3	0.712068156980738	0.00526315789473684
ACTG2	ID3	0.619371415250541	0.0144736842105263
GSTP1	ID3	0.561476694492195	0.0289473684210526
EDNRA	ID3	0.330373990573831	0.190789473684211
MYLK	ID3	0.796318036772737	0
CAV1	TPM2	0.399675597208219	0.101315789473684
GJA1	TPM2	0.227709926991111	0.368421052631579
GAS1	TPM2	1.07882628361791	0
FILIP1L	TPM2	0.0518395054585916	0.823684210526316
PCP4	TPM2	0.531046902061787	0.0342105263157895
ACTG2	TPM2	0.158165175368923	0.522368421052632
GSTP1	TPM2	0.643709718630555	0.0131578947368421
EDNRA	TPM2	0.148043522671248	0.552631578947368
MYLK	TPM2	0.284534365866725	0.257894736842105
ID3	TPM2	0.699155342128981	0.00921052631578947
CAV1	FHL1	-0.0318138655135191	0.885526315789474
GJA1	FHL1	0.16181857429362	0.506578947368421
GAS1	FHL1	0.792594059736749	0
FILIP1L	FHL1	0.0390366578802387	0.863157894736842
PCP4	FHL1	0.290353720745558	0.247368421052632
ACTG2	FHL1	0.155449796126604	0.528947368421053
GSTP1	FHL1	0.510798067894395	0.0381578947368421
EDNRA	FHL1	0.117071287842974	0.632894736842105
MYLK	FHL1	0.0571923049082803	0.807894736842105
ID3	FHL1	0.56589306482096	0.0289473684210526
TPM2	FHL1	-0.126148308681523	0.603947368421053
CAV1	FERMT2	0.128686866125682	0.597368421052632
GJA1	FERMT2	0.208905723441119	0.406578947368421
GAS1	FERMT2	1.12308235652472	0
FILIP1L	FERMT2	-0.0975962933832992	0.678947368421053
PCP4	FERMT2	0.237656155782876	0.340789473684211
ACTG2	FERMT2	0.207579833017781	0.411842105263158
GSTP1	FERMT2	0.765922265457954	0.00263157894736842
EDNRA	FERMT2	0.246396398265092	0.326315789473684
MYLK	FERMT2	0.0312727669858457	0.888157894736842
ID3	FERMT2	0.543670974771684	0.0302631578947368
TPM2	FERMT2	-0.0998042831916297	0.671052631578947
FHL1	FERMT2	0.0543039762057316	0.818421052631579
CAV1	MYH11	0.323626752575867	0.2
GJA1	MYH11	0.296517811147153	0.239473684210526
GAS1	MYH11	0.665209405931518	0.0118421052631579
FILIP1L	MYH11	0.021498119674989	0.926315789473684
PCP4	MYH11	0.460360607681304	0.0657894736842105
ACTG2	MYH11	0.102252172512698	0.664473684210526
GSTP1	MYH11	0.552078926008369	0.0289473684210526
EDNRA	MYH11	0.139038636886344	0.578947368421053
MYLK	MYH11	0.393625594029587	0.109210526315789
ID3	MYH11	0.501236117211381	0.043421052631579
TPM2	MYH11	0.220061055795613	0.385526315789474
FHL1	MYH11	-0.0270146001619662	0.901315789473684
FERMT2	MYH11	0.0538753065453844	0.818421052631579
CAV1	COL6A2	0.165088749064004	0.5
GJA1	COL6A2	0.160914125926299	0.509210526315789
GAS1	COL6A2	0.643925178514424	0.0131578947368421
FILIP1L	COL6A2	0.0827878624734313	0.722368421052632
PCP4	COL6A2	0.344531577181541	0.163157894736842
ACTG2	COL6A2	0.0175837489023809	0.944736842105263
GSTP1	COL6A2	0.482849851802576	0.0526315789473684
EDNRA	COL6A2	0.0624009491122328	0.786842105263158
MYLK	COL6A2	0.280620836175022	0.265789473684211
ID3	COL6A2	0.587169333771948	0.0236842105263158
TPM2	COL6A2	0.0201041819799312	0.932894736842105
FHL1	COL6A2	0.191602444338937	0.455263157894737
FERMT2	COL6A2	0.201179367408641	0.428947368421053
MYH11	COL6A2	-0.073183518909459	0.743421052631579
CAV1	LMOD1	0.050094902424283	0.828947368421053
GJA1	LMOD1	0.155100236529363	0.528947368421053
GAS1	LMOD1	0.88138201708526	0
FILIP1L	LMOD1	0.114448668679879	0.638157894736842
PCP4	LMOD1	0.189314162400692	0.460526315789474
ACTG2	LMOD1	0.187724167810056	0.461842105263158
GSTP1	LMOD1	0.280814232253562	0.265789473684211
EDNRA	LMOD1	-0.161086023535063	0.509210526315789
MYLK	LMOD1	0.237332633284577	0.340789473684211
ID3	LMOD1	0.414555994057606	0.0947368421052632
TPM2	LMOD1	0.154066791370811	0.535526315789474
FHL1	LMOD1	-0.191571436704498	0.455263157894737
FERMT2	LMOD1	0.0149123980759398	0.955263157894737
MYH11	LMOD1	0.158246339545451	0.522368421052632
COL6A2	LMOD1	0.0164316470287034	0.951315789473684
CAV1	CNN1	0.165404487475866	0.5
GJA1	CNN1	0.344707873745223	0.163157894736842
GAS1	CNN1	0.855293157761548	0
FILIP1L	CNN1	-0.215914895346717	0.393421052631579
