GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.123684210526316
CAV1	GAS1	1.00159498050675	0.00131578947368421
GJA1	GAS1	1.10604441378625	0
CAV1	FILIP1L	0.0360353370529898	0.930263157894737
GJA1	FILIP1L	0.274970636431974	0.363157894736842
GAS1	FILIP1L	0.484535052373981	0.0894736842105263
CAV1	PCP4	0.387913889015828	0.182894736842105
GJA1	PCP4	0.238457317583806	0.435526315789474
GAS1	PCP4	0.92304376863516	0.00131578947368421
FILIP1L	PCP4	0.24794744985912	0.414473684210526
CAV1	ACTG2	0.348163238739534	0.242105263157895
GJA1	ACTG2	0.444786979533904	0.125
GAS1	ACTG2	0.877461885118623	0.00263157894736842
FILIP1L	ACTG2	-0.0947342513092492	0.771052631578947
PCP4	ACTG2	0.574861661494146	0.0421052631578947
CAV1	GSTP1	0.755112763158829	0.00789473684210526
GJA1	GSTP1	0.496544014476988	0.0802631578947368
GAS1	GSTP1	0.45055845707941	0.119736842105263
FILIP1L	GSTP1	0.670745435733322	0.0171052631578947
PCP4	GSTP1	0.82316964976024	0.00526315789473684
ACTG2	GSTP1	0.671599506996417	0.0171052631578947
CAV1	EDNRA	0.141269881846172	0.656578947368421
GJA1	EDNRA	-0.00793618999696418	0.989473684210526
GAS1	EDNRA	0.908019147963965	0.00131578947368421
FILIP1L	EDNRA	0.0152987236999977	0.971052631578947
PCP4	EDNRA	0.224256498052298	0.457894736842105
ACTG2	EDNRA	0.294103065443562	0.321052631578947
GSTP1	EDNRA	0.448887228260398	0.121052631578947
CAV1	MYLK	0.382274752772156	0.190789473684211
GJA1	MYLK	0.108098085209454	0.734210526315789
GAS1	MYLK	1.16214595763178	0
FILIP1L	MYLK	0.166128830083597	0.603947368421053
PCP4	MYLK	0.406333699789673	0.163157894736842
ACTG2	MYLK	0.310772169875191	0.289473684210526
GSTP1	MYLK	0.854746304055682	0.00526315789473684
EDNRA	MYLK	0.131380375489347	0.680263157894737
CAV1	ID3	0.543933673172617	0.05
GJA1	ID3	0.486208652062949	0.0881578947368421
GAS1	ID3	0.210732527139131	0.490789473684211
FILIP1L	ID3	0.469379451563392	0.102631578947368
PCP4	ID3	0.712068156980738	0.0105263157894737
ACTG2	ID3	0.619371415250541	0.0302631578947368
GSTP1	ID3	0.561476694492195	0.043421052631579
EDNRA	ID3	0.330373990573831	0.267105263157895
MYLK	ID3	0.796318036772737	0.00657894736842105
CAV1	TPM2	0.399675597208219	0.169736842105263
GJA1	TPM2	0.227709926991111	0.453947368421053
GAS1	TPM2	1.07882628361791	0
FILIP1L	TPM2	0.0518395054585916	0.894736842105263
PCP4	TPM2	0.531046902061787	0.0539473684210526
ACTG2	TPM2	0.158165175368923	0.627631578947368
GSTP1	TPM2	0.643709718630555	0.0223684210526316
EDNRA	TPM2	0.148043522671248	0.643421052631579
MYLK	TPM2	0.284534365866725	0.344736842105263
ID3	TPM2	0.699155342128981	0.0131578947368421
CAV1	FHL1	-0.0318138655135191	0.939473684210526
GJA1	FHL1	0.16181857429362	0.610526315789474
GAS1	FHL1	0.792594059736749	0.00657894736842105
FILIP1L	FHL1	0.0390366578802387	0.919736842105263
PCP4	FHL1	0.290353720745558	0.328947368421053
ACTG2	FHL1	0.155449796126604	0.632894736842105
GSTP1	FHL1	0.510798067894395	0.0671052631578947
EDNRA	FHL1	0.117071287842974	0.70921052631579
MYLK	FHL1	0.0571923049082803	0.884210526315789
ID3	FHL1	0.56589306482096	0.0421052631578947
TPM2	FHL1	-0.126148308681523	0.692105263157895
CAV1	FERMT2	0.128686866125682	0.689473684210526
GJA1	FERMT2	0.208905723441119	0.493421052631579
GAS1	FERMT2	1.12308235652472	0
FILIP1L	FERMT2	-0.0975962933832992	0.764473684210526
PCP4	FERMT2	0.237656155782876	0.438157894736842
ACTG2	FERMT2	0.207579833017781	0.494736842105263
GSTP1	FERMT2	0.765922265457954	0.00789473684210526
