GeneA	GeneB	Zscore	Pvalue
GSTP1	CAV1	0.755112763158829	0.0208333333333333
GSTP1	GJA1	0.496544014476988	0.0791666666666667
CAV1	GJA1	0.445690173145526	0.127083333333333
GSTP1	GAS1	0.45055845707941	0.122916666666667
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
GSTP1	PCP4	0.82316964976024	0.0104166666666667
CAV1	PCP4	0.387913889015828	0.1875
GJA1	PCP4	0.238457317583806	0.458333333333333
GAS1	PCP4	0.92304376863516	0
GSTP1	MYLK	0.854746304055682	0.00625
CAV1	MYLK	0.382274752772156	0.189583333333333
GJA1	MYLK	0.108098085209454	0.7
GAS1	MYLK	1.16214595763178	0
PCP4	MYLK	0.406333699789673	0.16875
GSTP1	ACTG2	0.671599506996417	0.0291666666666667
CAV1	ACTG2	0.348163238739534	0.25
GJA1	ACTG2	0.444786979533904	0.127083333333333
GAS1	ACTG2	0.877461885118623	0.00416666666666667
PCP4	ACTG2	0.574861661494146	0.05
MYLK	ACTG2	0.310772169875191	0.3125
GSTP1	KCNMB1	0.27326947579898	0.375
CAV1	KCNMB1	-0.0877324638863963	0.75625
GJA1	KCNMB1	0.121675253232621	0.66875
GAS1	KCNMB1	0.753889377274738	0.0208333333333333
PCP4	KCNMB1	0.160132207316538	0.589583333333333
MYLK	KCNMB1	0.168016537773747	0.566666666666667
ACTG2	KCNMB1	0.168215344379674	0.564583333333333
GSTP1	FHL1	0.510798067894395	0.0729166666666667
CAV1	FHL1	-0.0318138655135191	0.910416666666667
GJA1	FHL1	0.16181857429362	0.589583333333333
GAS1	FHL1	0.792594059736749	0.0166666666666667
PCP4	FHL1	0.290353720745558	0.335416666666667
MYLK	FHL1	0.0571923049082803	0.845833333333333
ACTG2	FHL1	0.155449796126604	0.595833333333333
KCNMB1	FHL1	-0.137296164259969	0.629166666666667
GSTP1	COX7A1	0.76336189513968	0.01875
CAV1	COX7A1	0.308020067379364	0.316666666666667
GJA1	COX7A1	0.237931609860916	0.460416666666667
GAS1	COX7A1	0.84172028244125	0.00833333333333333
PCP4	COX7A1	0.38821836579886	0.185416666666667
MYLK	COX7A1	0.12377126771005	0.664583333333333
ACTG2	COX7A1	0.102969323782937	0.70625
KCNMB1	COX7A1	0.189134856201512	0.520833333333333
FHL1	COX7A1	0.180932759444627	0.535416666666667
GSTP1	EDNRA	0.448887228260398	0.125
CAV1	EDNRA	0.141269881846172	0.620833333333333
GJA1	EDNRA	-0.00793618999696418	0.985416666666667
GAS1	EDNRA	0.908019147963965	0
PCP4	EDNRA	0.224256498052298	0.466666666666667
MYLK	EDNRA	0.131380375489347	0.639583333333333
ACTG2	EDNRA	0.294103065443562	0.333333333333333
KCNMB1	EDNRA	-0.12213706496673	0.66875
FHL1	EDNRA	0.117071287842974	0.683333333333333
COX7A1	EDNRA	0.0213518191498075	0.941666666666667
GSTP1	TPM2	0.643709718630555	0.03125
CAV1	TPM2	0.399675597208219	0.179166666666667
GJA1	TPM2	0.227709926991111	0.466666666666667
GAS1	TPM2	1.07882628361791	0
PCP4	TPM2	0.531046902061787	0.06875
MYLK	TPM2	0.284534365866725	0.354166666666667
ACTG2	TPM2	0.158165175368923	0.59375
KCNMB1	TPM2	0.0522579070119404	0.86875
FHL1	TPM2	-0.126148308681523	0.65625
COX7A1	TPM2	0.0389550161934453	0.895833333333333
EDNRA	TPM2	0.148043522671248	0.610416666666667
GSTP1	FILIP1L	0.670745435733322	0.0291666666666667
CAV1	FILIP1L	0.0360353370529898	0.908333333333333
GJA1	FILIP1L	0.274970636431974	0.375
GAS1	FILIP1L	0.484535052373981	0.0895833333333333
PCP4	FILIP1L	0.24794744985912	0.441666666666667
MYLK	FILIP1L	0.166128830083597	0.572916666666667
ACTG2	FILIP1L	-0.0947342513092492	0.729166666666667
KCNMB1	FILIP1L	-0.031872277971347	0.910416666666667
FHL1	FILIP1L	0.0390366578802387	0.895833333333333
COX7A1	FILIP1L	0.222384951610681	0.470833333333333
EDNRA	FILIP1L	0.0152987236999977	0.964583333333333
TPM2	FILIP1L	0.0518395054585916	0.86875
GSTP1	ID3	0.561476694492195	0.0520833333333333
CAV1	ID3	0.543933673172617	0.0604166666666667
GJA1	ID3	0.486208652062949	0.0895833333333333
GAS1	ID3	0.210732527139131	0.489583333333333
PCP4	ID3	0.712068156980738	0.0229166666666667
MYLK	ID3	0.796318036772737	0.0166666666666667
ACTG2	ID3	0.619371415250541	0.0375
KCNMB1	ID3	0.260840590424269	0.408333333333333
FHL1	ID3	0.56589306482096	0.05
COX7A1	ID3	0.705179204657154	0.0229166666666667
EDNRA	ID3	0.330373990573831	0.283333333333333
TPM2	ID3	0.699155342128981	0.025
FILIP1L	ID3	0.469379451563392	0.108333333333333
GSTP1	FERMT2	0.765922265457954	0.01875
CAV1	FERMT2	0.128686866125682	0.647916666666667
GJA1	FERMT2	0.208905723441119	0.49375
GAS1	FERMT2	1.12308235652472	0
PCP4	FERMT2	0.237656155782876	0.460416666666667
MYLK	FERMT2	0.0312727669858457	0.9125
ACTG2	FERMT2	0.207579833017781	0.495833333333333
KCNMB1	FERMT2	0.0628389807202041	0.829166666666667
FHL1	FERMT2	0.0543039762057316	0.860416666666667
COX7A1	FERMT2	-0.0754994017859472	0.78125
EDNRA	FERMT2	0.246396398265092	0.445833333333333
TPM2	FERMT2	-0.0998042831916297	0.714583333333333
FILIP1L	FERMT2	-0.0975962933832992	0.71875
ID3	FERMT2	0.543670974771684	0.0604166666666667
GSTP1	MYH11	0.552078926008369	0.05625
CAV1	MYH11	0.323626752575867	0.297916666666667
GJA1	MYH11	0.296517811147153	0.329166666666667
GAS1	MYH11	0.665209405931518	0.03125
PCP4	MYH11	0.460360607681304	0.1125
MYLK	MYH11	0.393625594029587	0.179166666666667
ACTG2	MYH11	0.102252172512698	0.70625
KCNMB1	MYH11	0.0992690768239808	0.714583333333333
FHL1	MYH11	-0.0270146001619662	0.920833333333333
COX7A1	MYH11	0.265982742267528	0.397916666666667
EDNRA	MYH11	0.139038636886344	0.625
TPM2	MYH11	0.220061055795613	0.475
FILIP1L	MYH11	0.021498119674989	0.941666666666667
ID3	MYH11	0.501236117211381	0.0770833333333333
FERMT2	MYH11	0.0538753065453844	0.8625
