GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.0815789473684211
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
CAV1	FILIP1L	0.0360353370529898	0.876315789473684
GJA1	FILIP1L	0.274970636431974	0.272368421052632
GAS1	FILIP1L	0.484535052373981	0.0605263157894737
CAV1	PCP4	0.387913889015828	0.125
GJA1	PCP4	0.238457317583806	0.344736842105263
GAS1	PCP4	0.92304376863516	0
FILIP1L	PCP4	0.24794744985912	0.330263157894737
CAV1	ACTG2	0.348163238739534	0.175
GJA1	ACTG2	0.444786979533904	0.0815789473684211
GAS1	ACTG2	0.877461885118623	0
FILIP1L	ACTG2	-0.0947342513092492	0.707894736842105
PCP4	ACTG2	0.574861661494146	0.0184210526315789
CAV1	GSTP1	0.755112763158829	0.00131578947368421
GJA1	GSTP1	0.496544014476988	0.0526315789473684
GAS1	GSTP1	0.45055845707941	0.0815789473684211
FILIP1L	GSTP1	0.670745435733322	0.00526315789473684
PCP4	GSTP1	0.82316964976024	0.00131578947368421
ACTG2	GSTP1	0.671599506996417	0.00526315789473684
CAV1	EDNRA	0.141269881846172	0.588157894736842
GJA1	EDNRA	-0.00793618999696418	0.975
GAS1	EDNRA	0.908019147963965	0
FILIP1L	EDNRA	0.0152987236999977	0.948684210526316
PCP4	EDNRA	0.224256498052298	0.372368421052632
ACTG2	EDNRA	0.294103065443562	0.243421052631579
GSTP1	EDNRA	0.448887228260398	0.0815789473684211
CAV1	MYLK	0.382274752772156	0.134210526315789
GJA1	MYLK	0.108098085209454	0.667105263157895
GAS1	MYLK	1.16214595763178	0
FILIP1L	MYLK	0.166128830083597	0.517105263157895
PCP4	MYLK	0.406333699789673	0.119736842105263
ACTG2	MYLK	0.310772169875191	0.225
GSTP1	MYLK	0.854746304055682	0.00131578947368421
EDNRA	MYLK	0.131380375489347	0.610526315789474
CAV1	ID3	0.543933673172617	0.0302631578947368
GJA1	ID3	0.486208652062949	0.0578947368421053
GAS1	ID3	0.210732527139131	0.402631578947368
FILIP1L	ID3	0.469379451563392	0.0671052631578947
PCP4	ID3	0.712068156980738	0.00131578947368421
