Gene	Hit	Module1	Module2	Class
CAV1	FALSE	TRUE	TRUE	TRUE_TRUE
GJA1	TRUE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	TRUE	TRUE	TRUE_TRUE
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
ACTG2	FALSE	TRUE	FALSE	TRUE_FALSE
GSTP1	FALSE	TRUE	FALSE	TRUE_FALSE
EDNRA	FALSE	TRUE	FALSE	TRUE_FALSE
MYLK	FALSE	TRUE	TRUE	TRUE_TRUE
ID3	FALSE	TRUE	FALSE	TRUE_FALSE
TPM2	FALSE	TRUE	TRUE	TRUE_TRUE
FHL1	FALSE	TRUE	FALSE	TRUE_FALSE
FERMT2	FALSE	TRUE	FALSE	TRUE_FALSE
MYH11	TRUE	TRUE	TRUE	TRUE_TRUE
COL6A2	FALSE	FALSE	TRUE	FALSE_TRUE
LMOD1	FALSE	FALSE	TRUE	FALSE_TRUE
CNN1	FALSE	FALSE	TRUE	FALSE_TRUE
FLNC	FALSE	FALSE	TRUE	FALSE_TRUE
CRYAB	FALSE	FALSE	TRUE	FALSE_TRUE
HPN	FALSE	FALSE	TRUE	FALSE_TRUE
