GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.261695906432749
CAV1	GAS1	1.00159498050675	0.0160818713450292
GJA1	GAS1	1.10604441378625	0.0043859649122807
CAV1	FILIP1L	0.0360353370529898	0.922514619883041
GJA1	FILIP1L	0.274970636431974	0.469298245614035
GAS1	FILIP1L	0.484535052373981	0.236842105263158
CAV1	PCP4	0.387913889015828	0.324561403508772
GJA1	PCP4	0.238457317583806	0.521929824561403
GAS1	PCP4	0.92304376863516	0.0248538011695906
FILIP1L	PCP4	0.24794744985912	0.505847953216374
CAV1	ACTG2	0.348163238739534	0.374269005847953
GJA1	ACTG2	0.444786979533904	0.263157894736842
GAS1	ACTG2	0.877461885118623	0.0292397660818713
FILIP1L	ACTG2	-0.0947342513092492	0.823099415204678
PCP4	ACTG2	0.574861661494146	0.149122807017544
CAV1	GSTP1	0.755112763158829	0.0730994152046784
GJA1	GSTP1	0.496544014476988	0.228070175438596
GAS1	GSTP1	0.45055845707941	0.258771929824561
FILIP1L	GSTP1	0.670745435733322	0.100877192982456
PCP4	GSTP1	0.82316964976024	0.0423976608187134
ACTG2	GSTP1	0.671599506996417	0.100877192982456
CAV1	EDNRA	0.141269881846172	0.728070175438597
GJA1	EDNRA	-0.00793618999696418	0.982456140350877
GAS1	EDNRA	0.908019147963965	0.0248538011695906
FILIP1L	EDNRA	0.0152987236999977	0.966374269005848
PCP4	EDNRA	0.224256498052298	0.545321637426901
ACTG2	EDNRA	0.294103065443562	0.444444444444444
GSTP1	EDNRA	0.448887228260398	0.258771929824561
CAV1	MYLK	0.382274752772156	0.334795321637427
GJA1	MYLK	0.108098085209454	0.804093567251462
GAS1	MYLK	1.16214595763178	0.00292397660818713
FILIP1L	MYLK	0.166128830083597	0.673976608187134
PCP4	MYLK	0.406333699789673	0.299707602339181
ACTG2	MYLK	0.310772169875191	0.421052631578947
GSTP1	MYLK	0.854746304055682	0.033625730994152
EDNRA	MYLK	0.131380375489347	0.744152046783626
CAV1	ID3	0.543933673172617	0.185672514619883
GJA1	ID3	0.486208652062949	0.232456140350877
GAS1	ID3	0.210732527139131	0.568713450292398
FILIP1L	ID3	0.469379451563392	0.247076023391813
PCP4	ID3	0.712068156980738	0.0818713450292398
ACTG2	ID3	0.619371415250541	0.124269005847953
GSTP1	ID3	0.561476694492195	0.171052631578947
EDNRA	ID3	0.330373990573831	0.39766081871345
MYLK	ID3	0.796318036772737	0.0497076023391813
CAV1	TPM2	0.399675597208219	0.308479532163743
GJA1	TPM2	0.227709926991111	0.542397660818713
GAS1	TPM2	1.07882628361791	0.0043859649122807
FILIP1L	TPM2	0.0518395054585916	0.887426900584795
PCP4	TPM2	0.531046902061787	0.194444444444444
ACTG2	TPM2	0.158165175368923	0.698830409356725
GSTP1	TPM2	0.643709718630555	0.111111111111111
EDNRA	TPM2	0.148043522671248	0.714912280701754
MYLK	TPM2	0.284534365866725	0.463450292397661
ID3	TPM2	0.699155342128981	0.0833333333333333
CAV1	FHL1	-0.0318138655135191	0.937134502923977
GJA1	FHL1	0.16181857429362	0.690058479532164
GAS1	FHL1	0.792594059736749	0.054093567251462
FILIP1L	FHL1	0.0390366578802387	0.910818713450292
PCP4	FHL1	0.290353720745558	0.448830409356725
ACTG2	FHL1	0.155449796126604	0.698830409356725
GSTP1	FHL1	0.510798067894395	0.211988304093567
EDNRA	FHL1	0.117071287842974	0.789473684210526
MYLK	FHL1	0.0571923049082803	0.883040935672515
ID3	FHL1	0.56589306482096	0.162280701754386
TPM2	FHL1	-0.126148308681523	0.760233918128655
CAV1	FERMT2	0.128686866125682	0.754385964912281
GJA1	FERMT2	0.208905723441119	0.571637426900585
GAS1	FERMT2	1.12308235652472	0.0043859649122807
FILIP1L	FERMT2	-0.0975962933832992	0.818713450292398
PCP4	FERMT2	0.237656155782876	0.524853801169591
ACTG2	FERMT2	0.207579833017781	0.574561403508772
GSTP1	FERMT2	0.765922265457954	0.064327485380117
