GeneA	GeneB	Zscore	Pvalue
DHCR24	AMD1	-0.494984843065127	0.15625
DHCR24	TM7SF2	-0.700131650305335	0.0367647058823529
AMD1	TM7SF2	-0.591138037191545	0.0974264705882353
DHCR24	STEAP1	-0.506043442209198	0.148897058823529
AMD1	STEAP1	-0.642018378345287	0.0625
TM7SF2	STEAP1	-0.586825559495436	0.101102941176471
DHCR24	SORD	-0.584292186091744	0.101102941176471
AMD1	SORD	-0.814130624202549	0.0110294117647059
TM7SF2	SORD	-0.48898801748899	0.159926470588235
STEAP1	SORD	-0.284796548117926	0.40625
DHCR24	TSPAN8	-0.683763733032468	0.0404411764705882
AMD1	TSPAN8	-0.874014686986622	0.00919117647058824
TM7SF2	TSPAN8	-0.359175796713257	0.318014705882353
STEAP1	TSPAN8	-0.466464668048176	0.194852941176471
SORD	TSPAN8	-0.369085929254684	0.306985294117647
DHCR24	HIST2H2BE	-0.658068770508215	0.0569852941176471
AMD1	HIST2H2BE	-0.612921720490977	0.0753676470588235
TM7SF2	HIST2H2BE	-0.800074216309585	0.0128676470588235
STEAP1	HIST2H2BE	-0.198374659422617	0.560661764705882
SORD	HIST2H2BE	-0.585407558713493	0.101102941176471
TSPAN8	HIST2H2BE	-0.485933933433867	0.165441176470588
DHCR24	C1R	0.377717707374517	0.295955882352941
AMD1	C1R	0.520068319402311	0.143382352941176
TM7SF2	C1R	0.593199184631776	0.0919117647058824
STEAP1	C1R	0.273815513155518	0.422794117647059
SORD	C1R	0.257408736968067	0.455882352941176
TSPAN8	C1R	0.690123039936009	0.0404411764705882
HIST2H2BE	C1R	0.414032308960206	0.257352941176471
DHCR24	FOXA1	-0.479162661710322	0.174632352941176
AMD1	FOXA1	-0.506196792255539	0.148897058823529
TM7SF2	FOXA1	-0.520801389390175	0.141544117647059
STEAP1	FOXA1	-0.279177729454137	0.419117647058824
SORD	FOXA1	-0.37710472507314	0.299632352941176
TSPAN8	FOXA1	-0.216871727179346	0.523897058823529
HIST2H2BE	FOXA1	-0.49853674551039	0.152573529411765
C1R	FOXA1	0.341211215220879	0.340073529411765
DHCR24	BASP1	-0.818954706245762	0.0110294117647059
AMD1	BASP1	-0.900710004062518	0.00735294117647059
TM7SF2	BASP1	-0.513000966946685	0.148897058823529
STEAP1	BASP1	-0.374512941895621	0.305147058823529
