GeneA	GeneB	Zscore	Pvalue
GSTP1	CAV1	0.755112763158829	0
GSTP1	GJA1	0.496544014476988	0.0708333333333333
CAV1	GJA1	0.445690173145526	0.09375
GSTP1	GAS1	0.45055845707941	0.09375
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
GSTP1	PCP4	0.82316964976024	0
CAV1	PCP4	0.387913889015828	0.147916666666667
GJA1	PCP4	0.238457317583806	0.3375
GAS1	PCP4	0.92304376863516	0
GSTP1	MYLK	0.854746304055682	0
CAV1	MYLK	0.382274752772156	0.152083333333333
GJA1	MYLK	0.108098085209454	0.614583333333333
GAS1	MYLK	1.16214595763178	0
PCP4	MYLK	0.406333699789673	0.120833333333333
GSTP1	ACTG2	0.671599506996417	0.00625
CAV1	ACTG2	0.348163238739534	0.185416666666667
GJA1	ACTG2	0.444786979533904	0.0958333333333333
GAS1	ACTG2	0.877461885118623	0
PCP4	ACTG2	0.574861661494146	0.025
MYLK	ACTG2	0.310772169875191	0.235416666666667
GSTP1	KCNMB1	0.27326947579898	0.283333333333333
CAV1	KCNMB1	-0.0877324638863963	0.675
GJA1	KCNMB1	0.121675253232621	0.589583333333333
GAS1	KCNMB1	0.753889377274738	0
PCP4	KCNMB1	0.160132207316538	0.483333333333333
MYLK	KCNMB1	0.168016537773747	0.472916666666667
ACTG2	KCNMB1	0.168215344379674	0.470833333333333
GSTP1	FHL1	0.510798067894395	0.0666666666666667
CAV1	FHL1	-0.0318138655135191	0.877083333333333
GJA1	FHL1	0.16181857429362	0.483333333333333
GAS1	FHL1	0.792594059736749	0
PCP4	FHL1	0.290353720745558	0.2625
MYLK	FHL1	0.0571923049082803	0.777083333333333
ACTG2	FHL1	0.155449796126604	0.495833333333333
KCNMB1	FHL1	-0.137296164259969	0.545833333333333
GSTP1	COX7A1	0.76336189513968	0
CAV1	COX7A1	0.308020067379364	0.2375
GJA1	COX7A1	0.237931609860916	0.3375
GAS1	COX7A1	0.84172028244125	0
PCP4	COX7A1	0.38821836579886	0.147916666666667
MYLK	COX7A1	0.12377126771005	0.5875
ACTG2	COX7A1	0.102969323782937	0.635416666666667
KCNMB1	COX7A1	0.189134856201512	0.43125
FHL1	COX7A1	0.180932759444627	0.439583333333333
GSTP1	EDNRA	0.448887228260398	0.09375
CAV1	EDNRA	0.141269881846172	0.533333333333333
GJA1	EDNRA	-0.00793618999696418	0.9625
GAS1	EDNRA	0.908019147963965	0
PCP4	EDNRA	0.224256498052298	0.35625
MYLK	EDNRA	0.131380375489347	0.5625
ACTG2	EDNRA	0.294103065443562	0.25625
KCNMB1	EDNRA	-0.12213706496673	0.5875
FHL1	EDNRA	0.117071287842974	0.6
COX7A1	EDNRA	0.0213518191498075	0.91875
GSTP1	TPM2	0.643709718630555	0.0125
CAV1	TPM2	0.399675597208219	0.13125
GJA1	TPM2	0.227709926991111	0.352083333333333
GAS1	TPM2	1.07882628361791	0
PCP4	TPM2	0.531046902061787	0.05
MYLK	TPM2	0.284534365866725	0.272916666666667
ACTG2	TPM2	0.158165175368923	0.4875
KCNMB1	TPM2	0.0522579070119404	0.791666666666667
FHL1	TPM2	-0.126148308681523	0.579166666666667
COX7A1	TPM2	0.0389550161934453	0.845833333333333
EDNRA	TPM2	0.148043522671248	0.5125
GSTP1	FILIP1L	0.670745435733322	0.00625
CAV1	FILIP1L	0.0360353370529898	0.85625
GJA1	FILIP1L	0.274970636431974	0.279166666666667
GAS1	FILIP1L	0.484535052373981	0.0791666666666667
PCP4	FILIP1L	0.24794744985912	0.322916666666667
MYLK	FILIP1L	0.166128830083597	0.477083333333333
ACTG2	FILIP1L	-0.0947342513092492	0.652083333333333
KCNMB1	FILIP1L	-0.031872277971347	0.877083333333333
FHL1	FILIP1L	0.0390366578802387	0.84375
