GeneA	GeneB	Zscore	Pvalue
DHCR24	PTPRN2	-0.618506135247067	0.025
DHCR24	TSPAN8	-0.683763733032468	0.0166666666666667
PTPRN2	TSPAN8	-0.518832742190026	0.0761904761904762
DHCR24	STEAP1	-0.506043442209198	0.0880952380952381
PTPRN2	STEAP1	-0.155079838589674	0.622619047619048
TSPAN8	STEAP1	-0.466464668048176	0.113095238095238
DHCR24	FAAH	-0.689686302598327	0.0154761904761905
PTPRN2	FAAH	-0.559739552584795	0.0476190476190476
TSPAN8	FAAH	-0.581576234629686	0.0345238095238095
STEAP1	FAAH	-0.52323086339521	0.0714285714285714
DHCR24	HIST2H2BE	-0.658068770508215	0.0202380952380952
PTPRN2	HIST2H2BE	-0.518671529264177	0.0761904761904762
TSPAN8	HIST2H2BE	-0.485933933433867	0.0976190476190476
STEAP1	HIST2H2BE	-0.198374659422617	0.532142857142857
FAAH	HIST2H2BE	-0.43279787825252	0.146428571428571
DHCR24	SORD	-0.584292186091744	0.0333333333333333
PTPRN2	SORD	-0.398119056990179	0.180952380952381
TSPAN8	SORD	-0.369085929254684	0.219047619047619
STEAP1	SORD	-0.284796548117926	0.339285714285714
FAAH	SORD	-0.568660704563023	0.0404761904761905
HIST2H2BE	SORD	-0.585407558713493	0.0333333333333333
DHCR24	C1S	0.499811772087531	0.0916666666666667
PTPRN2	C1S	0.637230352514669	0.0226190476190476
TSPAN8	C1S	0.69419922633004	0.0154761904761905
STEAP1	C1S	0.461990653650302	0.116666666666667
FAAH	C1S	0.294597403185263	0.325
HIST2H2BE	C1S	0.393285319889637	0.185714285714286
SORD	C1S	0.351080756345666	0.246428571428571
DHCR24	NEDD4L	-0.668006705482533	0.0166666666666667
PTPRN2	NEDD4L	-0.398165546365872	0.180952380952381
TSPAN8	NEDD4L	-0.459047887663636	0.117857142857143
STEAP1	NEDD4L	-0.553223726701625	0.05
FAAH	NEDD4L	-0.170077029603297	0.588095238095238
HIST2H2BE	NEDD4L	-0.243712183846521	0.441666666666667
SORD	NEDD4L	-0.240981405467466	0.445238095238095
C1S	NEDD4L	0.721215037544367	0.0130952380952381
DHCR24	HOXB13	-0.664561467921645	0.0178571428571429
PTPRN2	HOXB13	-1.03917230166503	0
TSPAN8	HOXB13	-0.404706766009746	0.172619047619048
STEAP1	HOXB13	-0.44981565752372	0.122619047619048
FAAH	HOXB13	-0.170404639304511	0.586904761904762
HIST2H2BE	HOXB13	-0.326200766083295	0.282142857142857
SORD	HOXB13	-0.291805792084656	0.329761904761905
C1S	HOXB13	0.428742361135934	0.147619047619048
NEDD4L	HOXB13	-0.318813206633137	0.298809523809524
DHCR24	COX7A1	0.410955195282978	0.166666666666667
PTPRN2	COX7A1	0.340481263567112	0.261904761904762
TSPAN8	COX7A1	0.52228651576414	0.0726190476190476
STEAP1	COX7A1	0.343880568370055	0.255952380952381
FAAH	COX7A1	0.502993104665808	0.0880952380952381
HIST2H2BE	COX7A1	0.243207396873981	0.442857142857143
SORD	COX7A1	0.386874727487952	0.19047619047619
C1S	COX7A1	-0.153339298388108	0.625
NEDD4L	COX7A1	0.778919716044413	0.00833333333333333
HOXB13	COX7A1	0.375761589433979	0.208333333333333
DHCR24	KLK2	-0.452432609012787	0.122619047619048
PTPRN2	KLK2	-0.353561448736031	0.241666666666667
TSPAN8	KLK2	-0.73385261459835	0.0119047619047619
STEAP1	KLK2	-0.256533227839766	0.411904761904762
FAAH	KLK2	-0.431639593810164	0.146428571428571
HIST2H2BE	KLK2	-0.444914102689479	0.126190476190476
SORD	KLK2	-0.616844958741231	0.025
C1S	KLK2	0.30863382484752	0.310714285714286
NEDD4L	KLK2	-0.299291651772755	0.317857142857143
HOXB13	KLK2	-0.693768721930903	0.0154761904761905
COX7A1	KLK2	0.332438695424597	0.276190476190476
DHCR24	FOXA1	-0.479162661710322	0.104761904761905
PTPRN2	FOXA1	-0.508260425233421	0.0869047619047619
TSPAN8	FOXA1	-0.216871727179346	0.494047619047619
STEAP1	FOXA1	-0.279177729454137	0.352380952380952
FAAH	FOXA1	-0.251981463538595	0.422619047619048
HIST2H2BE	FOXA1	-0.49853674551039	0.0916666666666667
SORD	FOXA1	-0.37710472507314	0.208333333333333
C1S	FOXA1	0.386795348236347	0.19047619047619
NEDD4L	FOXA1	-0.208040469088243	0.513095238095238
HOXB13	FOXA1	-0.337391149250063	0.267857142857143
COX7A1	FOXA1	0.116223603425394	0.721428571428571
KLK2	FOXA1	-0.545619502441392	0.055952380952381
DHCR24	FASN	-0.229650516176277	0.472619047619048
PTPRN2	FASN	-0.544453624611297	0.055952380952381
TSPAN8	FASN	-0.539984763691955	0.0595238095238095
STEAP1	FASN	-0.648289097761415	0.0214285714285714
FAAH	FASN	-0.466129429022373	0.11547619047619
HIST2H2BE	FASN	-0.465632465556299	0.11547619047619
SORD	FASN	-0.653138209156672	0.0202380952380952
C1S	FASN	0.0551727376501496	0.871428571428571
NEDD4L	FASN	-0.389273192351882	0.186904761904762
HOXB13	FASN	-0.613842389943908	0.0261904761904762
COX7A1	FASN	0.088489944079312	0.791666666666667
KLK2	FASN	-0.494588597963476	0.0916666666666667
FOXA1	FASN	-0.407036125610095	0.171428571428571
DHCR24	TSPAN1	-0.548236120677359	0.0547619047619048
PTPRN2	TSPAN1	-0.397083955694571	0.182142857142857
TSPAN8	TSPAN1	-0.275758701462826	0.363095238095238
STEAP1	TSPAN1	-0.195837910183061	0.535714285714286
FAAH	TSPAN1	-0.332955547213514	0.275
HIST2H2BE	TSPAN1	-0.295402673771366	0.320238095238095
SORD	TSPAN1	-0.190546836345185	0.548809523809524
C1S	TSPAN1	0.372816756603393	0.213095238095238
NEDD4L	TSPAN1	-0.511869293224016	0.0845238095238095
HOXB13	TSPAN1	-0.674259189395236	0.0166666666666667
COX7A1	TSPAN1	0.362489853529149	0.229761904761905
KLK2	TSPAN1	-0.526671421114276	0.0702380952380952
FOXA1	TSPAN1	-0.314617516986464	0.302380952380952
FASN	TSPAN1	-0.77877387169585	0.00833333333333333
DHCR24	TM7SF2	-0.700131650305335	0.0154761904761905
PTPRN2	TM7SF2	-0.702276462350503	0.0154761904761905
TSPAN8	TM7SF2	-0.359175796713257	0.233333333333333
STEAP1	TM7SF2	-0.586825559495436	0.0333333333333333
FAAH	TM7SF2	-0.574466005723447	0.0357142857142857
HIST2H2BE	TM7SF2	-0.800074216309585	0.00595238095238095
SORD	TM7SF2	-0.48898801748899	0.0952380952380952
C1S	TM7SF2	0.691476330460081	0.0154761904761905
NEDD4L	TM7SF2	-0.481245926045138	0.103571428571429
HOXB13	TM7SF2	-0.492750360205409	0.0916666666666667
COX7A1	TM7SF2	0.867577678962113	0.00357142857142857
KLK2	TM7SF2	-0.506257174391601	0.0880952380952381
FOXA1	TM7SF2	-0.520801389390175	0.0726190476190476
FASN	TM7SF2	-0.505925449189666	0.0880952380952381
TSPAN1	TM7SF2	-0.54271956276884	0.0571428571428571
DHCR24	AMD1	-0.494984843065127	0.0916666666666667
PTPRN2	AMD1	-0.505460128857867	0.0880952380952381
TSPAN8	AMD1	-0.874014686986622	0.00357142857142857
STEAP1	AMD1	-0.642018378345287	0.0226190476190476
FAAH	AMD1	-0.584695156801569	0.0333333333333333
HIST2H2BE	AMD1	-0.612921720490977	0.0261904761904762
SORD	AMD1	-0.814130624202549	0.00476190476190476
C1S	AMD1	0.523083771573358	0.0726190476190476
NEDD4L	AMD1	-0.461252666412614	0.116666666666667
HOXB13	AMD1	-0.403024580829102	0.173809523809524
COX7A1	AMD1	0.306873535359508	0.311904761904762
KLK2	AMD1	-0.429586907337201	0.146428571428571
FOXA1	AMD1	-0.506196792255539	0.0880952380952381
FASN	AMD1	-0.323842565893646	0.286904761904762
TSPAN1	AMD1	-0.589335590212558	0.0321428571428571
TM7SF2	AMD1	-0.591138037191545	0.0321428571428571
DHCR24	TMEM47	0.418973828042931	0.161904761904762
PTPRN2	TMEM47	0.65045621270584	0.0214285714285714
TSPAN8	TMEM47	0.599464469217302	0.030952380952381
STEAP1	TMEM47	0.524378793992104	0.0702380952380952
FAAH	TMEM47	0.563292245709772	0.0452380952380952
HIST2H2BE	TMEM47	0.736674168150052	0.00952380952380952
SORD	TMEM47	0.717031010979771	0.0154761904761905
C1S	TMEM47	0.025436495321632	0.936904761904762
NEDD4L	TMEM47	0.656132883634139	0.0202380952380952
HOXB13	TMEM47	0.630270918747268	0.0238095238095238
COX7A1	TMEM47	0.0493700904921444	0.878571428571429
KLK2	TMEM47	0.597009083992807	0.030952380952381
FOXA1	TMEM47	0.348192254160897	0.247619047619048
FASN	TMEM47	0.101522677647259	0.760714285714286
TSPAN1	TMEM47	0.642528152958812	0.0226190476190476
TM7SF2	TMEM47	0.374605686271123	0.20952380952381
AMD1	TMEM47	0.165961373287623	0.603571428571429
DHCR24	SLC4A4	-0.44875697302763	0.123809523809524
PTPRN2	SLC4A4	-0.274562313251703	0.367857142857143
TSPAN8	SLC4A4	-0.58429949051618	0.0333333333333333
STEAP1	SLC4A4	-0.298957116781475	0.317857142857143
FAAH	SLC4A4	-0.229960603681877	0.472619047619048
HIST2H2BE	SLC4A4	0.0338378179548202	0.917857142857143
SORD	SLC4A4	0.00928366792402326	0.979761904761905
C1S	SLC4A4	0.674755295751752	0.0166666666666667
NEDD4L	SLC4A4	-0.207507131076288	0.513095238095238
HOXB13	SLC4A4	-0.339996226447639	0.263095238095238
COX7A1	SLC4A4	0.606893167187118	0.0273809523809524
KLK2	SLC4A4	-0.0457681995239489	0.89047619047619
FOXA1	SLC4A4	-0.186457446699877	0.55952380952381
FASN	SLC4A4	-0.403076669596378	0.173809523809524
TSPAN1	SLC4A4	0.0345683338479085	0.914285714285714
TM7SF2	SLC4A4	-0.267850948654039	0.385714285714286
AMD1	SLC4A4	-0.7077531837103	0.0154761904761905
TMEM47	SLC4A4	0.668170099315556	0.0166666666666667
DHCR24	FBP1	-0.433836971711599	0.144047619047619
PTPRN2	FBP1	-0.697464764905119	0.0154761904761905
TSPAN8	FBP1	-0.56916105940663	0.0404761904761905
STEAP1	FBP1	-0.488225194870568	0.0976190476190476
FAAH	FBP1	-0.45148787672092	0.122619047619048
HIST2H2BE	FBP1	-0.445452777707555	0.126190476190476
SORD	FBP1	-0.483164993531699	0.102380952380952
C1S	FBP1	0.723226831384303	0.0130952380952381
NEDD4L	FBP1	-0.457205200388904	0.119047619047619
HOXB13	FBP1	-0.564040936370609	0.0440476190476191
COX7A1	FBP1	0.549007450160992	0.0535714285714286
KLK2	FBP1	-0.470964139421381	0.10952380952381
FOXA1	FBP1	-0.351747861884811	0.245238095238095
FASN	FBP1	-0.276125658003986	0.363095238095238
TSPAN1	FBP1	-0.408764576670776	0.167857142857143
TM7SF2	FBP1	-0.619515541592504	0.0238095238095238
AMD1	FBP1	-0.447903214814115	0.125
TMEM47	FBP1	0.107633278375558	0.741666666666667
SLC4A4	FBP1	-0.501992141248913	0.0880952380952381
DHCR24	BASP1	-0.818954706245762	0.00476190476190476
PTPRN2	BASP1	-0.352894259796129	0.242857142857143
TSPAN8	BASP1	-0.787234786686888	0.00595238095238095
STEAP1	BASP1	-0.374512941895621	0.20952380952381
FAAH	BASP1	-0.616420487319349	0.0261904761904762
HIST2H2BE	BASP1	-0.387037361663901	0.19047619047619
SORD	BASP1	-0.539069639108921	0.0619047619047619
C1S	BASP1	0.528105014300344	0.0702380952380952
NEDD4L	BASP1	-0.514750283293477	0.0797619047619048
HOXB13	BASP1	-0.598953976464929	0.030952380952381
COX7A1	BASP1	0.511274097054177	0.0857142857142857
KLK2	BASP1	-0.361338223750981	0.230952380952381
FOXA1	BASP1	-0.625485237681175	0.0238095238095238
FASN	BASP1	-0.678525355733312	0.0166666666666667
TSPAN1	BASP1	-0.600772317313566	0.0297619047619048
TM7SF2	BASP1	-0.513000966946685	0.0833333333333333
AMD1	BASP1	-0.900710004062518	0.00357142857142857
TMEM47	BASP1	0.472828076933972	0.104761904761905
SLC4A4	BASP1	-0.399590892511147	0.177380952380952
FBP1	BASP1	-0.86002784874615	0.00357142857142857
