Gene	Hit	Module1	Module2	Class
GSTP1	FALSE	TRUE	TRUE	TRUE_TRUE
CAV1	TRUE	TRUE	TRUE	TRUE_TRUE
GJA1	FALSE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
MYLK	FALSE	TRUE	TRUE	TRUE_TRUE
ACTG2	FALSE	TRUE	TRUE	TRUE_TRUE
KCNMB1	FALSE	TRUE	FALSE	TRUE_FALSE
FHL1	FALSE	TRUE	TRUE	TRUE_TRUE
COX7A1	FALSE	TRUE	FALSE	TRUE_FALSE
EDNRA	FALSE	TRUE	TRUE	TRUE_TRUE
TPM2	TRUE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	FALSE	TRUE	FALSE_TRUE
ID3	FALSE	FALSE	TRUE	FALSE_TRUE
FERMT2	FALSE	FALSE	TRUE	FALSE_TRUE
MYH11	TRUE	FALSE	TRUE	FALSE_TRUE
