Gene	Hit	Module1	Module2	Class
DHCR24	TRUE	TRUE	TRUE	TRUE_TRUE
AMD1	FALSE	TRUE	TRUE	TRUE_TRUE
TM7SF2	TRUE	TRUE	TRUE	TRUE_TRUE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	TRUE	TRUE_TRUE
TSPAN8	FALSE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
C1R	FALSE	TRUE	FALSE	TRUE_FALSE
FOXA1	FALSE	TRUE	TRUE	TRUE_TRUE
BASP1	FALSE	TRUE	TRUE	TRUE_TRUE
HOXB13	FALSE	TRUE	TRUE	TRUE_TRUE
NEFH	FALSE	TRUE	FALSE	TRUE_FALSE
C1S	FALSE	FALSE	TRUE	FALSE_TRUE
TSPAN1	FALSE	FALSE	TRUE	FALSE_TRUE
EPCAM	FALSE	FALSE	TRUE	FALSE_TRUE
