GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.0368421052631579
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
CAV1	FILIP1L	0.0360353370529898	0.864473684210526
GJA1	FILIP1L	0.274970636431974	0.193421052631579
GAS1	FILIP1L	0.484535052373981	0.0236842105263158
CAV1	PCP4	0.387913889015828	0.0657894736842105
GJA1	PCP4	0.238457317583806	0.268421052631579
GAS1	PCP4	0.92304376863516	0
FILIP1L	PCP4	0.24794744985912	0.247368421052632
CAV1	ACTG2	0.348163238739534	0.1
GJA1	ACTG2	0.444786979533904	0.0368421052631579
GAS1	ACTG2	0.877461885118623	0
FILIP1L	ACTG2	-0.0947342513092492	0.657894736842105
PCP4	ACTG2	0.574861661494146	0.0118421052631579
CAV1	GSTP1	0.755112763158829	0.00131578947368421
GJA1	GSTP1	0.496544014476988	0.0197368421052632
GAS1	GSTP1	0.45055845707941	0.0368421052631579
FILIP1L	GSTP1	0.670745435733322	0.00263157894736842
PCP4	GSTP1	0.82316964976024	0.00131578947368421
ACTG2	GSTP1	0.671599506996417	0.00263157894736842
CAV1	EDNRA	0.141269881846172	0.506578947368421
GJA1	EDNRA	-0.00793618999696418	0.967105263157895
GAS1	EDNRA	0.908019147963965	0
FILIP1L	EDNRA	0.0152987236999977	0.943421052631579
PCP4	EDNRA	0.224256498052298	0.297368421052632
ACTG2	EDNRA	0.294103065443562	0.152631578947368
GSTP1	EDNRA	0.448887228260398	0.0368421052631579
CAV1	MYLK	0.382274752772156	0.0697368421052632
GJA1	MYLK	0.108098085209454	0.601315789473684
GAS1	MYLK	1.16214595763178	0
FILIP1L	MYLK	0.166128830083597	0.457894736842105
PCP4	MYLK	0.406333699789673	0.0552631578947368
ACTG2	MYLK	0.310772169875191	0.132894736842105
GSTP1	MYLK	0.854746304055682	0.00131578947368421
EDNRA	MYLK	0.131380375489347	0.534210526315789
CAV1	ID3	0.543933673172617	0.0131578947368421
GJA1	ID3	0.486208652062949	0.0223684210526316
GAS1	ID3	0.210732527139131	0.334210526315789
FILIP1L	ID3	0.469379451563392	0.0289473684210526
PCP4	ID3	0.712068156980738	0.00131578947368421
ACTG2	ID3	0.619371415250541	0.00526315789473684
GSTP1	ID3	0.561476694492195	0.0131578947368421
EDNRA	ID3	0.330373990573831	0.111842105263158
MYLK	ID3	0.796318036772737	0.00131578947368421
CAV1	TPM2	0.399675597208219	0.0592105263157895
GJA1	TPM2	0.227709926991111	0.288157894736842
GAS1	TPM2	1.07882628361791	0
FILIP1L	TPM2	0.0518395054585916	0.807894736842105
PCP4	TPM2	0.531046902061787	0.0144736842105263
ACTG2	TPM2	0.158165175368923	0.465789473684211
GSTP1	TPM2	0.643709718630555	0.00263157894736842
EDNRA	TPM2	0.148043522671248	0.492105263157895
MYLK	TPM2	0.284534365866725	0.173684210526316
ID3	TPM2	0.699155342128981	0.00263157894736842
CAV1	FHL1	-0.0318138655135191	0.878947368421053
GJA1	FHL1	0.16181857429362	0.460526315789474
GAS1	FHL1	0.792594059736749	0.00131578947368421
FILIP1L	FHL1	0.0390366578802387	0.855263157894737
PCP4	FHL1	0.290353720745558	0.159210526315789
ACTG2	FHL1	0.155449796126604	0.473684210526316
GSTP1	FHL1	0.510798067894395	0.0171052631578947
EDNRA	FHL1	0.117071287842974	0.575
MYLK	FHL1	0.0571923049082803	0.788157894736842
ID3	FHL1	0.56589306482096	0.0118421052631579
TPM2	FHL1	-0.126148308681523	0.547368421052632
CAV1	FERMT2	0.128686866125682	0.54078947368421
GJA1	FERMT2	0.208905723441119	0.336842105263158
GAS1	FERMT2	1.12308235652472	0
FILIP1L	FERMT2	-0.0975962933832992	0.65
PCP4	FERMT2	0.237656155782876	0.268421052631579
ACTG2	FERMT2	0.207579833017781	0.338157894736842
GSTP1	FERMT2	0.765922265457954	0.00131578947368421
EDNRA	FERMT2	0.246396398265092	0.25
MYLK	FERMT2	0.0312727669858457	0.880263157894737
ID3	FERMT2	0.543670974771684	0.0131578947368421
TPM2	FERMT2	-0.0998042831916297	0.634210526315789
FHL1	FERMT2	0.0543039762057316	0.8
CAV1	MYH11	0.323626752575867	0.118421052631579
GJA1	MYH11	0.296517811147153	0.148684210526316
GAS1	MYH11	0.665209405931518	0.00263157894736842
FILIP1L	MYH11	0.021498119674989	0.918421052631579
PCP4	MYH11	0.460360607681304	0.0342105263157895
ACTG2	MYH11	0.102252172512698	0.630263157894737
GSTP1	MYH11	0.552078926008369	0.0131578947368421
EDNRA	MYH11	0.139038636886344	0.511842105263158
MYLK	MYH11	0.393625594029587	0.0631578947368421
ID3	MYH11	0.501236117211381	0.0197368421052632
TPM2	MYH11	0.220061055795613	0.310526315789474
FHL1	MYH11	-0.0270146001619662	0.894736842105263
FERMT2	MYH11	0.0538753065453844	0.803947368421053
CAV1	COL6A2	0.165088749064004	0.459210526315789
GJA1	COL6A2	0.160914125926299	0.461842105263158
GAS1	COL6A2	0.643925178514424	0.00263157894736842
FILIP1L	COL6A2	0.0827878624734313	0.694736842105263
PCP4	COL6A2	0.344531577181541	0.103947368421053
ACTG2	COL6A2	0.0175837489023809	0.932894736842105
GSTP1	COL6A2	0.482849851802576	0.0236842105263158
EDNRA	COL6A2	0.0624009491122328	0.771052631578947
MYLK	COL6A2	0.280620836175022	0.180263157894737
ID3	COL6A2	0.587169333771948	0.00789473684210526
TPM2	COL6A2	0.0201041819799312	0.926315789473684
FHL1	COL6A2	0.191602444338937	0.389473684210526
FERMT2	COL6A2	0.201179367408641	0.357894736842105
MYH11	COL6A2	-0.073183518909459	0.719736842105263
CAV1	LMOD1	0.050094902424283	0.818421052631579
GJA1	LMOD1	0.155100236529363	0.475
GAS1	LMOD1	0.88138201708526	0
FILIP1L	LMOD1	0.114448668679879	0.585526315789474
PCP4	LMOD1	0.189314162400692	0.393421052631579
ACTG2	LMOD1	0.187724167810056	0.401315789473684
GSTP1	LMOD1	0.280814232253562	0.180263157894737
EDNRA	LMOD1	-0.161086023535063	0.461842105263158
MYLK	LMOD1	0.237332633284577	0.268421052631579
ID3	LMOD1	0.414555994057606	0.0552631578947368
TPM2	LMOD1	0.154066791370811	0.478947368421053
FHL1	LMOD1	-0.191571436704498	0.389473684210526
FERMT2	LMOD1	0.0149123980759398	0.944736842105263
MYH11	LMOD1	0.158246339545451	0.464473684210526
COL6A2	LMOD1	0.0164316470287034	0.938157894736842
CAV1	CNN1	0.165404487475866	0.459210526315789
GJA1	CNN1	0.344707873745223	0.103947368421053
GAS1	CNN1	0.855293157761548	0.00131578947368421
FILIP1L	CNN1	-0.215914895346717	0.323684210526316
PCP4	CNN1	0.341650381551282	0.105263157894737
ACTG2	CNN1	0.145936404202375	0.497368421052632
GSTP1	CNN1	0.726367250549443	0.00131578947368421
EDNRA	CNN1	0.0591685674570644	0.781578947368421
MYLK	CNN1	0.29755178938882	0.146052631578947
ID3	CNN1	0.528962763922462	0.0144736842105263
TPM2	CNN1	0.325355776765222	0.118421052631579
FHL1	CNN1	-0.0771036773581563	0.706578947368421
FERMT2	CNN1	0.0687932785135413	0.742105263157895
MYH11	CNN1	0.284468992070307	0.173684210526316
COL6A2	CNN1	0.118286386552559	0.571052631578947
LMOD1	CNN1	0.114017962114658	0.588157894736842
CAV1	FLNC	0.117684950792108	0.573684210526316
GJA1	FLNC	0.197582297278268	0.368421052631579
GAS1	FLNC	0.890059056138738	0
FILIP1L	FLNC	-0.177514986143269	0.428947368421053
PCP4	FLNC	0.308176618076922	0.138157894736842
ACTG2	FLNC	0.0541658022968264	0.801315789473684
GSTP1	FLNC	0.613565606763535	0.00526315789473684
EDNRA	FLNC	-0.0484866730276616	0.823684210526316
MYLK	FLNC	0.298710180279364	0.146052631578947
ID3	FLNC	0.468930023585677	0.0289473684210526
TPM2	FLNC	0.171387641187008	0.443421052631579
FHL1	FLNC	-0.141674611315465	0.506578947368421
FERMT2	FLNC	-0.106236035103916	0.614473684210526
MYH11	FLNC	0.253774891079165	0.235526315789474
COL6A2	FLNC	-0.0051737124267715	0.978947368421053
LMOD1	FLNC	0.164499372848213	0.459210526315789
CNN1	FLNC	0.0335348932649795	0.872368421052632
CAV1	CRYAB	-0.0708517315210993	0.731578947368421
GJA1	CRYAB	0.0596154114102688	0.781578947368421
GAS1	CRYAB	0.738518089140136	0.00131578947368421
FILIP1L	CRYAB	-0.220999891422164	0.309210526315789
PCP4	CRYAB	0.0564863068357883	0.794736842105263
ACTG2	CRYAB	-0.184585930638802	0.409210526315789
GSTP1	CRYAB	0.498164954892026	0.0197368421052632
EDNRA	CRYAB	0.0869744643298996	0.684210526315789
MYLK	CRYAB	-0.0370005035111611	0.860526315789474
ID3	CRYAB	0.506929088821735	0.0184210526315789
TPM2	CRYAB	-0.262352184326772	0.215789473684211
FHL1	CRYAB	0.0378174624478215	0.857894736842105
FERMT2	CRYAB	-0.0608572651870791	0.773684210526316
MYH11	CRYAB	-0.233381912259	0.278947368421053
COL6A2	CRYAB	0.0555752166632132	0.796052631578947
LMOD1	CRYAB	-0.188918909296884	0.394736842105263
CNN1	CRYAB	-0.223441792509017	0.297368421052632
FLNC	CRYAB	-0.196443730951898	0.373684210526316
CAV1	HPN	0.179171140203574	0.427631578947368
GJA1	HPN	-0.0277512854528307	0.892105263157895
GAS1	HPN	-0.511426101600221	0.0171052631578947
FILIP1L	HPN	0.2766300645965	0.192105263157895
PCP4	HPN	-0.112897751475399	0.592105263157895
