GeneA	GeneB	Zscore	Pvalue
TSPAN8	AMD1	-0.874014686986622	0
TSPAN8	BASP1	-0.787234786686888	0
AMD1	BASP1	-0.900710004062518	0
TSPAN8	DHCR24	-0.683763733032468	0.00146198830409357
AMD1	DHCR24	-0.494984843065127	0.0219298245614035
BASP1	DHCR24	-0.818954706245762	0
TSPAN8	STEAP1	-0.466464668048176	0.0394736842105263
AMD1	STEAP1	-0.642018378345287	0.00292397660818713
BASP1	STEAP1	-0.374512941895621	0.100877192982456
DHCR24	STEAP1	-0.506043442209198	0.0204678362573099
TSPAN8	SORD	-0.369085929254684	0.109649122807018
AMD1	SORD	-0.814130624202549	0
BASP1	SORD	-0.539069639108921	0.0116959064327485
DHCR24	SORD	-0.584292186091744	0.00730994152046784
STEAP1	SORD	-0.284796548117926	0.213450292397661
TSPAN8	HIST2H2BE	-0.485933933433867	0.0277777777777778
AMD1	HIST2H2BE	-0.612921720490977	0.00584795321637427
BASP1	HIST2H2BE	-0.387037361663901	0.0935672514619883
DHCR24	HIST2H2BE	-0.658068770508215	0.00292397660818713
STEAP1	HIST2H2BE	-0.198374659422617	0.369883040935673
SORD	HIST2H2BE	-0.585407558713493	0.00584795321637427
TSPAN8	C1S	0.69419922633004	0.00146198830409357
AMD1	C1S	0.523083771573358	0.0175438596491228
BASP1	C1S	0.528105014300344	0.0146198830409357
DHCR24	C1S	0.499811772087531	0.0204678362573099
STEAP1	C1S	0.461990653650302	0.0423976608187134
SORD	C1S	0.351080756345666	0.12719298245614
HIST2H2BE	C1S	0.393285319889637	0.0891812865497076
TSPAN8	FOXA1	-0.216871727179346	0.33187134502924
AMD1	FOXA1	-0.506196792255539	0.0204678362573099
BASP1	FOXA1	-0.625485237681175	0.0043859649122807
DHCR24	FOXA1	-0.479162661710322	0.033625730994152
STEAP1	FOXA1	-0.279177729454137	0.216374269005848
SORD	FOXA1	-0.37710472507314	0.0994152046783626
HIST2H2BE	FOXA1	-0.49853674551039	0.0204678362573099
C1S	FOXA1	0.386795348236347	0.0935672514619883
TSPAN8	TM7SF2	-0.359175796713257	0.119883040935673
AMD1	TM7SF2	-0.591138037191545	0.00584795321637427
BASP1	TM7SF2	-0.513000966946685	0.0175438596491228
DHCR24	TM7SF2	-0.700131650305335	0.00146198830409357
STEAP1	TM7SF2	-0.586825559495436	0.00584795321637427
SORD	TM7SF2	-0.48898801748899	0.0277777777777778
HIST2H2BE	TM7SF2	-0.800074216309585	0
C1S	TM7SF2	0.691476330460081	0.00146198830409357
FOXA1	TM7SF2	-0.520801389390175	0.0175438596491228
TSPAN8	TSPAN1	-0.275758701462826	0.223684210526316
AMD1	TSPAN1	-0.589335590212558	0.00584795321637427
BASP1	TSPAN1	-0.600772317313566	0.00584795321637427
DHCR24	TSPAN1	-0.548236120677359	0.00730994152046784
STEAP1	TSPAN1	-0.195837910183061	0.374269005847953
SORD	TSPAN1	-0.190546836345185	0.390350877192982
HIST2H2BE	TSPAN1	-0.295402673771366	0.198830409356725
C1S	TSPAN1	0.372816756603393	0.10233918128655
FOXA1	TSPAN1	-0.314617516986464	0.169590643274854
TM7SF2	TSPAN1	-0.54271956276884	0.010233918128655
TSPAN8	EPCAM	-0.671557023350052	0.00146198830409357
AMD1	EPCAM	-0.348502547299414	0.128654970760234
BASP1	EPCAM	-0.568600844501492	0.00730994152046784
DHCR24	EPCAM	-0.235682854062204	0.299707602339181
STEAP1	EPCAM	-0.567643488563217	0.00730994152046784
SORD	EPCAM	-0.596943124549737	0.00584795321637427
HIST2H2BE	EPCAM	-0.164033138488277	0.464912280701754
C1S	EPCAM	0.436223281558487	0.0555555555555556
FOXA1	EPCAM	-0.265967682691935	0.236842105263158
TM7SF2	EPCAM	-0.554046236543545	0.00730994152046784
TSPAN1	EPCAM	-0.501713348006305	0.0204678362573099
TSPAN8	HOXB13	-0.404706766009746	0.0847953216374269
AMD1	HOXB13	-0.403024580829102	0.0847953216374269
BASP1	HOXB13	-0.598953976464929	0.00584795321637427
DHCR24	HOXB13	-0.664561467921645	0.00146198830409357
STEAP1	HOXB13	-0.44981565752372	0.0497076023391813
SORD	HOXB13	-0.291805792084656	0.206140350877193
HIST2H2BE	HOXB13	-0.326200766083295	0.159356725146199
C1S	HOXB13	0.428742361135934	0.0657894736842105
FOXA1	HOXB13	-0.337391149250063	0.149122807017544
TM7SF2	HOXB13	-0.492750360205409	0.0248538011695906
TSPAN1	HOXB13	-0.674259189395236	0.00146198830409357
EPCAM	HOXB13	-0.368244334868046	0.111111111111111
TSPAN8	PTPRN2	-0.518832742190026	0.0175438596491228
AMD1	PTPRN2	-0.505460128857867	0.0204678362573099
BASP1	PTPRN2	-0.352894259796129	0.124269005847953
DHCR24	PTPRN2	-0.618506135247067	0.0043859649122807
STEAP1	PTPRN2	-0.155079838589674	0.483918128654971
SORD	PTPRN2	-0.398119056990179	0.087719298245614
HIST2H2BE	PTPRN2	-0.518671529264177	0.0175438596491228
C1S	PTPRN2	0.637230352514669	0.00292397660818713
FOXA1	PTPRN2	-0.508260425233421	0.0190058479532164
TM7SF2	PTPRN2	-0.702276462350503	0.00146198830409357
TSPAN1	PTPRN2	-0.397083955694571	0.087719298245614
EPCAM	PTPRN2	-0.01025991008261	0.967836257309941
HOXB13	PTPRN2	-1.03917230166503	0
