Gene	Hit	Module1	Module2	Class
TSPAN8	FALSE	TRUE	TRUE	TRUE_TRUE
AMD1	FALSE	TRUE	FALSE	TRUE_FALSE
BASP1	FALSE	TRUE	FALSE	TRUE_FALSE
DHCR24	FALSE	TRUE	TRUE	TRUE_TRUE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	TRUE	TRUE_TRUE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
C1S	TRUE	TRUE	TRUE	TRUE_TRUE
FOXA1	FALSE	TRUE	TRUE	TRUE_TRUE
TM7SF2	FALSE	TRUE	FALSE	TRUE_FALSE
TSPAN1	FALSE	TRUE	FALSE	TRUE_FALSE
EPCAM	FALSE	TRUE	FALSE	TRUE_FALSE
HOXB13	FALSE	TRUE	TRUE	TRUE_TRUE
PTPRN2	FALSE	FALSE	TRUE	FALSE_TRUE
FAAH	FALSE	FALSE	TRUE	FALSE_TRUE
NEDD4L	FALSE	FALSE	TRUE	FALSE_TRUE
COX7A1	FALSE	FALSE	TRUE	FALSE_TRUE
KLK2	FALSE	FALSE	TRUE	FALSE_TRUE
FASN	FALSE	FALSE	TRUE	FALSE_TRUE
