GeneA	GeneB	Zscore	Pvalue
TSPAN8	AMD1	-0.874014686986622	0.010233918128655
TSPAN8	BASP1	-0.787234786686888	0.0146198830409357
AMD1	BASP1	-0.900710004062518	0.00730994152046784
TSPAN8	DHCR24	-0.683763733032468	0.0453216374269006
AMD1	DHCR24	-0.494984843065127	0.149122807017544
BASP1	DHCR24	-0.818954706245762	0.0146198830409357
TSPAN8	STEAP1	-0.466464668048176	0.181286549707602
AMD1	STEAP1	-0.642018378345287	0.0687134502923977
BASP1	STEAP1	-0.374512941895621	0.280701754385965
DHCR24	STEAP1	-0.506043442209198	0.140350877192982
TSPAN8	SORD	-0.369085929254684	0.283625730994152
AMD1	SORD	-0.814130624202549	0.0146198830409357
BASP1	SORD	-0.539069639108921	0.124269005847953
DHCR24	SORD	-0.584292186091744	0.0950292397660819
STEAP1	SORD	-0.284796548117926	0.431286549707602
TSPAN8	HIST2H2BE	-0.485933933433867	0.159356725146199
AMD1	HIST2H2BE	-0.612921720490977	0.0833333333333333
BASP1	HIST2H2BE	-0.387037361663901	0.264619883040936
DHCR24	HIST2H2BE	-0.658068770508215	0.0570175438596491
STEAP1	HIST2H2BE	-0.198374659422617	0.583333333333333
SORD	HIST2H2BE	-0.585407558713493	0.0950292397660819
TSPAN8	C1S	0.69419922633004	0.043859649122807
AMD1	C1S	0.523083771573358	0.133040935672515
BASP1	C1S	0.528105014300344	0.130116959064327
DHCR24	C1S	0.499811772087531	0.146198830409357
STEAP1	C1S	0.461990653650302	0.185672514619883
SORD	C1S	0.351080756345666	0.308479532163743
HIST2H2BE	C1S	0.393285319889637	0.251461988304094
TSPAN8	FOXA1	-0.216871727179346	0.548245614035088
AMD1	FOXA1	-0.506196792255539	0.140350877192982
BASP1	FOXA1	-0.625485237681175	0.0774853801169591
DHCR24	FOXA1	-0.479162661710322	0.165204678362573
STEAP1	FOXA1	-0.279177729454137	0.437134502923977
SORD	FOXA1	-0.37710472507314	0.273391812865497
HIST2H2BE	FOXA1	-0.49853674551039	0.14766081871345
C1S	FOXA1	0.386795348236347	0.264619883040936
TSPAN8	TM7SF2	-0.359175796713257	0.298245614035088
AMD1	TM7SF2	-0.591138037191545	0.0935672514619883
BASP1	TM7SF2	-0.513000966946685	0.135964912280702
DHCR24	TM7SF2	-0.700131650305335	0.0409356725146199
STEAP1	TM7SF2	-0.586825559495436	0.0950292397660819
SORD	TM7SF2	-0.48898801748899	0.156432748538012
HIST2H2BE	TM7SF2	-0.800074216309585	0.0146198830409357
