GeneA	GeneB	Zscore	Pvalue
DHCR24	PTPRN2	-0.618506135247067	0.0130952380952381
DHCR24	TSPAN8	-0.683763733032468	0.00595238095238095
PTPRN2	TSPAN8	-0.518832742190026	0.0392857142857143
DHCR24	STEAP1	-0.506043442209198	0.0440476190476191
PTPRN2	STEAP1	-0.155079838589674	0.529761904761905
TSPAN8	STEAP1	-0.466464668048176	0.0630952380952381
DHCR24	FAAH	-0.689686302598327	0.00476190476190476
PTPRN2	FAAH	-0.559739552584795	0.0238095238095238
TSPAN8	FAAH	-0.581576234629686	0.0166666666666667
STEAP1	FAAH	-0.52323086339521	0.0345238095238095
DHCR24	HIST2H2BE	-0.658068770508215	0.00833333333333333
PTPRN2	HIST2H2BE	-0.518671529264177	0.0392857142857143
TSPAN8	HIST2H2BE	-0.485933933433867	0.0535714285714286
STEAP1	HIST2H2BE	-0.198374659422617	0.427380952380952
FAAH	HIST2H2BE	-0.43279787825252	0.094047619047619
DHCR24	SORD	-0.584292186091744	0.0166666666666667
PTPRN2	SORD	-0.398119056990179	0.120238095238095
TSPAN8	SORD	-0.369085929254684	0.14047619047619
STEAP1	SORD	-0.284796548117926	0.25952380952381
FAAH	SORD	-0.568660704563023	0.019047619047619
HIST2H2BE	SORD	-0.585407558713493	0.0166666666666667
DHCR24	C1S	0.499811772087531	0.0440476190476191
PTPRN2	C1S	0.637230352514669	0.0107142857142857
TSPAN8	C1S	0.69419922633004	0.00357142857142857
STEAP1	C1S	0.461990653650302	0.0678571428571429
FAAH	C1S	0.294597403185263	0.241666666666667
HIST2H2BE	C1S	0.393285319889637	0.123809523809524
SORD	C1S	0.351080756345666	0.160714285714286
DHCR24	NEDD4L	-0.668006705482533	0.00833333333333333
PTPRN2	NEDD4L	-0.398165546365872	0.120238095238095
TSPAN8	NEDD4L	-0.459047887663636	0.0690476190476191
STEAP1	NEDD4L	-0.553223726701625	0.025
FAAH	NEDD4L	-0.170077029603297	0.497619047619048
HIST2H2BE	NEDD4L	-0.243712183846521	0.329761904761905
SORD	NEDD4L	-0.240981405467466	0.33452380952381
C1S	NEDD4L	0.721215037544367	0.00357142857142857
DHCR24	HOXB13	-0.664561467921645	0.00833333333333333
PTPRN2	HOXB13	-1.03917230166503	0
TSPAN8	HOXB13	-0.404706766009746	0.113095238095238
STEAP1	HOXB13	-0.44981565752372	0.0773809523809524
FAAH	HOXB13	-0.170404639304511	0.497619047619048
HIST2H2BE	HOXB13	-0.326200766083295	0.201190476190476
SORD	HOXB13	-0.291805792084656	0.248809523809524
C1S	HOXB13	0.428742361135934	0.0952380952380952
NEDD4L	HOXB13	-0.318813206633137	0.210714285714286
DHCR24	COX7A1	0.410955195282978	0.10952380952381
PTPRN2	COX7A1	0.340481263567112	0.18452380952381
TSPAN8	COX7A1	0.52228651576414	0.0357142857142857
STEAP1	COX7A1	0.343880568370055	0.177380952380952
FAAH	COX7A1	0.502993104665808	0.0440476190476191
HIST2H2BE	COX7A1	0.243207396873981	0.332142857142857
SORD	COX7A1	0.386874727487952	0.127380952380952
C1S	COX7A1	-0.153339298388108	0.533333333333333
NEDD4L	COX7A1	0.778919716044413	0.00119047619047619
HOXB13	COX7A1	0.375761589433979	0.135714285714286
DHCR24	KLK2	-0.452432609012787	0.075
PTPRN2	KLK2	-0.353561448736031	0.158333333333333
TSPAN8	KLK2	-0.73385261459835	0.00238095238095238
STEAP1	KLK2	-0.256533227839766	0.313095238095238
FAAH	KLK2	-0.431639593810164	0.094047619047619
HIST2H2BE	KLK2	-0.444914102689479	0.080952380952381
SORD	KLK2	-0.616844958741231	0.0130952380952381
C1S	KLK2	0.30863382484752	0.227380952380952
NEDD4L	KLK2	-0.299291651772755	0.236904761904762
HOXB13	KLK2	-0.693768721930903	0.00357142857142857
COX7A1	KLK2	0.332438695424597	0.191666666666667
DHCR24	FOXA1	-0.479162661710322	0.0595238095238095
PTPRN2	FOXA1	-0.508260425233421	0.0428571428571429
TSPAN8	FOXA1	-0.216871727179346	0.383333333333333
STEAP1	FOXA1	-0.279177729454137	0.269047619047619
FAAH	FOXA1	-0.251981463538595	0.317857142857143
HIST2H2BE	FOXA1	-0.49853674551039	0.0440476190476191
SORD	FOXA1	-0.37710472507314	0.135714285714286
C1S	FOXA1	0.386795348236347	0.127380952380952
NEDD4L	FOXA1	-0.208040469088243	0.402380952380952
HOXB13	FOXA1	-0.337391149250063	0.185714285714286
COX7A1	FOXA1	0.116223603425394	0.64047619047619
KLK2	FOXA1	-0.545619502441392	0.0261904761904762
DHCR24	FASN	-0.229650516176277	0.354761904761905
PTPRN2	FASN	-0.544453624611297	0.0261904761904762
TSPAN8	FASN	-0.539984763691955	0.0261904761904762
STEAP1	FASN	-0.648289097761415	0.00833333333333333
FAAH	FASN	-0.466129429022373	0.0630952380952381
HIST2H2BE	FASN	-0.465632465556299	0.0630952380952381
SORD	FASN	-0.653138209156672	0.00833333333333333
C1S	FASN	0.0551727376501496	0.807142857142857
NEDD4L	FASN	-0.389273192351882	0.125
HOXB13	FASN	-0.613842389943908	0.0130952380952381
COX7A1	FASN	0.088489944079312	0.720238095238095
KLK2	FASN	-0.494588597963476	0.0464285714285714
FOXA1	FASN	-0.407036125610095	0.113095238095238
DHCR24	AMD1	-0.494984843065127	0.0464285714285714
PTPRN2	AMD1	-0.505460128857867	0.0440476190476191
TSPAN8	AMD1	-0.874014686986622	0
STEAP1	AMD1	-0.642018378345287	0.00952380952380952
FAAH	AMD1	-0.584695156801569	0.0166666666666667
HIST2H2BE	AMD1	-0.612921720490977	0.0130952380952381
SORD	AMD1	-0.814130624202549	0
C1S	AMD1	0.523083771573358	0.0345238095238095
NEDD4L	AMD1	-0.461252666412614	0.0678571428571429
HOXB13	AMD1	-0.403024580829102	0.11547619047619
COX7A1	AMD1	0.306873535359508	0.228571428571429
KLK2	AMD1	-0.429586907337201	0.0952380952380952
FOXA1	AMD1	-0.506196792255539	0.0440476190476191
FASN	AMD1	-0.323842565893646	0.205952380952381
DHCR24	BASP1	-0.818954706245762	0
PTPRN2	BASP1	-0.352894259796129	0.15952380952381
TSPAN8	BASP1	-0.787234786686888	0.00119047619047619
STEAP1	BASP1	-0.374512941895621	0.135714285714286
FAAH	BASP1	-0.616420487319349	0.0130952380952381
HIST2H2BE	BASP1	-0.387037361663901	0.127380952380952
SORD	BASP1	-0.539069639108921	0.0285714285714286
C1S	BASP1	0.528105014300344	0.0333333333333333
NEDD4L	BASP1	-0.514750283293477	0.0404761904761905
HOXB13	BASP1	-0.598953976464929	0.0142857142857143
COX7A1	BASP1	0.511274097054177	0.0416666666666667
KLK2	BASP1	-0.361338223750981	0.15
FOXA1	BASP1	-0.625485237681175	0.0130952380952381
FASN	BASP1	-0.678525355733312	0.00714285714285714
AMD1	BASP1	-0.900710004062518	0
DHCR24	AQP3	-0.726335781641075	0.00357142857142857
PTPRN2	AQP3	-0.711557255607453	0.00357142857142857
TSPAN8	AQP3	-0.636837370162093	0.0107142857142857
STEAP1	AQP3	-0.676821377533402	0.00714285714285714
FAAH	AQP3	-0.772968582012124	0.00119047619047619
HIST2H2BE	AQP3	-0.677637185112839	0.00714285714285714
SORD	AQP3	-0.637437006391185	0.0107142857142857
C1S	AQP3	0.609136246377859	0.0142857142857143
NEDD4L	AQP3	-0.616416726019358	0.0130952380952381
HOXB13	AQP3	-0.673225216185592	0.00714285714285714
COX7A1	AQP3	0.717746456097244	0.00357142857142857
KLK2	AQP3	-0.483796800899255	0.055952380952381
FOXA1	AQP3	-0.695784107824015	0.00357142857142857
FASN	AQP3	-0.655407373078046	0.00833333333333333
AMD1	AQP3	-0.805835696623547	0.00119047619047619
BASP1	AQP3	-0.891071912387913	0
DHCR24	RDH11	-0.575929663848961	0.0178571428571429
PTPRN2	RDH11	-0.270996991443158	0.285714285714286
TSPAN8	RDH11	-0.202232245669508	0.417857142857143
STEAP1	RDH11	0.171818176937595	0.494047619047619
FAAH	RDH11	-0.366508384802553	0.142857142857143
HIST2H2BE	RDH11	-0.365217464473804	0.144047619047619
SORD	RDH11	-0.475727327641598	0.0607142857142857
C1S	RDH11	0.272238272691189	0.285714285714286
NEDD4L	RDH11	0.126736830082649	0.60952380952381
HOXB13	RDH11	-0.178944653148102	0.477380952380952
COX7A1	RDH11	0.302054225421202	0.23452380952381
KLK2	RDH11	-0.264112961224613	0.302380952380952
FOXA1	RDH11	-0.513994363000193	0.0404761904761905
FASN	RDH11	-0.527227005082594	0.0333333333333333
AMD1	RDH11	-0.246637649365117	0.326190476190476
BASP1	RDH11	-0.0267458274164585	0.908333333333333
AQP3	RDH11	-0.0976273423546413	0.68452380952381
DHCR24	NEFH	-0.553887609560977	0.0238095238095238
PTPRN2	NEFH	-0.756603876951849	0.00238095238095238
TSPAN8	NEFH	-0.691100425898503	0.00476190476190476
STEAP1	NEFH	-0.638434777076859	0.0107142857142857
FAAH	NEFH	-0.673619692832227	0.00714285714285714
HIST2H2BE	NEFH	-0.834683600452976	0
SORD	NEFH	-0.769810253417145	0.00119047619047619
C1S	NEFH	0.513873805615935	0.0404761904761905
NEDD4L	NEFH	-0.810226023939304	0.00119047619047619
HOXB13	NEFH	-0.531385948832719	0.0297619047619048
COX7A1	NEFH	0.557843425502016	0.0238095238095238
KLK2	NEFH	-0.677462670985932	0.00714285714285714
FOXA1	NEFH	-0.848554252022238	0
FASN	NEFH	-0.59176471897663	0.0166666666666667
AMD1	NEFH	-0.0437702744330052	0.853571428571429
BASP1	NEFH	-0.531737792661477	0.0297619047619048
AQP3	NEFH	-0.0230845523267116	0.919047619047619
RDH11	NEFH	-0.893668591520258	0
DHCR24	SERPING1	0.296213789292669	0.24047619047619
PTPRN2	SERPING1	0.420586005146389	0.104761904761905
TSPAN8	SERPING1	0.776074355883517	0.00119047619047619
STEAP1	SERPING1	0.204849759375032	0.408333333333333
FAAH	SERPING1	0.0818220828180087	0.738095238095238
HIST2H2BE	SERPING1	0.194088376569318	0.433333333333333
SORD	SERPING1	0.176081705430702	0.48452380952381
C1S	SERPING1	0.115306859253052	0.641666666666667
NEDD4L	SERPING1	0.189387227338265	0.446428571428571
HOXB13	SERPING1	0.197692653020488	0.428571428571429
COX7A1	SERPING1	0.134385618934775	0.586904761904762
KLK2	SERPING1	0.166501267263472	0.504761904761905
FOXA1	SERPING1	0.187354192490719	0.452380952380952
FASN	SERPING1	0.133591972649884	0.592857142857143
AMD1	SERPING1	0.688267675068641	0.00476190476190476
BASP1	SERPING1	0.609909232176734	0.0142857142857143
AQP3	SERPING1	0.709794714715565	0.00357142857142857
RDH11	SERPING1	0.209419075910546	0.4
NEFH	SERPING1	0.560880800345479	0.0238095238095238
DHCR24	FBLN1	0.186190210690072	0.457142857142857
PTPRN2	FBLN1	0.571504985809745	0.019047619047619
TSPAN8	FBLN1	0.555712405733672	0.0238095238095238
STEAP1	FBLN1	0.421798620408038	0.104761904761905
FAAH	FBLN1	0.120860739199616	0.626190476190476
HIST2H2BE	FBLN1	0.233494514204364	0.348809523809524
SORD	FBLN1	0.490665021954316	0.0523809523809524
C1S	FBLN1	-0.140142027508039	0.571428571428571
NEDD4L	FBLN1	0.450762379755116	0.075
HOXB13	FBLN1	0.350963434848963	0.160714285714286
COX7A1	FBLN1	0.00339227063657361	0.988095238095238
KLK2	FBLN1	0.114119644330848	0.644047619047619
FOXA1	FBLN1	0.390814342986501	0.123809523809524
FASN	FBLN1	-0.0322254695225914	0.886904761904762
AMD1	FBLN1	0.460509968165328	0.0690476190476191
BASP1	FBLN1	0.44528149442802	0.080952380952381
AQP3	FBLN1	0.611186227951356	0.0142857142857143
RDH11	FBLN1	0.14063805293771	0.569047619047619
NEFH	FBLN1	0.128283131589768	0.605952380952381
SERPING1	FBLN1	-0.151163284981122	0.541666666666667
