GeneA	GeneB	Zscore	Pvalue
GSTP1	CAV1	0.755112763158829	0.00833333333333333
GSTP1	GJA1	0.496544014476988	0.0541666666666667
CAV1	GJA1	0.445690173145526	0.08125
GSTP1	GAS1	0.45055845707941	0.08125
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
GSTP1	PCP4	0.82316964976024	0
CAV1	PCP4	0.387913889015828	0.1
GJA1	PCP4	0.238457317583806	0.272916666666667
GAS1	PCP4	0.92304376863516	0
GSTP1	MYLK	0.854746304055682	0
CAV1	MYLK	0.382274752772156	0.104166666666667
GJA1	MYLK	0.108098085209454	0.622916666666667
GAS1	MYLK	1.16214595763178	0
PCP4	MYLK	0.406333699789673	0.0875
GSTP1	ACTG2	0.671599506996417	0.01875
CAV1	ACTG2	0.348163238739534	0.139583333333333
GJA1	ACTG2	0.444786979533904	0.08125
GAS1	ACTG2	0.877461885118623	0
PCP4	ACTG2	0.574861661494146	0.0291666666666667
MYLK	ACTG2	0.310772169875191	0.185416666666667
GSTP1	KCNMB1	0.27326947579898	0.222916666666667
CAV1	KCNMB1	-0.0877324638863963	0.689583333333333
GJA1	KCNMB1	0.121675253232621	0.56875
GAS1	KCNMB1	0.753889377274738	0.00833333333333333
PCP4	KCNMB1	0.160132207316538	0.454166666666667
MYLK	KCNMB1	0.168016537773747	0.433333333333333
ACTG2	KCNMB1	0.168215344379674	0.433333333333333
GSTP1	FHL1	0.510798067894395	0.05
CAV1	FHL1	-0.0318138655135191	0.885416666666667
GJA1	FHL1	0.16181857429362	0.447916666666667
GAS1	FHL1	0.792594059736749	0
PCP4	FHL1	0.290353720745558	0.208333333333333
MYLK	FHL1	0.0571923049082803	0.783333333333333
ACTG2	FHL1	0.155449796126604	0.470833333333333
KCNMB1	FHL1	-0.137296164259969	0.539583333333333
GSTP1	COX7A1	0.76336189513968	0.00625
CAV1	COX7A1	0.308020067379364	0.1875
GJA1	COX7A1	0.237931609860916	0.272916666666667
GAS1	COX7A1	0.84172028244125	0
PCP4	COX7A1	0.38821836579886	0.1
MYLK	COX7A1	0.12377126771005	0.564583333333333
ACTG2	COX7A1	0.102969323782937	0.639583333333333
KCNMB1	COX7A1	0.189134856201512	0.377083333333333
FHL1	COX7A1	0.180932759444627	0.397916666666667
GSTP1	EDNRA	0.448887228260398	0.08125
CAV1	EDNRA	0.141269881846172	0.522916666666667
GJA1	EDNRA	-0.00793618999696418	0.972916666666667
GAS1	EDNRA	0.908019147963965	0
PCP4	EDNRA	0.224256498052298	0.295833333333333
MYLK	EDNRA	0.131380375489347	0.552083333333333
