GeneA	GeneB	Zscore	Pvalue
TSPAN8	AMD1	-0.874014686986622	0.00146198830409357
TSPAN8	BASP1	-0.787234786686888	0.00146198830409357
AMD1	BASP1	-0.900710004062518	0.00146198830409357
TSPAN8	DHCR24	-0.683763733032468	0.00584795321637427
AMD1	DHCR24	-0.494984843065127	0.0394736842105263
BASP1	DHCR24	-0.818954706245762	0.00146198830409357
TSPAN8	STEAP1	-0.466464668048176	0.0599415204678363
AMD1	STEAP1	-0.642018378345287	0.00584795321637427
BASP1	STEAP1	-0.374512941895621	0.159356725146199
DHCR24	STEAP1	-0.506043442209198	0.033625730994152
TSPAN8	SORD	-0.369085929254684	0.162280701754386
AMD1	SORD	-0.814130624202549	0.00146198830409357
BASP1	SORD	-0.539069639108921	0.0204678362573099
DHCR24	SORD	-0.584292186091744	0.0131578947368421
STEAP1	SORD	-0.284796548117926	0.282163742690059
TSPAN8	HIST2H2BE	-0.485933933433867	0.0467836257309941
AMD1	HIST2H2BE	-0.612921720490977	0.00584795321637427
BASP1	HIST2H2BE	-0.387037361663901	0.144736842105263
DHCR24	HIST2H2BE	-0.658068770508215	0.00584795321637427
STEAP1	HIST2H2BE	-0.198374659422617	0.431286549707602
SORD	HIST2H2BE	-0.585407558713493	0.0131578947368421
TSPAN8	C1S	0.69419922633004	0.00584795321637427
AMD1	C1S	0.523083771573358	0.0248538011695906
BASP1	C1S	0.528105014300344	0.0233918128654971
DHCR24	C1S	0.499811772087531	0.0380116959064327
STEAP1	C1S	0.461990653650302	0.0614035087719298
SORD	C1S	0.351080756345666	0.184210526315789
HIST2H2BE	C1S	0.393285319889637	0.140350877192982
TSPAN8	FOXA1	-0.216871727179346	0.400584795321637
AMD1	FOXA1	-0.506196792255539	0.0321637426900585
BASP1	FOXA1	-0.625485237681175	0.00584795321637427
DHCR24	FOXA1	-0.479162661710322	0.0511695906432749
STEAP1	FOXA1	-0.279177729454137	0.29093567251462
SORD	FOXA1	-0.37710472507314	0.153508771929825
HIST2H2BE	FOXA1	-0.49853674551039	0.0380116959064327
C1S	FOXA1	0.386795348236347	0.144736842105263
TSPAN8	TM7SF2	-0.359175796713257	0.166666666666667
AMD1	TM7SF2	-0.591138037191545	0.0087719298245614
BASP1	TM7SF2	-0.513000966946685	0.0277777777777778
DHCR24	TM7SF2	-0.700131650305335	0.00584795321637427
STEAP1	TM7SF2	-0.586825559495436	0.0116959064327485
SORD	TM7SF2	-0.48898801748899	0.043859649122807
HIST2H2BE	TM7SF2	-0.800074216309585	0.00146198830409357
C1S	TM7SF2	0.691476330460081	0.00584795321637427
FOXA1	TM7SF2	-0.520801389390175	0.0248538011695906
TSPAN8	TSPAN1	-0.275758701462826	0.293859649122807
AMD1	TSPAN1	-0.589335590212558	0.010233918128655
BASP1	TSPAN1	-0.600772317313566	0.00730994152046784
DHCR24	TSPAN1	-0.548236120677359	0.0190058479532164
STEAP1	TSPAN1	-0.195837910183061	0.442982456140351
SORD	TSPAN1	-0.190546836345185	0.45906432748538
HIST2H2BE	TSPAN1	-0.295402673771366	0.269005847953216
C1S	TSPAN1	0.372816756603393	0.160818713450292
FOXA1	TSPAN1	-0.314617516986464	0.239766081871345
TM7SF2	TSPAN1	-0.54271956276884	0.0190058479532164
TSPAN8	EPCAM	-0.671557023350052	0.00584795321637427
AMD1	EPCAM	-0.348502547299414	0.18859649122807
BASP1	EPCAM	-0.568600844501492	0.0146198830409357
DHCR24	EPCAM	-0.235682854062204	0.358187134502924
STEAP1	EPCAM	-0.567643488563217	0.0146198830409357
SORD	EPCAM	-0.596943124549737	0.00730994152046784
HIST2H2BE	EPCAM	-0.164033138488277	0.513157894736842
C1S	EPCAM	0.436223281558487	0.0818713450292398
FOXA1	EPCAM	-0.265967682691935	0.305555555555556
TM7SF2	EPCAM	-0.554046236543545	0.0160818713450292
TSPAN1	EPCAM	-0.501713348006305	0.0365497076023392
TSPAN8	HOXB13	-0.404706766009746	0.12719298245614
