GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.0833333333333333
CAV1	GAS1	1.00159498050675	0.00292397660818713
GJA1	GAS1	1.10604441378625	0.00292397660818713
CAV1	FILIP1L	0.0360353370529898	0.864035087719298
GJA1	FILIP1L	0.274970636431974	0.213450292397661
GAS1	FILIP1L	0.484535052373981	0.0760233918128655
CAV1	PCP4	0.387913889015828	0.112573099415205
GJA1	PCP4	0.238457317583806	0.295321637426901
GAS1	PCP4	0.92304376863516	0.00584795321637427
FILIP1L	PCP4	0.24794744985912	0.274853801169591
CAV1	ACTG2	0.348163238739534	0.138888888888889
GJA1	ACTG2	0.444786979533904	0.0833333333333333
GAS1	ACTG2	0.877461885118623	0.0131578947368421
FILIP1L	ACTG2	-0.0947342513092492	0.654970760233918
PCP4	ACTG2	0.574861661494146	0.0482456140350877
CAV1	GSTP1	0.755112763158829	0.0248538011695906
GJA1	GSTP1	0.496544014476988	0.0716374269005848
GAS1	GSTP1	0.45055845707941	0.0833333333333333
FILIP1L	GSTP1	0.670745435733322	0.0321637426900585
PCP4	GSTP1	0.82316964976024	0.0175438596491228
ACTG2	GSTP1	0.671599506996417	0.0321637426900585
CAV1	EDNRA	0.141269881846172	0.511695906432749
GJA1	EDNRA	-0.00793618999696418	0.972222222222222
GAS1	EDNRA	0.908019147963965	0.010233918128655
FILIP1L	EDNRA	0.0152987236999977	0.937134502923977
PCP4	EDNRA	0.224256498052298	0.327485380116959
ACTG2	EDNRA	0.294103065443562	0.182748538011696
GSTP1	EDNRA	0.448887228260398	0.0833333333333333
CAV1	MYLK	0.382274752772156	0.115497076023392
GJA1	MYLK	0.108098085209454	0.603801169590643
GAS1	MYLK	1.16214595763178	0.00146198830409357
FILIP1L	MYLK	0.166128830083597	0.451754385964912
PCP4	MYLK	0.406333699789673	0.097953216374269
ACTG2	MYLK	0.310772169875191	0.165204678362573
GSTP1	MYLK	0.854746304055682	0.0146198830409357
EDNRA	MYLK	0.131380375489347	0.54093567251462
CAV1	ID3	0.543933673172617	0.0555555555555556
GJA1	ID3	0.486208652062949	0.0745614035087719
GAS1	ID3	0.210732527139131	0.359649122807018
FILIP1L	ID3	0.469379451563392	0.0789473684210526
PCP4	ID3	0.712068156980738	0.0292397660818713
ACTG2	ID3	0.619371415250541	0.0380116959064327
GSTP1	ID3	0.561476694492195	0.0526315789473684
EDNRA	ID3	0.330373990573831	0.149122807017544
MYLK	ID3	0.796318036772737	0.0204678362573099
CAV1	TPM2	0.399675597208219	0.103801169590643
GJA1	TPM2	0.227709926991111	0.321637426900585
GAS1	TPM2	1.07882628361791	0.00292397660818713
FILIP1L	TPM2	0.0518395054585916	0.809941520467836
PCP4	TPM2	0.531046902061787	0.0584795321637427
ACTG2	TPM2	0.158165175368923	0.470760233918129
GSTP1	TPM2	0.643709718630555	0.0365497076023392
EDNRA	TPM2	0.148043522671248	0.497076023391813
MYLK	TPM2	0.284534365866725	0.195906432748538
ID3	TPM2	0.699155342128981	0.0321637426900585
CAV1	FHL1	-0.0318138655135191	0.875730994152047
GJA1	FHL1	0.16181857429362	0.45906432748538
GAS1	FHL1	0.792594059736749	0.0219298245614035
FILIP1L	FHL1	0.0390366578802387	0.85233918128655
PCP4	FHL1	0.290353720745558	0.187134502923977
ACTG2	FHL1	0.155449796126604	0.472222222222222
GSTP1	FHL1	0.510798067894395	0.0672514619883041
EDNRA	FHL1	0.117071287842974	0.58187134502924
MYLK	FHL1	0.0571923049082803	0.776315789473684
ID3	FHL1	0.56589306482096	0.0497076023391813
TPM2	FHL1	-0.126148308681523	0.557017543859649
CAV1	FERMT2	0.128686866125682	0.549707602339181
GJA1	FERMT2	0.208905723441119	0.362573099415205
GAS1	FERMT2	1.12308235652472	0.00292397660818713
FILIP1L	FERMT2	-0.0975962933832992	0.634502923976608
PCP4	FERMT2	0.237656155782876	0.298245614035088
ACTG2	FERMT2	0.207579833017781	0.365497076023392
GSTP1	FERMT2	0.765922265457954	0.0248538011695906
EDNRA	FERMT2	0.246396398265092	0.280701754385965
MYLK	FERMT2	0.0312727669858457	0.881578947368421
ID3	FERMT2	0.543670974771684	0.0555555555555556
TPM2	FERMT2	-0.0998042831916297	0.62280701754386
FHL1	FERMT2	0.0543039762057316	0.789473684210526
CAV1	MYH11	0.323626752575867	0.152046783625731
GJA1	MYH11	0.296517811147153	0.181286549707602
GAS1	MYH11	0.665209405931518	0.033625730994152
FILIP1L	MYH11	0.021498119674989	0.921052631578947
PCP4	MYH11	0.460360607681304	0.0818713450292398
ACTG2	MYH11	0.102252172512698	0.618421052631579
GSTP1	MYH11	0.552078926008369	0.054093567251462
EDNRA	MYH11	0.139038636886344	0.519005847953216
MYLK	MYH11	0.393625594029587	0.111111111111111
ID3	MYH11	0.501236117211381	0.0701754385964912
TPM2	MYH11	0.220061055795613	0.334795321637427
FHL1	MYH11	-0.0270146001619662	0.89766081871345
FERMT2	MYH11	0.0538753065453844	0.793859649122807
CAV1	FLNA	0.474158452064959	0.0774853801169591
GJA1	FLNA	0.398339103712728	0.103801169590643
GAS1	FLNA	0.654320500764222	0.0365497076023392
FILIP1L	FLNA	0.0281311124425346	0.896198830409357
PCP4	FLNA	0.547261547474663	0.0555555555555556
ACTG2	FLNA	0.337933025551678	0.144736842105263
GSTP1	FLNA	0.726570538581914	0.0292397660818713
EDNRA	FLNA	0.233916703529682	0.308479532163743
MYLK	FLNA	0.335573441973267	0.144736842105263
ID3	FLNA	0.564655721552914	0.0497076023391813
TPM2	FLNA	0.291241110445347	0.187134502923977
FHL1	FLNA	0.216677572243534	0.345029239766082
FERMT2	FLNA	0.239932112941929	0.292397660818713
MYH11	FLNA	0.356140527036578	0.134502923976608
CAV1	KCNMB1	-0.0877324638863963	0.672514619883041
GJA1	KCNMB1	0.121675253232621	0.570175438596491
GAS1	KCNMB1	0.753889377274738	0.0248538011695906
FILIP1L	KCNMB1	-0.031872277971347	0.874269005847953
PCP4	KCNMB1	0.160132207316538	0.463450292397661
ACTG2	KCNMB1	0.168215344379674	0.447368421052632
GSTP1	KCNMB1	0.27326947579898	0.217836257309942
EDNRA	KCNMB1	-0.12213706496673	0.570175438596491
MYLK	KCNMB1	0.168016537773747	0.448830409356725
ID3	KCNMB1	0.260840590424269	0.245614035087719
TPM2	KCNMB1	0.0522579070119404	0.802631578947368
FHL1	KCNMB1	-0.137296164259969	0.524853801169591
FERMT2	KCNMB1	0.0628389807202041	0.758771929824561
MYH11	KCNMB1	0.0992690768239808	0.625730994152047
FLNA	KCNMB1	-0.0714216863114551	0.736842105263158
CAV1	CNN1	0.165404487475866	0.451754385964912
GJA1	CNN1	0.344707873745223	0.138888888888889
GAS1	CNN1	0.855293157761548	0.0146198830409357
FILIP1L	CNN1	-0.215914895346717	0.346491228070175
PCP4	CNN1	0.341650381551282	0.14327485380117
ACTG2	CNN1	0.145936404202375	0.504385964912281
GSTP1	CNN1	0.726367250549443	0.0292397660818713
EDNRA	CNN1	0.0591685674570644	0.77046783625731
MYLK	CNN1	0.29755178938882	0.179824561403509
ID3	CNN1	0.528962763922462	0.0584795321637427
TPM2	CNN1	0.325355776765222	0.150584795321637
FHL1	CNN1	-0.0771036773581563	0.716374269005848
FERMT2	CNN1	0.0687932785135413	0.747076023391813
MYH11	CNN1	0.284468992070307	0.195906432748538
FLNA	CNN1	0.323422357680902	0.152046783625731
KCNMB1	CNN1	-0.0725451055085078	0.733918128654971
CAV1	COX7A1	0.308020067379364	0.169590643274854
GJA1	COX7A1	0.237931609860916	0.298245614035088
GAS1	COX7A1	0.84172028244125	0.0175438596491228
FILIP1L	COX7A1	0.222384951610681	0.330409356725146
PCP4	COX7A1	0.38821836579886	0.112573099415205
ACTG2	COX7A1	0.102969323782937	0.615497076023392
GSTP1	COX7A1	0.76336189513968	0.0248538011695906
EDNRA	COX7A1	0.0213518191498075	0.921052631578947
MYLK	COX7A1	0.12377126771005	0.565789473684211
ID3	COX7A1	0.705179204657154	0.0307017543859649
TPM2	COX7A1	0.0389550161934453	0.853801169590643
FHL1	COX7A1	0.180932759444627	0.416666666666667
FERMT2	COX7A1	-0.0754994017859472	0.725146198830409
MYH11	COX7A1	0.265982742267528	0.232456140350877
FLNA	COX7A1	0.220493523803756	0.333333333333333
KCNMB1	COX7A1	0.189134856201512	0.39766081871345
CNN1	COX7A1	0.231081254920339	0.312865497076023
CAV1	PPP1R12B	-0.00158015660747965	0.997076023391813
GJA1	PPP1R12B	0.203268236858376	0.37280701754386
GAS1	PPP1R12B	0.717932488915289	0.0292397660818713
FILIP1L	PPP1R12B	-0.0463706810016443	0.821637426900585
PCP4	PPP1R12B	0.336222317961298	0.144736842105263
ACTG2	PPP1R12B	0.244869722512587	0.286549707602339
GSTP1	PPP1R12B	0.502244255558421	0.0701754385964912
EDNRA	PPP1R12B	0.0369479444677322	0.862573099415205
MYLK	PPP1R12B	0.250597163556638	0.269005847953216
ID3	PPP1R12B	0.418944893268506	0.0935672514619883
TPM2	PPP1R12B	0.152141702958956	0.483918128654971
FHL1	PPP1R12B	-0.111467900398327	0.597953216374269
FERMT2	PPP1R12B	0.184031065279132	0.409356725146199
MYH11	PPP1R12B	0.199371976731611	0.381578947368421
FLNA	PPP1R12B	0.174853800388041	0.432748538011696
KCNMB1	PPP1R12B	-0.154963229588479	0.473684210526316
CNN1	PPP1R12B	0.0212778903170016	0.921052631578947
COX7A1	PPP1R12B	0.161560623564929	0.460526315789474
