GeneA	GeneB	Zscore	Pvalue
GSTP1	CAV1	0.755112763158829	0.00416666666666667
GSTP1	GJA1	0.496544014476988	0.0354166666666667
CAV1	GJA1	0.445690173145526	0.0604166666666667
GSTP1	GAS1	0.45055845707941	0.05625
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
GSTP1	PCP4	0.82316964976024	0.00208333333333333
CAV1	PCP4	0.387913889015828	0.0979166666666667
GJA1	PCP4	0.238457317583806	0.30625
GAS1	PCP4	0.92304376863516	0
GSTP1	MYLK	0.854746304055682	0
CAV1	MYLK	0.382274752772156	0.1
GJA1	MYLK	0.108098085209454	0.608333333333333
GAS1	MYLK	1.16214595763178	0
PCP4	MYLK	0.406333699789673	0.08125
GSTP1	ACTG2	0.671599506996417	0.0104166666666667
CAV1	ACTG2	0.348163238739534	0.14375
GJA1	ACTG2	0.444786979533904	0.0604166666666667
GAS1	ACTG2	0.877461885118623	0
PCP4	ACTG2	0.574861661494146	0.01875
MYLK	ACTG2	0.310772169875191	0.177083333333333
GSTP1	KCNMB1	0.27326947579898	0.24375
CAV1	KCNMB1	-0.0877324638863963	0.6625
GJA1	KCNMB1	0.121675253232621	0.564583333333333
GAS1	KCNMB1	0.753889377274738	0.00416666666666667
PCP4	KCNMB1	0.160132207316538	0.472916666666667
MYLK	KCNMB1	0.168016537773747	0.445833333333333
ACTG2	KCNMB1	0.168215344379674	0.445833333333333
GSTP1	FHL1	0.510798067894395	0.0333333333333333
CAV1	FHL1	-0.0318138655135191	0.883333333333333
GJA1	FHL1	0.16181857429362	0.46875
GAS1	FHL1	0.792594059736749	0.00416666666666667
PCP4	FHL1	0.290353720745558	0.2125
MYLK	FHL1	0.0571923049082803	0.783333333333333
ACTG2	FHL1	0.155449796126604	0.477083333333333
KCNMB1	FHL1	-0.137296164259969	0.522916666666667
GSTP1	COX7A1	0.76336189513968	0.00416666666666667
CAV1	COX7A1	0.308020067379364	0.18125
GJA1	COX7A1	0.237931609860916	0.30625
GAS1	COX7A1	0.84172028244125	0.00208333333333333
PCP4	COX7A1	0.38821836579886	0.0979166666666667
MYLK	COX7A1	0.12377126771005	0.558333333333333
ACTG2	COX7A1	0.102969323782937	0.6125
KCNMB1	COX7A1	0.189134856201512	0.404166666666667
FHL1	COX7A1	0.180932759444627	0.427083333333333
GSTP1	EDNRA	0.448887228260398	0.0583333333333333
CAV1	EDNRA	0.141269881846172	0.508333333333333
GJA1	EDNRA	-0.00793618999696418	0.966666666666667
GAS1	EDNRA	0.908019147963965	0
PCP4	EDNRA	0.224256498052298	0.322916666666667
MYLK	EDNRA	0.131380375489347	0.535416666666667
