Gene	Hit	Module1	Module2	Class
GSTP1	FALSE	TRUE	TRUE	TRUE_TRUE
CAV1	FALSE	TRUE	TRUE	TRUE_TRUE
GJA1	FALSE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
MYLK	FALSE	TRUE	TRUE	TRUE_TRUE
ACTG2	FALSE	TRUE	TRUE	TRUE_TRUE
KCNMB1	TRUE	TRUE	TRUE	TRUE_TRUE
FHL1	FALSE	TRUE	FALSE	TRUE_FALSE
COX7A1	TRUE	TRUE	TRUE	TRUE_TRUE
EDNRA	FALSE	TRUE	FALSE	TRUE_FALSE
TPM2	FALSE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	FALSE	TRUE	FALSE_TRUE
FLNA	FALSE	FALSE	TRUE	FALSE_TRUE
CNN1	FALSE	FALSE	TRUE	FALSE_TRUE
ID3	FALSE	FALSE	TRUE	FALSE_TRUE
PPP1R12B	FALSE	FALSE	TRUE	FALSE_TRUE
