GeneA	GeneB	Zscore	Pvalue
DHCR24	PTPRN2	-0.618506135247067	0.0369047619047619
DHCR24	TSPAN8	-0.683763733032468	0.0142857142857143
PTPRN2	TSPAN8	-0.518832742190026	0.0797619047619048
DHCR24	STEAP1	-0.506043442209198	0.0928571428571429
PTPRN2	STEAP1	-0.155079838589674	0.634523809523809
TSPAN8	STEAP1	-0.466464668048176	0.119047619047619
DHCR24	FAAH	-0.689686302598327	0.0142857142857143
PTPRN2	FAAH	-0.559739552584795	0.0630952380952381
TSPAN8	FAAH	-0.581576234629686	0.05
STEAP1	FAAH	-0.52323086339521	0.0785714285714286
DHCR24	HIST2H2BE	-0.658068770508215	0.0214285714285714
PTPRN2	HIST2H2BE	-0.518671529264177	0.0797619047619048
TSPAN8	HIST2H2BE	-0.485933933433867	0.103571428571429
STEAP1	HIST2H2BE	-0.198374659422617	0.546428571428571
FAAH	HIST2H2BE	-0.43279787825252	0.146428571428571
DHCR24	SORD	-0.584292186091744	0.05
PTPRN2	SORD	-0.398119056990179	0.183333333333333
TSPAN8	SORD	-0.369085929254684	0.227380952380952
STEAP1	SORD	-0.284796548117926	0.372619047619048
FAAH	SORD	-0.568660704563023	0.0583333333333333
HIST2H2BE	SORD	-0.585407558713493	0.05
DHCR24	C1S	0.499811772087531	0.094047619047619
PTPRN2	C1S	0.637230352514669	0.030952380952381
TSPAN8	C1S	0.69419922633004	0.0142857142857143
STEAP1	C1S	0.461990653650302	0.121428571428571
FAAH	C1S	0.294597403185263	0.355952380952381
HIST2H2BE	C1S	0.393285319889637	0.189285714285714
SORD	C1S	0.351080756345666	0.25
DHCR24	NEDD4L	-0.668006705482533	0.019047619047619
PTPRN2	NEDD4L	-0.398165546365872	0.183333333333333
TSPAN8	NEDD4L	-0.459047887663636	0.122619047619048
STEAP1	NEDD4L	-0.553223726701625	0.0666666666666667
FAAH	NEDD4L	-0.170077029603297	0.601190476190476
HIST2H2BE	NEDD4L	-0.243712183846521	0.457142857142857
SORD	NEDD4L	-0.240981405467466	0.463095238095238
C1S	NEDD4L	0.721215037544367	0.00952380952380952
DHCR24	HOXB13	-0.664561467921645	0.0202380952380952
PTPRN2	HOXB13	-1.03917230166503	0
TSPAN8	HOXB13	-0.404706766009746	0.173809523809524
STEAP1	HOXB13	-0.44981565752372	0.128571428571429
FAAH	HOXB13	-0.170404639304511	0.6
HIST2H2BE	HOXB13	-0.326200766083295	0.297619047619048
SORD	HOXB13	-0.291805792084656	0.35952380952381
C1S	HOXB13	0.428742361135934	0.148809523809524
NEDD4L	HOXB13	-0.318813206633137	0.305952380952381
DHCR24	COX7A1	0.410955195282978	0.16547619047619
PTPRN2	COX7A1	0.340481263567112	0.269047619047619
TSPAN8	COX7A1	0.52228651576414	0.0797619047619048
STEAP1	COX7A1	0.343880568370055	0.264285714285714
FAAH	COX7A1	0.502993104665808	0.0928571428571429
HIST2H2BE	COX7A1	0.243207396873981	0.458333333333333
SORD	COX7A1	0.386874727487952	0.197619047619048
C1S	COX7A1	-0.153339298388108	0.635714285714286
NEDD4L	COX7A1	0.778919716044413	0.00476190476190476
HOXB13	COX7A1	0.375761589433979	0.219047619047619
DHCR24	KLK2	-0.452432609012787	0.127380952380952
PTPRN2	KLK2	-0.353561448736031	0.247619047619048
TSPAN8	KLK2	-0.73385261459835	0.00833333333333333
STEAP1	KLK2	-0.256533227839766	0.422619047619048
FAAH	KLK2	-0.431639593810164	0.146428571428571
HIST2H2BE	KLK2	-0.444914102689479	0.130952380952381
SORD	KLK2	-0.616844958741231	0.0380952380952381
C1S	KLK2	0.30863382484752	0.328571428571429
NEDD4L	KLK2	-0.299291651772755	0.344047619047619
HOXB13	KLK2	-0.693768721930903	0.0142857142857143
COX7A1	KLK2	0.332438695424597	0.288095238095238
DHCR24	FOXA1	-0.479162661710322	0.107142857142857
PTPRN2	FOXA1	-0.508260425233421	0.0904761904761905
TSPAN8	FOXA1	-0.216871727179346	0.514285714285714
STEAP1	FOXA1	-0.279177729454137	0.377380952380952
FAAH	FOXA1	-0.251981463538595	0.432142857142857
HIST2H2BE	FOXA1	-0.49853674551039	0.094047619047619
SORD	FOXA1	-0.37710472507314	0.217857142857143
C1S	FOXA1	0.386795348236347	0.197619047619048
NEDD4L	FOXA1	-0.208040469088243	0.525
HOXB13	FOXA1	-0.337391149250063	0.270238095238095
COX7A1	FOXA1	0.116223603425394	0.721428571428571
KLK2	FOXA1	-0.545619502441392	0.0702380952380952
DHCR24	FASN	-0.229650516176277	0.49047619047619
PTPRN2	FASN	-0.544453624611297	0.0702380952380952
TSPAN8	FASN	-0.539984763691955	0.0714285714285714
STEAP1	FASN	-0.648289097761415	0.025
FAAH	FASN	-0.466129429022373	0.119047619047619
HIST2H2BE	FASN	-0.465632465556299	0.119047619047619
SORD	FASN	-0.653138209156672	0.0238095238095238
C1S	FASN	0.0551727376501496	0.867857142857143
NEDD4L	FASN	-0.389273192351882	0.195238095238095
HOXB13	FASN	-0.613842389943908	0.0380952380952381
COX7A1	FASN	0.088489944079312	0.78452380952381
KLK2	FASN	-0.494588597963476	0.094047619047619
FOXA1	FASN	-0.407036125610095	0.170238095238095
DHCR24	AMD1	-0.494984843065127	0.094047619047619
PTPRN2	AMD1	-0.505460128857867	0.0928571428571429
TSPAN8	AMD1	-0.874014686986622	0
STEAP1	AMD1	-0.642018378345287	0.0273809523809524
FAAH	AMD1	-0.584695156801569	0.05
HIST2H2BE	AMD1	-0.612921720490977	0.0392857142857143
SORD	AMD1	-0.814130624202549	0.00238095238095238
C1S	AMD1	0.523083771573358	0.0785714285714286
NEDD4L	AMD1	-0.461252666412614	0.121428571428571
HOXB13	AMD1	-0.403024580829102	0.175
COX7A1	AMD1	0.306873535359508	0.330952380952381
KLK2	AMD1	-0.429586907337201	0.148809523809524
FOXA1	AMD1	-0.506196792255539	0.0928571428571429
FASN	AMD1	-0.323842565893646	0.301190476190476
DHCR24	BASP1	-0.818954706245762	0.00238095238095238
PTPRN2	BASP1	-0.352894259796129	0.247619047619048
TSPAN8	BASP1	-0.787234786686888	0.00357142857142857
STEAP1	BASP1	-0.374512941895621	0.219047619047619
FAAH	BASP1	-0.616420487319349	0.0380952380952381
HIST2H2BE	BASP1	-0.387037361663901	0.197619047619048
SORD	BASP1	-0.539069639108921	0.0726190476190476
C1S	BASP1	0.528105014300344	0.0761904761904762
NEDD4L	BASP1	-0.514750283293477	0.0821428571428571
HOXB13	BASP1	-0.598953976464929	0.0476190476190476
COX7A1	BASP1	0.511274097054177	0.0857142857142857
KLK2	BASP1	-0.361338223750981	0.236904761904762
FOXA1	BASP1	-0.625485237681175	0.0345238095238095
FASN	BASP1	-0.678525355733312	0.0154761904761905
AMD1	BASP1	-0.900710004062518	0
DHCR24	AQP3	-0.726335781641075	0.00833333333333333
PTPRN2	AQP3	-0.711557255607453	0.00952380952380952
TSPAN8	AQP3	-0.636837370162093	0.0321428571428571
STEAP1	AQP3	-0.676821377533402	0.0154761904761905
FAAH	AQP3	-0.772968582012124	0.00595238095238095
HIST2H2BE	AQP3	-0.677637185112839	0.0154761904761905
SORD	AQP3	-0.637437006391185	0.030952380952381
C1S	AQP3	0.609136246377859	0.0416666666666667
NEDD4L	AQP3	-0.616416726019358	0.0380952380952381
HOXB13	AQP3	-0.673225216185592	0.0178571428571429
COX7A1	AQP3	0.717746456097244	0.00952380952380952
KLK2	AQP3	-0.483796800899255	0.103571428571429
FOXA1	AQP3	-0.695784107824015	0.0130952380952381
FASN	AQP3	-0.655407373078046	0.0226190476190476
AMD1	AQP3	-0.805835696623547	0.00238095238095238
BASP1	AQP3	-0.891071912387913	0
DHCR24	RDH11	-0.575929663848961	0.0571428571428571
PTPRN2	RDH11	-0.270996991443158	0.398809523809524
TSPAN8	RDH11	-0.202232245669508	0.536904761904762
STEAP1	RDH11	0.171818176937595	0.597619047619048
FAAH	RDH11	-0.366508384802553	0.229761904761905
HIST2H2BE	RDH11	-0.365217464473804	0.230952380952381
SORD	RDH11	-0.475727327641598	0.110714285714286
C1S	RDH11	0.272238272691189	0.395238095238095
NEDD4L	RDH11	0.126736830082649	0.696428571428571
HOXB13	RDH11	-0.178944653148102	0.582142857142857
COX7A1	RDH11	0.302054225421202	0.34047619047619
KLK2	RDH11	-0.264112961224613	0.410714285714286
FOXA1	RDH11	-0.513994363000193	0.0845238095238095
FASN	RDH11	-0.527227005082594	0.0761904761904762
AMD1	RDH11	-0.246637649365117	0.45
BASP1	RDH11	-0.0267458274164585	0.942857142857143
AQP3	RDH11	-0.0976273423546413	0.763095238095238
DHCR24	NEFH	-0.553887609560977	0.0666666666666667
PTPRN2	NEFH	-0.756603876951849	0.00595238095238095
TSPAN8	NEFH	-0.691100425898503	0.0142857142857143
STEAP1	NEFH	-0.638434777076859	0.0297619047619048
FAAH	NEFH	-0.673619692832227	0.0178571428571429
HIST2H2BE	NEFH	-0.834683600452976	0.00238095238095238
SORD	NEFH	-0.769810253417145	0.00595238095238095
C1S	NEFH	0.513873805615935	0.0845238095238095
NEDD4L	NEFH	-0.810226023939304	0.00238095238095238
HOXB13	NEFH	-0.531385948832719	0.075
COX7A1	NEFH	0.557843425502016	0.0642857142857143
KLK2	NEFH	-0.677462670985932	0.0154761904761905
FOXA1	NEFH	-0.848554252022238	0.00238095238095238
FASN	NEFH	-0.59176471897663	0.0488095238095238
AMD1	NEFH	-0.0437702744330052	0.895238095238095
BASP1	NEFH	-0.531737792661477	0.075
AQP3	NEFH	-0.0230845523267116	0.952380952380952
RDH11	NEFH	-0.893668591520258	0
DHCR24	SERPING1	0.296213789292669	0.352380952380952
PTPRN2	SERPING1	0.420586005146389	0.158333333333333
TSPAN8	SERPING1	0.776074355883517	0.00476190476190476
STEAP1	SERPING1	0.204849759375032	0.530952380952381
FAAH	SERPING1	0.0818220828180087	0.808333333333333
HIST2H2BE	SERPING1	0.194088376569318	0.552380952380952
SORD	SERPING1	0.176081705430702	0.586904761904762
C1S	SERPING1	0.115306859253052	0.727380952380952
NEDD4L	SERPING1	0.189387227338265	0.561904761904762
HOXB13	SERPING1	0.197692653020488	0.548809523809524
COX7A1	SERPING1	0.134385618934775	0.686904761904762
KLK2	SERPING1	0.166501267263472	0.611904761904762
FOXA1	SERPING1	0.187354192490719	0.566666666666667
FASN	SERPING1	0.133591972649884	0.69047619047619
AMD1	SERPING1	0.688267675068641	0.0142857142857143
BASP1	SERPING1	0.609909232176734	0.0404761904761905
AQP3	SERPING1	0.709794714715565	0.00952380952380952
RDH11	SERPING1	0.209419075910546	0.521428571428571
NEFH	SERPING1	0.560880800345479	0.0630952380952381
DHCR24	FBLN1	0.186190210690072	0.570238095238095
PTPRN2	FBLN1	0.571504985809745	0.0583333333333333
TSPAN8	FBLN1	0.555712405733672	0.0654761904761905
STEAP1	FBLN1	0.421798620408038	0.158333333333333
FAAH	FBLN1	0.120860739199616	0.716666666666667
HIST2H2BE	FBLN1	0.233494514204364	0.479761904761905
SORD	FBLN1	0.490665021954316	0.101190476190476
C1S	FBLN1	-0.140142027508039	0.677380952380952
NEDD4L	FBLN1	0.450762379755116	0.127380952380952
HOXB13	FBLN1	0.350963434848963	0.25
COX7A1	FBLN1	0.00339227063657361	0.992857142857143
KLK2	FBLN1	0.114119644330848	0.729761904761905
FOXA1	FBLN1	0.390814342986501	0.194047619047619
FASN	FBLN1	-0.0322254695225914	0.93452380952381
AMD1	FBLN1	0.460509968165328	0.122619047619048
BASP1	FBLN1	0.44528149442802	0.130952380952381
AQP3	FBLN1	0.611186227951356	0.0392857142857143
RDH11	FBLN1	0.14063805293771	0.675
NEFH	FBLN1	0.128283131589768	0.695238095238095
SERPING1	FBLN1	-0.151163284981122	0.644047619047619
