Gene	Hit	Module1	Module2	Class
DHCR24	FALSE	TRUE	FALSE	TRUE_FALSE
PTPRN2	FALSE	TRUE	FALSE	TRUE_FALSE
TSPAN8	FALSE	TRUE	TRUE	TRUE_TRUE
STEAP1	FALSE	TRUE	TRUE	TRUE_TRUE
FAAH	FALSE	TRUE	FALSE	TRUE_FALSE
HIST2H2BE	FALSE	TRUE	TRUE	TRUE_TRUE
SORD	FALSE	TRUE	FALSE	TRUE_FALSE
C1S	TRUE	TRUE	FALSE	TRUE_FALSE
NEDD4L	FALSE	TRUE	FALSE	TRUE_FALSE
HOXB13	FALSE	TRUE	FALSE	TRUE_FALSE
COX7A1	FALSE	TRUE	FALSE	TRUE_FALSE
KLK2	TRUE	TRUE	TRUE	TRUE_TRUE
FOXA1	FALSE	TRUE	FALSE	TRUE_FALSE
FASN	FALSE	TRUE	FALSE	TRUE_FALSE
AMD1	FALSE	FALSE	TRUE	FALSE_TRUE
BASP1	FALSE	FALSE	TRUE	FALSE_TRUE
AQP3	FALSE	FALSE	TRUE	FALSE_TRUE
RDH11	FALSE	FALSE	TRUE	FALSE_TRUE
NEFH	FALSE	FALSE	TRUE	FALSE_TRUE
SERPING1	FALSE	FALSE	TRUE	FALSE_TRUE
FBLN1	FALSE	FALSE	TRUE	FALSE_TRUE
