GeneA	GeneB	Zscore	Pvalue
DHCR24	AMD1	-0.494984843065127	0.0555555555555556
DHCR24	TM7SF2	-0.700131650305335	0.0116959064327485
AMD1	TM7SF2	-0.591138037191545	0.0292397660818713
DHCR24	STEAP1	-0.506043442209198	0.0511695906432749
AMD1	STEAP1	-0.642018378345287	0.0190058479532164
TM7SF2	STEAP1	-0.586825559495436	0.0292397660818713
DHCR24	SORD	-0.584292186091744	0.0292397660818713
AMD1	SORD	-0.814130624202549	0.00146198830409357
TM7SF2	SORD	-0.48898801748899	0.0584795321637427
STEAP1	SORD	-0.284796548117926	0.238304093567251
DHCR24	TSPAN8	-0.683763733032468	0.0131578947368421
AMD1	TSPAN8	-0.874014686986622	0.00146198830409357
TM7SF2	TSPAN8	-0.359175796713257	0.153508771929825
STEAP1	TSPAN8	-0.466464668048176	0.0760233918128655
SORD	TSPAN8	-0.369085929254684	0.138888888888889
DHCR24	HIST2H2BE	-0.658068770508215	0.0160818713450292
AMD1	HIST2H2BE	-0.612921720490977	0.0277777777777778
TM7SF2	HIST2H2BE	-0.800074216309585	0.00292397660818713
STEAP1	HIST2H2BE	-0.198374659422617	0.404970760233918
SORD	HIST2H2BE	-0.585407558713493	0.0292397660818713
TSPAN8	HIST2H2BE	-0.485933933433867	0.0628654970760234
DHCR24	C1R	0.377717707374517	0.135964912280702
AMD1	C1R	0.520068319402311	0.0482456140350877
TM7SF2	C1R	0.593199184631776	0.0292397660818713
STEAP1	C1R	0.273815513155518	0.257309941520468
SORD	C1R	0.257408736968067	0.282163742690059
TSPAN8	C1R	0.690123039936009	0.0131578947368421
HIST2H2BE	C1R	0.414032308960206	0.115497076023392
DHCR24	FOXA1	-0.479162661710322	0.0672514619883041
AMD1	FOXA1	-0.506196792255539	0.0511695906432749
TM7SF2	FOXA1	-0.520801389390175	0.0482456140350877
STEAP1	FOXA1	-0.279177729454137	0.251461988304094
SORD	FOXA1	-0.37710472507314	0.135964912280702
TSPAN8	FOXA1	-0.216871727179346	0.362573099415205
HIST2H2BE	FOXA1	-0.49853674551039	0.0526315789473684
C1R	FOXA1	0.341211215220879	0.171052631578947
DHCR24	BASP1	-0.818954706245762	0.00146198830409357
AMD1	BASP1	-0.900710004062518	0
TM7SF2	BASP1	-0.513000966946685	0.0497076023391813
STEAP1	BASP1	-0.374512941895621	0.135964912280702
SORD	BASP1	-0.539069639108921	0.0394736842105263
TSPAN8	BASP1	-0.787234786686888	0.0043859649122807
HIST2H2BE	BASP1	-0.387037361663901	0.125730994152047
C1R	BASP1	0.532117858076592	0.0394736842105263
FOXA1	BASP1	-0.625485237681175	0.0204678362573099
DHCR24	HOXB13	-0.664561467921645	0.0160818713450292
AMD1	HOXB13	-0.403024580829102	0.118421052631579
TM7SF2	HOXB13	-0.492750360205409	0.0570175438596491
STEAP1	HOXB13	-0.44981565752372	0.0833333333333333
SORD	HOXB13	-0.291805792084656	0.22953216374269
TSPAN8	HOXB13	-0.404706766009746	0.118421052631579
