GeneA	GeneB	Zscore	Pvalue
DHCR24	PTPRN2	-0.618506135247067	0.094047619047619
DHCR24	TSPAN8	-0.683763733032468	0.0690476190476191
PTPRN2	TSPAN8	-0.518832742190026	0.15952380952381
DHCR24	STEAP1	-0.506043442209198	0.166666666666667
PTPRN2	STEAP1	-0.155079838589674	0.658333333333333
TSPAN8	STEAP1	-0.466464668048176	0.195238095238095
DHCR24	FAAH	-0.689686302598327	0.0690476190476191
PTPRN2	FAAH	-0.559739552584795	0.130952380952381
TSPAN8	FAAH	-0.581576234629686	0.110714285714286
STEAP1	FAAH	-0.52323086339521	0.157142857142857
DHCR24	HIST2H2BE	-0.658068770508215	0.075
PTPRN2	HIST2H2BE	-0.518671529264177	0.15952380952381
TSPAN8	HIST2H2BE	-0.485933933433867	0.177380952380952
STEAP1	HIST2H2BE	-0.198374659422617	0.563095238095238
FAAH	HIST2H2BE	-0.43279787825252	0.219047619047619
DHCR24	SORD	-0.584292186091744	0.10952380952381
PTPRN2	SORD	-0.398119056990179	0.253571428571429
TSPAN8	SORD	-0.369085929254684	0.289285714285714
STEAP1	SORD	-0.284796548117926	0.417857142857143
FAAH	SORD	-0.568660704563023	0.120238095238095
HIST2H2BE	SORD	-0.585407558713493	0.10952380952381
DHCR24	C1S	0.499811772087531	0.169047619047619
PTPRN2	C1S	0.637230352514669	0.0845238095238095
TSPAN8	C1S	0.69419922633004	0.0678571428571429
STEAP1	C1S	0.461990653650302	0.197619047619048
FAAH	C1S	0.294597403185263	0.401190476190476
HIST2H2BE	C1S	0.393285319889637	0.261904761904762
SORD	C1S	0.351080756345666	0.313095238095238
DHCR24	NEDD4L	-0.668006705482533	0.0726190476190476
PTPRN2	NEDD4L	-0.398165546365872	0.252380952380952
TSPAN8	NEDD4L	-0.459047887663636	0.197619047619048
STEAP1	NEDD4L	-0.553223726701625	0.132142857142857
FAAH	NEDD4L	-0.170077029603297	0.633333333333333
HIST2H2BE	NEDD4L	-0.243712183846521	0.478571428571429
SORD	NEDD4L	-0.240981405467466	0.483333333333333
C1S	NEDD4L	0.721215037544367	0.0595238095238095
DHCR24	HOXB13	-0.664561467921645	0.0738095238095238
PTPRN2	HOXB13	-1.03917230166503	0.00714285714285714
TSPAN8	HOXB13	-0.404706766009746	0.242857142857143
STEAP1	HOXB13	-0.44981565752372	0.2
