GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.115497076023392
CAV1	GAS1	1.00159498050675	0.00146198830409357
GJA1	GAS1	1.10604441378625	0
CAV1	FILIP1L	0.0360353370529898	0.891812865497076
GJA1	FILIP1L	0.274970636431974	0.327485380116959
GAS1	FILIP1L	0.484535052373981	0.10233918128655
CAV1	PCP4	0.387913889015828	0.173976608187135
GJA1	PCP4	0.238457317583806	0.394736842105263
GAS1	PCP4	0.92304376863516	0.00146198830409357
FILIP1L	PCP4	0.24794744985912	0.37719298245614
CAV1	ACTG2	0.348163238739534	0.228070175438596
GJA1	ACTG2	0.444786979533904	0.116959064327485
GAS1	ACTG2	0.877461885118623	0.00292397660818713
FILIP1L	ACTG2	-0.0947342513092492	0.728070175438597
PCP4	ACTG2	0.574861661494146	0.0614035087719298
CAV1	GSTP1	0.755112763158829	0.0116959064327485
GJA1	GSTP1	0.496544014476988	0.100877192982456
GAS1	GSTP1	0.45055845707941	0.114035087719298
FILIP1L	GSTP1	0.670745435733322	0.0307017543859649
PCP4	GSTP1	0.82316964976024	0.0043859649122807
ACTG2	GSTP1	0.671599506996417	0.0292397660818713
CAV1	EDNRA	0.141269881846172	0.608187134502924
GJA1	EDNRA	-0.00793618999696418	0.980994152046784
GAS1	EDNRA	0.908019147963965	0.00146198830409357
FILIP1L	EDNRA	0.0152987236999977	0.953216374269006
PCP4	EDNRA	0.224256498052298	0.440058479532164
ACTG2	EDNRA	0.294103065443562	0.305555555555556
GSTP1	EDNRA	0.448887228260398	0.115497076023392
CAV1	MYLK	0.382274752772156	0.179824561403509
GJA1	MYLK	0.108098085209454	0.694444444444444
GAS1	MYLK	1.16214595763178	0
FILIP1L	MYLK	0.166128830083597	0.551169590643275
PCP4	MYLK	0.406333699789673	0.149122807017544
ACTG2	MYLK	0.310772169875191	0.279239766081871
GSTP1	MYLK	0.854746304055682	0.00292397660818713
EDNRA	MYLK	0.131380375489347	0.631578947368421
CAV1	ID3	0.543933673172617	0.0774853801169591
GJA1	ID3	0.486208652062949	0.10233918128655
GAS1	ID3	0.210732527139131	0.464912280701754
FILIP1L	ID3	0.469379451563392	0.109649122807018
PCP4	ID3	0.712068156980738	0.0160818713450292
