Gene	Hit	Module1	Module2	Class
CAV1	FALSE	TRUE	TRUE	TRUE_TRUE
GJA1	FALSE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	TRUE	TRUE	TRUE_TRUE
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
ACTG2	TRUE	TRUE	TRUE	TRUE_TRUE
GSTP1	FALSE	TRUE	TRUE	TRUE_TRUE
EDNRA	TRUE	TRUE	FALSE	TRUE_FALSE
MYLK	TRUE	TRUE	TRUE	TRUE_TRUE
ID3	FALSE	TRUE	TRUE	TRUE_TRUE
TPM2	FALSE	TRUE	TRUE	TRUE_TRUE
FHL1	FALSE	TRUE	FALSE	TRUE_FALSE
FERMT2	FALSE	TRUE	FALSE	TRUE_FALSE
MYH11	TRUE	TRUE	FALSE	TRUE_FALSE
FLNA	FALSE	FALSE	TRUE	FALSE_TRUE
KCNMB1	TRUE	FALSE	TRUE	FALSE_TRUE
CNN1	FALSE	FALSE	TRUE	FALSE_TRUE
COX7A1	FALSE	FALSE	TRUE	FALSE_TRUE
PPP1R12B	TRUE	FALSE	TRUE	FALSE_TRUE
