Gene	Hit	Module1	Module2	Class
GSTP1	FALSE	TRUE	FALSE	TRUE_FALSE
CAV1	FALSE	TRUE	TRUE	TRUE_TRUE
GJA1	FALSE	TRUE	TRUE	TRUE_TRUE
GAS1	FALSE	TRUE	TRUE	TRUE_TRUE
PCP4	FALSE	TRUE	TRUE	TRUE_TRUE
MYLK	TRUE	TRUE	TRUE	TRUE_TRUE
ACTG2	TRUE	TRUE	FALSE	TRUE_FALSE
KCNMB1	FALSE	TRUE	FALSE	TRUE_FALSE
FHL1	FALSE	TRUE	FALSE	TRUE_FALSE
COX7A1	FALSE	TRUE	FALSE	TRUE_FALSE
EDNRA	FALSE	TRUE	FALSE	TRUE_FALSE
TPM2	TRUE	TRUE	TRUE	TRUE_TRUE
FILIP1L	FALSE	FALSE	TRUE	FALSE_TRUE
COL6A2	FALSE	FALSE	TRUE	FALSE_TRUE
MYH11	TRUE	FALSE	TRUE	FALSE_TRUE
LMOD1	TRUE	FALSE	TRUE	FALSE_TRUE
CNN1	FALSE	FALSE	TRUE	FALSE_TRUE
FLNC	FALSE	FALSE	TRUE	FALSE_TRUE
CRYAB	FALSE	FALSE	TRUE	FALSE_TRUE
HPN	FALSE	FALSE	TRUE	FALSE_TRUE
