GeneA	GeneB	Zscore	Pvalue
GSTP1	CAV1	0.755112763158829	0
GSTP1	GJA1	0.496544014476988	0.05
CAV1	GJA1	0.445690173145526	0.0697368421052632
GSTP1	GAS1	0.45055845707941	0.0671052631578947
CAV1	GAS1	1.00159498050675	0
GJA1	GAS1	1.10604441378625	0
GSTP1	PCP4	0.82316964976024	0
CAV1	PCP4	0.387913889015828	0.131578947368421
GJA1	PCP4	0.238457317583806	0.347368421052632
GAS1	PCP4	0.92304376863516	0
GSTP1	MYLK	0.854746304055682	0
CAV1	MYLK	0.382274752772156	0.140789473684211
GJA1	MYLK	0.108098085209454	0.660526315789474
GAS1	MYLK	1.16214595763178	0
PCP4	MYLK	0.406333699789673	0.115789473684211
GSTP1	ACTG2	0.671599506996417	0.00263157894736842
CAV1	ACTG2	0.348163238739534	0.176315789473684
GJA1	ACTG2	0.444786979533904	0.0710526315789474
GAS1	ACTG2	0.877461885118623	0
PCP4	ACTG2	0.574861661494146	0.0210526315789474
MYLK	ACTG2	0.310772169875191	0.225
GSTP1	KCNMB1	0.27326947579898	0.282894736842105
CAV1	KCNMB1	-0.0877324638863963	0.727631578947368
GJA1	KCNMB1	0.121675253232621	0.622368421052632
GAS1	KCNMB1	0.753889377274738	0
PCP4	KCNMB1	0.160132207316538	0.519736842105263
MYLK	KCNMB1	0.168016537773747	0.509210526315789
ACTG2	KCNMB1	0.168215344379674	0.509210526315789
GSTP1	FHL1	0.510798067894395	0.0407894736842105
CAV1	FHL1	-0.0318138655135191	0.886842105263158
GJA1	FHL1	0.16181857429362	0.517105263157895
GAS1	FHL1	0.792594059736749	0
PCP4	FHL1	0.290353720745558	0.256578947368421
MYLK	FHL1	0.0571923049082803	0.811842105263158
ACTG2	FHL1	0.155449796126604	0.54078947368421
KCNMB1	FHL1	-0.137296164259969	0.58421052631579
GSTP1	COX7A1	0.76336189513968	0
CAV1	COX7A1	0.308020067379364	0.228947368421053
GJA1	COX7A1	0.237931609860916	0.347368421052632
GAS1	COX7A1	0.84172028244125	0
PCP4	COX7A1	0.38821836579886	0.131578947368421
MYLK	COX7A1	0.12377126771005	0.615789473684211
ACTG2	COX7A1	0.102969323782937	0.672368421052632
KCNMB1	COX7A1	0.189134856201512	0.460526315789474
FHL1	COX7A1	0.180932759444627	0.482894736842105
GSTP1	EDNRA	0.448887228260398	0.0697368421052632
CAV1	EDNRA	0.141269881846172	0.577631578947368
GJA1	EDNRA	-0.00793618999696418	0.975
GAS1	EDNRA	0.908019147963965	0
PCP4	EDNRA	0.224256498052298	0.380263157894737
MYLK	EDNRA	0.131380375489347	0.593421052631579
ACTG2	EDNRA	0.294103065443562	0.244736842105263
KCNMB1	EDNRA	-0.12213706496673	0.622368421052632
FHL1	EDNRA	0.117071287842974	0.638157894736842
COX7A1	EDNRA	0.0213518191498075	0.923684210526316
GSTP1	TPM2	0.643709718630555	0.00263157894736842
CAV1	TPM2	0.399675597208219	0.119736842105263
GJA1	TPM2	0.227709926991111	0.367105263157895
GAS1	TPM2	1.07882628361791	0
PCP4	TPM2	0.531046902061787	0.0355263157894737
MYLK	TPM2	0.284534365866725	0.257894736842105
ACTG2	TPM2	0.158165175368923	0.528947368421053
KCNMB1	TPM2	0.0522579070119404	0.825
FHL1	TPM2	-0.126148308681523	0.607894736842105
COX7A1	TPM2	0.0389550161934453	0.869736842105263
EDNRA	TPM2	0.148043522671248	0.561842105263158
GSTP1	FILIP1L	0.670745435733322	0.00263157894736842
CAV1	FILIP1L	0.0360353370529898	0.877631578947368
GJA1	FILIP1L	0.274970636431974	0.278947368421053
GAS1	FILIP1L	0.484535052373981	0.0565789473684211
PCP4	FILIP1L	0.24794744985912	0.331578947368421
MYLK	FILIP1L	0.166128830083597	0.510526315789474
ACTG2	FILIP1L	-0.0947342513092492	0.693421052631579
KCNMB1	FILIP1L	-0.031872277971347	0.886842105263158
FHL1	FILIP1L	0.0390366578802387	0.869736842105263
COX7A1	FILIP1L	0.222384951610681	0.388157894736842
EDNRA	FILIP1L	0.0152987236999977	0.953947368421053
TPM2	FILIP1L	0.0518395054585916	0.826315789473684
GSTP1	COL6A2	0.482849851802576	0.0565789473684211
CAV1	COL6A2	0.165088749064004	0.511842105263158
GJA1	COL6A2	0.160914125926299	0.518421052631579
GAS1	COL6A2	0.643925178514424	0.00263157894736842
PCP4	COL6A2	0.344531577181541	0.182894736842105
