"","pathway_name","pathway_size","p_value","q_value","size","num_gene_in_set","module_num","module_index","density1","density2","mean_diff","sd_diff","genes_in_path","genes_in_module"
"1","Reactome Smooth Muscle Contraction","25","4.31e-05","0.00194","20","5","2","H1,H5","0.76//0.86//0.59//0.28//0.43//0.69","0.17//0.43//0.21//0.26//0.34//0.19","0.34","0.23","LMOD1,MYH11,MYLK,TPM2,ACTG2","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,COL6A2,MYH11,LMOD1,CNN1,FLNC,CRYAB,HPN"
"2","Reactome Muscle contraction","48","4.31e-05","0.00194","20","5","2","H1,H5","0.76//0.86//0.59//0.28//0.43//0.69","0.17//0.43//0.21//0.26//0.34//0.19","0.34","0.23","LMOD1,MYH11,MYLK,TPM2,ACTG2","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,COL6A2,MYH11,LMOD1,CNN1,FLNC,CRYAB,HPN"
"3","KEGG Vascular smooth muscle contraction","115","8.08e-05","0.00242","19","6","2","H3,H4","0.77//0.9//0.57//0.34//0.61//0.67","0.15//0.52//0.17//0.27//0.44//0.16","0.36","0.21","EDNRA,MYLK,MYH11,PPP1R12B,KCNMB1,ACTG2","CAV1,GJA1,GAS1,FILIP1L,PCP4,ACTG2,GSTP1,EDNRA,MYLK,ID3,TPM2,FHL1,FERMT2,MYH11,FLNA,KCNMB1,CNN1,COX7A1,PPP1R12B"
"4","KEGG Steroid biosynthesis","17","0.0114","0.103","15","2","2","L1,L2","0.048//0.067//0.067//0.095//0.3//0.14","0.63//0.73//0.27//0.11//0.45//0.38","-0.31","0.26","DHCR24,TM7SF2","DHCR24,AMD1,TM7SF2,STEAP1,SORD,TSPAN8,HIST2H2BE,C1R,FOXA1,BASP1,HOXB13,NEFH,C1S,TSPAN1,EPCAM"
"5","Reactome Cholesterol biosynthesis","24","0.0114","0.103","15","2","2","L1,L2","0.048//0.067//0.067//0.095//0.3//0.14","0.63//0.73//0.27//0.11//0.45//0.38","-0.31","0.26","DHCR24,TM7SF2","DHCR24,AMD1,TM7SF2,STEAP1,SORD,TSPAN8,HIST2H2BE,C1R,FOXA1,BASP1,HOXB13,NEFH,C1S,TSPAN1,EPCAM"
"6","KEGG Focal adhesion","201","0.0136","0.103","21","5","2","H4,H5","0.73//0.82//0.5//0.32//0.43//0.65","0.15//0.4//0.16//0.26//0.35//0.2","0.32","0.21","FLNC,FLNA,MYLK,CAV1,COL6A2","PCP4,GJA1,FILIP1L,GAS1,FLNA,ACTG2,KCNMB1,GSTP1,MYLK,CAV1,CNN1,COX7A1,ID3,TPM2,PPP1R12B,COL6A2,MYH11,LMOD1,FLNC,CRYAB,HPN"
"7","BioCarta Rac 1 cell motility signaling pathway","23","0.0148","0.103","17","2","2","H1,H4","0.74//0.89//0.62//0.36//0.62//0.65","0.17//0.48//0.15//0.28//0.41//0.13","0.38","0.19","PPP1R12B,MYLK","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,FLNA,CNN1,ID3,PPP1R12B"
"8","KEGG Cardiac muscle contraction","80","0.0148","0.103","17","2","2","H1,H4","0.74//0.89//0.62//0.36//0.62//0.65","0.17//0.48//0.15//0.28//0.41//0.13","0.38","0.19","TPM2,COX7A1","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,FLNA,CNN1,ID3,PPP1R12B"
"9","BioCarta PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase","31","0.0148","0.103","17","2","2","H1,H4","0.74//0.89//0.62//0.36//0.62//0.65","0.17//0.48//0.15//0.28//0.41//0.13","0.38","0.19","PPP1R12B,MYLK","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,FLNA,CNN1,ID3,PPP1R12B"
"10","BioCarta Rho cell motility signaling pathway","32","0.0148","0.103","17","2","2","H1,H4","0.74//0.89//0.62//0.36//0.62//0.65","0.17//0.48//0.15//0.28//0.41//0.13","0.38","0.19","PPP1R12B,MYLK","GSTP1,CAV1,GJA1,GAS1,PCP4,MYLK,ACTG2,KCNMB1,FHL1,COX7A1,EDNRA,TPM2,FILIP1L,FLNA,CNN1,ID3,PPP1R12B"
