Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	neuron development (GO:0048666)	4/145	0.0021622081866820822	1.0	0	0	7.35632183908046	45.1429904981228	MAPK10;BLOC1S6;NEDD4;CLN5
GO_Biological_Process_2018	signal peptide processing (GO:0006465)	2/26	0.0042541608079847745	1.0	0	0	20.512820512820515	111.9970822835618	PCSK5;CLN5
GO_Biological_Process_2018	protein K11-linked ubiquitination (GO:0070979)	2/29	0.0052759897537052345	1.0	0	0	18.39080459770115	96.45221124020856	UBE2D4;CDC27
GO_Biological_Process_2018	protein localization to lysosome (GO:0061462)	2/31	0.0060135443204343405	1.0	0	0	17.204301075268816	87.97833921865904	SZT2;NEDD4
GO_Biological_Process_2018	peptide metabolic process (GO:0006518)	3/105	0.007220867243148756	1.0	0	0	7.6190476190476195	37.567849268657056	DMD;PCSK5;CLN5
GO_Biological_Process_2018	cellular macromolecular complex assembly (GO:0034622)	2/35	0.007620741663681861	1.0	0	0	15.23809523809524	74.31438602404741	PDE4DIP;DMD
GO_Biological_Process_2018	macromolecule catabolic process (GO:0009057)	2/35	0.007620741663681861	1.0	0	0	15.23809523809524	74.31438602404741	NEDD4;CLN5
GO_Biological_Process_2018	regulation of sodium ion transmembrane transporter activity (GO:2000649)	2/38	0.008939034814588506	1.0	0	0	14.035087719298243	66.20810748349594	NEDD4;DMD
GO_Biological_Process_2018	protein K63-linked ubiquitination (GO:0070534)	2/38	0.008939034814588506	1.0	0	0	14.035087719298243	66.20810748349594	UBE2D4;NEDD4
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	5/342	0.009232818393871562	1.0	0	0	3.8986354775828462	18.265071834810666	BTBD1;USP33;NEDD4;CDC27;FBXO15
GO_Biological_Process_2018	regulation of protein localization (GO:0032880)	2/42	0.010842993104636909	1.0	0	0	12.698412698412698	57.4506184688242	WDPCP;TRIM22
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	4/238	0.01229750891414023	1.0	0	0	4.481792717086835	19.712531381157927	BTBD1;NEDD4;CDC27;FBXO15
GO_Biological_Process_2018	amide biosynthetic process (GO:0043604)	2/45	0.012377766878122393	1.0	0	0	11.851851851851851	52.051595963355645	DMD;PCSK5
GO_Biological_Process_2018	cilium movement (GO:0003341)	2/50	0.015132735762129947	1.0	0	0	10.666666666666668	44.70287947164271	DNAH11;CFAP54
GO_Biological_Process_2018	neurogenesis (GO:0022008)	2/51	0.015712571561609382	1.0	0	0	10.45751633986928	43.43314144458036	BTBD1;CLN5
GO_Biological_Process_2018	protein polyubiquitination (GO:0000209)	4/284	0.0220320426634195	1.0	0	0	3.755868544600939	14.329605260349286	UBE2D4;NEDD4;CDC27;FBXO15
GO_Biological_Process_2018	mRNA 5'-splice site recognition (GO:0000395)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	PSIP1
GO_Biological_Process_2018	cerebral cortex cell migration (GO:0021795)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	EFHC1
GO_Biological_Process_2018	oxygen homeostasis (GO:0032364)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	SOD2
GO_Biological_Process_2018	corticosteroid receptor signaling pathway (GO:0031958)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	NEDD4
GO_Biological_Process_2018	regulation of glial cell apoptotic process (GO:0034350)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	PRKCH
GO_Biological_Process_2018	telencephalon cell migration (GO:0022029)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	EFHC1
GO_Biological_Process_2018	negative regulation of systemic arterial blood pressure (GO:0003085)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	SOD2
GO_Biological_Process_2018	plasma membrane fusion (GO:0045026)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	ERVW-1
GO_Biological_Process_2018	cardiolipin acyl-chain remodeling (GO:0035965)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	LCLAT1
GO_Biological_Process_2018	positive regulation of sodium ion transmembrane transport (GO:1902307)	1/6	0.022292714638201438	1.0	0	0	44.444444444444436	169.0442378547524	DMD
