Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	3/137	0.014832114496432309	1.0	0	0	5.8394160583941614	24.589550660636124	UBE2D4;NEDD4;CDC27
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	2/68	0.02695150041056095	1.0	0	0	7.843137254901961	28.34287301424003	MAPK10;PTPRZ1
KEGG_2019_Human	Synthesis and degradation of ketone bodies	1/10	0.0368814272661001	1.0	0	0	26.66666666666667	88.00125815383244	ACAT1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	2/99	0.05330779329590673	1.0	0	0	5.387205387205388	15.793523193620233	MAPK10;CDC27
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	2/100	0.05426688973122658	1.0	0	0	5.333333333333334	15.540485352341154	MAPK10;PRKCH
KEGG_2019_Human	Sphingolipid signaling pathway	2/119	0.07359058427105325	1.0	0	0	4.481792717086835	11.694064728430286	MAPK10;SPTLC3
KEGG_2019_Human	Cell cycle	2/124	0.07899601083470748	1.0	0	0	4.301075268817204	10.917668488401144	ORC4;CDC27
KEGG_2019_Human	Terpenoid backbone biosynthesis	1/22	0.07937110842625347	1.0	0	0	12.121212121212125	30.71055576572027	ACAT1
KEGG_2019_Human	FoxO signaling pathway	2/132	0.08789329475963589	1.0	0	0	4.040404040404041	9.824774787065332	MAPK10;SOD2
KEGG_2019_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/25	0.08970120926186356	1.0	0	0	10.666666666666668	25.72022430749932	PIGN
KEGG_2019_Human	Butanoate metabolism	1/28	0.09991692846204743	1.0	0	0	9.523809523809524	21.937296701036196	ACAT1
KEGG_2019_Human	Retrograde endocannabinoid signaling	2/148	0.10651564559436692	1.0	0	0	3.603603603603603	8.070138369848907	MAPK10;GABRP
KEGG_2019_Human	Glyoxylate and dicarboxylate metabolism	1/30	0.10666448008193466	1.0	0	0	8.888888888888891	19.893929522652886	ACAT1
KEGG_2019_Human	Propanoate metabolism	1/32	0.11336211783302473	1.0	0	0	8.333333333333334	18.143066678400782	ACAT1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	2/165	0.12733753423541608	1.0	0	0	3.2323232323232323	6.661540099265492	MAPK10;UBE2D4
KEGG_2019_Human	Tight junction	2/170	0.13363527115029974	1.0	0	0	3.1372549019607843	6.314167990923688	MAPK10;NEDD4
KEGG_2019_Human	Pyruvate metabolism	1/39	0.13641601320601912	1.0	0	0	6.837606837606838	13.620828318580346	ACAT1
KEGG_2019_Human	Nicotine addiction	1/40	0.13966077554387374	1.0	0	0	6.666666666666668	13.12359218996336	GABRP
KEGG_2019_Human	Tryptophan metabolism	1/42	0.14611425534137773	1.0	0	0	6.349206349206349	12.211850111056124	ACAT1
KEGG_2019_Human	Fatty acid degradation	1/44	0.15251996778810678	1.0	0	0	6.060606060606061	11.39672578903411	ACAT1
KEGG_2019_Human	Type II diabetes mellitus	1/46	0.15887826166448996	1.0	0	0	5.797101449275362	10.664446492349937	MAPK10
KEGG_2019_Human	Sphingolipid metabolism	1/47	0.16203973495778626	1.0	0	0	5.673758865248227	10.325751468415131	SPTLC3
KEGG_2019_Human	Huntington disease	2/193	0.16343603223350842	1.0	0	0	2.7633851468048363	5.005412380963751	DNAH11;SOD2
KEGG_2019_Human	Valine, leucine and isoleucine degradation	1/48	0.16518948328727814	1.0	0	0	5.5555555555555545	10.003678224501696	ACAT1
KEGG_2019_Human	Epstein-Barr virus infection	2/201	0.17406905329351813	1.0	0	0	2.6533996683250414	4.638947132301675	MAPK10;NEDD4
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	2/219	0.1983744724013056	1.0	0	0	2.43531202435312	3.9393577101780086	MAPK10;CDC27
KEGG_2019_Human	Lysine degradation	1/59	0.1990750252869324	1.0	0	0	4.519774011299434	7.295247520074563	ACAT1
KEGG_2019_Human	Viral myocarditis	1/59	0.1990750252869324	1.0	0	0	4.519774011299434	7.295247520074563	DMD
