feature	Type	p10	p11	p12	p14	p15	p16	p18	p22	p23	p24	p32	p34	p35	p36	p37	p38	p4	p40	p41	p46	p48	p5	p8	p9
C0_accarnitines	met	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10315241228070199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0497570134747073
C2_accarnitines	met	0.007356112054329371	0.0384537097833224	0.0117384248210024	0.011923182441701	0.0151036269430052	0.0123172057624354	0.0219053335619962	0.0177766448427605	0.0397596856725146	0.0182965787304204	0.012563822027717	0.0176449631449631	0.0144233261339093	0.0200410022779043	0.0	0.0125415366025576	0.0188960481099656	0.020212244207678	0.015262938230383999	0.0125096809883828	0.009676616915422891	0.0157567567567568	0.010706	0.0186149768058317
C3_accarnitines	met	0.0	0.0	0.0	0.0	0.00088844864370619	0.00111647186735526	0.00168152975475905	0.00102393474294301	0.00217927631578947	0.0	0.0	0.0	0.0	0.0	0.0	0.00082720773336019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099514026949415
C3DC_C4OH_accarnitines	met	0.0	0.0	0.00045536992840095	0.0011632373113854599	0.0	0.0	0.0	0.0	0.00106542397660819	0.0	0.0	0.0	0.0	0.0	0.0	0.00048031416775753	0.0	0.00071706409605953	0.0	0.00078185506177393	0.00039800995024876	0.0	0.0	0.00031220086886091003
C5DC_C6OH_accarnitines	met	0.0010348047538200301	0.00147898883782009	0.00043007159904535	0.0015267489711934198	0.00048460835111247	0.00079233487360696	0.0009543817527010801	0.00099549211119459	0.00135599415204678	0.00109233305853256	0.00085047410649161	0.00110687960687961	0.0009157667386609099	0.00253530751708428	0.00579234972677596	0.00040026180646461	0.00098654066437572	0.0012548621681041801	0.00088480801335559	0.0017103079476304599	0.00059701492537313	0.00121756756756757	0.000848	0.00050732641189898
C5MDC_accarnitines	met	0.0013047538200339599	0.0048719632304661895	0.0013661097852028599	0.00421673525377229	0.00137305699481865	0.00187279151943463	0.0024995712570742602	0.00153590211441451	0.00285727339181287	0.00294929925803792	0.00208752735229759	0.00351597051597052	0.00194600431965443	0.00615717539863326	0.0170874316939891	0.0015209948645655	0.0018592497136311601	0.00242009132420091	0.0023889816360601	0.00283422459893048	0.00151741293532338	0.0039391891891891895	0.0019079999999999998	0.00107319048670937
C6_C4_1DC_accarnitines	met	0.00112478777589134	0.00408896913985555	0.0011637231503579901	0.00363511659807956	0.00126536625012699	0.00151263930415874	0.0022268907563025198	0.00127991842867876	0.00237298976608187	0.0025123660346249	0.00193289569657185	0.00306019656019656	0.00190784737221022	0.00519134396355353	0.0139016393442623	0.00136089014197966	0.0017454180985108801	0.00201674277016743	0.0019465776293823	0.00219896736123917	0.00126865671641791	0.00350945945945946	0.00155466666666667	0.00093660260658273
C6_1_accarnitines	met	0.007153650254668929	0.0171388706500328	0.00556563245823389	0.0167942386831276	0.00489992888347049	0.00648273987496602	0.00940747727662494	0.00728131372759472	0.0121070906432749	0.0122341302555647	0.00850474106491612	0.0197936117936118	0.00980633549316055	0.0185922551252847	0.0556065573770492	0.0107803846541134	0.00876503436426117	0.00927701674277017	0.0107061769616027	0.0124608150470219	0.00701492537313433	0.0176189189189189	0.008162	0.00698549444076283
C7DC_accarnitines	met	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015484140233722901	0.0	0.0	0.0	0.0	0.0
C10_accarnitines	met	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019707679846844898
