Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	23/229	8.924360092948456e-14	4.554100955431598e-10	0	0	7.385050089904957	221.90160336728763	ITGB1;APP;SPARC;VWF;COL14A1;LAMB2;ELN;MMP2;ITGA1;BGN;HTRA1;NPNT;HSPG2;FBLN5;VCAN;COL4A2;ITGA11;COL6A1;TIMP2;ITGA8;COL8A1;A2M;GAS6
GO_Biological_Process_2018	platelet aggregation (GO:0070527)	11/33	3.57063149387735e-13	9.110466256628057e-10	0	0	24.509803921568626	702.4721504836468	PDGFRA;CSRP1;ILK;HBB;HSPB1;FLNA;MYH9;TLN1;GAS6;MYL9;VCL
GO_Biological_Process_2018	homotypic cell-cell adhesion (GO:0034109)	11/38	2.090556641561889e-12	3.556036847296772e-09	0	0	21.284829721362236	572.4254997041618	PDGFRA;CSRP1;ILK;HBB;HSPB1;FLNA;MYH9;TLN1;GAS6;MYL9;VCL
GO_Biological_Process_2018	platelet degranulation (GO:0002576)	15/124	1.4531751219267392e-10	1.8538881617980367e-07	0	0	8.894686907020875	201.4833375376513	APP;SPARC;VWF;ACTN1;PCDH7;ACTN4;CLU;SOD1;ISLR;SERPING1;FLNA;TLN1;A2M;GAS6;VCL
GO_Biological_Process_2018	muscle contraction (GO:0006936)	15/137	6.040871332247157e-10	6.165313281691447e-07	0	0	8.050665521683127	170.893913708344	ROCK1;TPM2;TPM1;ITGA1;LMOD1;SORBS1;MYLK;ACTA2;GJA1;CALD1;MYH11;TLN1;MYL9;CRYAB;VCL
GO_Biological_Process_2018	regulated exocytosis (GO:0045055)	15/148	1.7901216054251938e-09	1.5224984254141275e-06	0	0	7.4523052464228945	150.09674793876366	APP;SPARC;VWF;ACTN1;PCDH7;ACTN4;CLU;SOD1;ISLR;SERPING1;FLNA;TLN1;A2M;GAS6;VCL
GO_Biological_Process_2018	cell-matrix adhesion (GO:0007160)	12/90	3.355568891066891e-09	2.4462097215877638e-06	0	0	9.803921568627453	191.3004364289284	ITGB1;ECM2;CTTN;ACTN1;ITGA1;ITGA11;ITGA8;ILK;SORBS1;NPNT;VCL;FBLN5
GO_Biological_Process_2018	cellular protein metabolic process (GO:0044267)	25/484	1.282362434957013e-08	8.179869381982048e-06	0	0	3.7980068060281966	69.01729124192582	APP;FSTL1;PRSS23;LTBP1;CYR61;IGFBP7;IGFBP6;LMCD1;JAG1;GSN;IGFBP5;LAMB2;IGFBP3;MMP2;IGFBP2;RPL35A;HSPG2;KTN1;VCAN;SPARCL1;MSRB3;CPE;GAS6;MFGE8;RPS23
GO_Biological_Process_2018	negative regulation of smooth muscle cell proliferation (GO:0048662)	7/27	5.6054511164544046e-08	3.1782907830296473e-05	0	0	19.06318082788671	318.2968094829242	CNN1;MEF2C;IGFBP5;IGFBP3;TPM1;OGN;PRKG1
GO_Biological_Process_2018	neuron projection morphogenesis (GO:0048812)	13/163	3.7548751910686605e-07	0.00019161128100023378	0	0	5.864308913749549	86.76268849542835	MEF2A;APP;NCKAP1;ECM2;ROCK1;OMD;PRELP;ANK3;ALCAM;CTTN;MAP1B;OGN;FMOD
