Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
OMIM_Disease	blood	4/36	0.0013995103571758866	0.1259559321458298	0	0	8.169934640522875	53.68981085302527	RGS5;SLC14A1;CD55;AQP1
OMIM_Disease	macular degeneration	3/18	0.0017450224885294321	0.07852601198382445	0	0	12.254901960784313	77.83073328433055	HTRA1;HMCN1;FBLN5
OMIM_Disease	myopathy	4/44	0.002962716383514205	0.08888149150542614	0	0	6.6844919786096275	38.9147642669757	TPM2;FHL1;COL6A1;CRYAB
OMIM_Disease	alzheimer disease	3/26	0.005131974899755907	0.11546943524450792	0	0	8.484162895927602	44.7307527418186	APP;APBB2;A2M
OMIM_Disease	anemia	4/61	0.009519000335164543	0.1713420060329618	0	0	4.821600771456124	22.44197416828791	HBB;RPL35A;HBA2;HBA1
OMIM_Disease	cardiomyopathy, dilated	3/33	0.010043658740843656	0.15065488111265485	0	0	6.6844919786096275	30.75410303932754	PLN;TPM1;VCL
OMIM_Disease	cardiomyopathy	3/42	0.019329898502524718	0.2485272664610321	0	0	5.2521008403361344	20.725326872638654	PLN;TPM1;VCL
OMIM_Disease	aneurysm	2/18	0.024427820184259687	0.27481297707292146	0	0	8.169934640522875	30.32706392727768	ACTA2;MYH11
OMIM_Disease	hypertension	2/29	0.05882299169862056	0.5882299169862056	0	0	5.0709939148073016	14.367253981853178	PTGIS;ADD1
OMIM_Disease	pancreatic cancer	1/11	0.1398634329517421	1.0	0	0	6.6844919786096275	13.148989380870011	PALLD
OMIM_Disease	dementia	1/12	0.15156771036528016	1.0	0	0	6.127450980392156	11.560801597876258	APP
OMIM_Disease	anomalies	1/13	0.1631133000996947	1.0	0	0	5.656108597285066	10.256279564503453	FOXC1
OMIM_Disease	corneal dystrophy	1/14	0.17450234575219342	1.0	0	0	5.2521008403361344	9.169207430273257	ZEB1
OMIM_Disease	hypogonadism	1/15	0.185736962021256	1.0	0	0	4.901960784313727	8.252077396325646	FGFR1
OMIM_Disease	glaucoma	1/16	0.19681923528001455	1.0	0	0	4.595588235294118	7.469988781692437	FOXC1
OMIM_Disease	cardiomyopathy, hypertrophic	1/17	0.20775122366844606	1.0	0	0	4.3252595155709335	6.796773162470168	TPM1
OMIM_Disease	lateral sclerosis	1/19	0.2291724408383681	1.0	0	0	3.8699690402476783	5.701550085299294	SOD1
OMIM_Disease	leukemia	2/78	0.28677581014083325	1.0	0	0	1.885369532428356	2.354929332227962	PDGFRB;LPP
OMIM_Disease	charcot-marie-tooth disease	1/27	0.3092389169797937	1.0	0	0	2.7233115468409586	3.196190377820267	HSPB1
OMIM_Disease	muscular dystrophy	1/33	0.3638006353842425	1.0	0	0	2.2281639928698755	2.2530063867622725	COL6A1
OMIM_Disease	neuropathy	1/35	0.3810161954023504	1.0	0	0	2.100840336134454	2.0271289855906343	HSPB1
OMIM_Disease	spinocerebellar ataxia	1/37	0.3977675676481275	1.0	0	0	1.987281399046105	1.8320497718138693	SYNE1
OMIM_Disease	deafness	2/111	0.4470091141530259	1.0	0	0	1.3248542660307367	1.0667412493009387	JAG1;MYH9
OMIM_Disease	cataract	1/47	0.4749866005080773	1.0	0	0	1.5644555694618274	1.1646881802285192	CRYAB
OMIM_Disease	ataxia	1/60	0.5608088583395024	1.0	0	0	1.2254901960784317	0.7087930729027963	SYNE1
OMIM_Disease	mental retardation	1/114	0.7910146830110117	1.0	0	0	0.6449948400412797	0.15121178327775464	ATRX
