g	p	FC
ENSG00000121410	1.597529208526e-11	-1
ENSG00000148584	3.4562833700799e-15	1
ENSG00000175899	6.07863566210203e-20	-1
ENSG00000166535	0.905367195091513	-1
ENSG00000184389	0.999999830112847	1
ENSG00000128274	1.1632073606806e-10	1
ENSG00000118017	6.58104545334846e-07	-1
ENSG00000094914	6.50275067548911e-15	-1
ENSG00000081760	3.84273116575032e-18	-1
ENSG00000114771	1.66139240828217e-20	1
ENSG00000261846	1	1
ENSG00000197953	1	1
ENSG00000188984	1	1
ENSG00000204518	1	1
ENSG00000109576	1.07177829752662e-07	-1
ENSG00000158122	0.0544854041764883	1
ENSG00000103591	1.45206147347106e-05	-1
ENSG00000115977	1.31598231014864e-13	1
ENSG00000087884	0.000494304948284711	-1
ENSG00000127837	4.32834720752675e-11	-1
ENSG00000129673	0.741442197514764	-1
ENSG00000131043	1.73186004737233e-10	-1
ENSG00000205002	0.000204443585978792	-1
ENSG00000090861	1.27277491388684e-28	1
ENSG00000124608	6.40026723946076e-12	1
ENSG00000266967	1.04154795333657e-06	-1
ENSG00000157426	6.4523150161658e-14	-1
ENSG00000149313	2.12507626484543e-14	-1
ENSG00000008311	1.23454846099865e-09	-1
ENSG00000276072	9.48876366295179e-11	1
ENSG00000275700	9.48876366295179e-11	1
ENSG00000181409	2.11236194501802e-16	-1
ENSG00000183044	2.60135176297252e-27	-1
ENSG00000165029	1.23872353083278e-31	1
ENSG00000154263	2.87744843874335e-20	-1
ENSG00000144452	0.306697419178919	-1
ENSG00000179869	0.464090994309698	-1
ENSG00000107331	1.03740922084004e-25	-1
ENSG00000167972	2.62372746319973e-13	-1
ENSG00000198691	2.38786233921056e-05	-1
ENSG00000154265	2.1634503081004e-14	-1
ENSG00000154262	1.06047477228551e-05	1
ENSG00000064687	1.71494051029766e-28	-1
ENSG00000141338	0.00104942962873852	-1
ENSG00000154258	0.136863464600965	-1
ENSG00000085563	4.74217461435542e-10	-1
ENSG00000135776	1.14334639570718e-16	1
ENSG00000073734	0.89206335690943	1
ENSG00000276582	0.89206335690943	1
ENSG00000005471	0.000552164313580502	-1
ENSG00000004846	0.999999999998162	-1
ENSG00000115657	2.2658980267194e-23	1
ENSG00000131269	1.08679164642431e-05	1
ENSG00000197150	3.01521095283984e-24	-1
ENSG00000150967	1.76903148630827e-08	-1
ENSG00000103222	1.13814017221401e-11	1
ENSG00000278183	1.13814017221401e-11	1
ENSG00000124574	6.16917259773013e-25	-1
ENSG00000121270	1.02722627042782e-10	-1
ENSG00000140798	1	1
ENSG00000023839	0.010024024630007	1
ENSG00000108846	1.23872353083278e-31	1
ENSG00000125257	1.44835836925664e-13	-1
ENSG00000114770	1.89424312504091e-24	-1
ENSG00000091262	3.32676543139133e-19	-1
ENSG00000275331	3.32676543139133e-19	-1
ENSG00000006071	1.23872353083278e-31	-1
ENSG00000069431	1.14535323334947e-14	-1
ENSG00000101986	0.00456076941696199	-1
ENSG00000173208	0.999982167410153	-1
ENSG00000117528	1.23872353083278e-31	-1
ENSG00000119688	4.1506710549293e-24	-1
ENSG00000164163	1.0519591869e-16	1
ENSG00000225989	4.9913932101878e-16	1
ENSG00000204574	4.9913932101878e-16	1
ENSG00000231129	4.9913932101878e-16	1
ENSG00000236342	4.9913932101878e-16	1
ENSG00000232169	4.9913932101878e-16	1
ENSG00000206490	4.9913932101878e-16	1
ENSG00000236149	4.9913932101878e-16	1
ENSG00000033050	9.50090411300981e-15	-1
ENSG00000161204	7.01882823069266e-22	1
ENSG00000160179	2.29544322149714e-22	-1
ENSG00000118777	4.69916961417198e-18	-1
ENSG00000172350	0.234465106227491	-1
ENSG00000138075	0.997960494342236	-1
ENSG00000143921	0.999999999999772	-1
ENSG00000143994	0.142728847100587	-1
ENSG00000144827	7.16651833985019e-14	-1
ENSG00000106077	2.05665180122461e-08	1
ENSG00000100997	5.00228857832024e-20	-1
ENSG00000131969	0.999999997075501	-1
ENSG00000139826	0.0361395693143967	-1
ENSG00000248487	5.84317473320015e-11	-1
ENSG00000114786	5.04141491860035e-11	1
ENSG00000114779	3.46296632097911e-14	-1
ENSG00000168792	3.15134156030758e-23	-1
ENSG00000224552	1.63013483701212e-17	-1
ENSG00000235676	1.63013483701212e-17	-1
ENSG00000231488	1.63013483701212e-17	-1
ENSG00000236063	1.63013483701212e-17	-1
ENSG00000204427	1.63013483701212e-17	-1
ENSG00000206403	1.63013483701212e-17	-1
ENSG00000230475	1.63013483701212e-17	-1
ENSG00000183260	2.37490643626235e-05	1
ENSG00000129968	1.21061664285462e-21	-1
ENSG00000107362	1.55870462498784e-14	-1
ENSG00000136379	3.34883090394223e-08	-1
ENSG00000140526	6.87821722547137e-21	-1
ENSG00000158201	1.01553705946713e-19	1
ENSG00000100439	8.66369895750847e-16	-1
ENSG00000011198	3.1339656818121e-12	1
ENSG00000163686	1.53393145661218e-08	-1
ENSG00000127220	5.56501075821345e-16	1
ENSG00000136754	7.09329072326951e-07	1
ENSG00000138443	4.67743372173166e-14	-1
ENSG00000108798	5.71404737182282e-08	-1
ENSG00000154175	6.26346310248671e-20	-1
ENSG00000097007	5.77452230390925e-08	-1
ENSG00000143322	1.8130108742136e-10	1
ENSG00000099204	1.01120890792304e-29	-1
ENSG00000163995	9.47252772871869e-09	-1
ENSG00000173210	2.33270674727558e-26	1
ENSG00000159842	1.23872353083278e-31	1
ENSG00000276016	1.23872353083278e-31	1
ENSG00000278741	1.23872353083278e-31	1
ENSG00000174429	1	-1
ENSG00000146386	3.36717996062715e-10	-1
ENSG00000146109	4.29852688469772e-10	1
ENSG00000114626	3.67216296077231e-18	-1
ENSG00000166016	3.45557359266411e-11	1
ENSG00000060971	8.1313599735025e-09	-1
ENSG00000167315	1.89027406416273e-17	1
ENSG00000278540	7.51606245328167e-13	-1
ENSG00000275176	7.51606245328167e-13	-1
ENSG00000076555	1.24967430972024e-22	-1
ENSG00000111271	4.27490731687305e-24	1
ENSG00000240303	1.02702707150637e-17	1
ENSG00000151498	4.10988725536953e-08	-1
ENSG00000177646	2.91435870966052e-08	-1
ENSG00000115361	6.16582528166495e-10	-1
ENSG00000117054	6.92775347909723e-22	1
ENSG00000122971	3.12162085486982e-13	-1
ENSG00000196177	1.14948395064383e-18	-1
ENSG00000072778	1.23872353083278e-31	1
ENSG00000157766	3.47029100337635e-07	-1
ENSG00000072818	3.27794206249409e-06	1
ENSG00000114331	2.14053133768477e-16	-1
ENSG00000131584	9.78628808111879e-31	-1
ENSG00000075239	1.96590308188516e-16	-1
ENSG00000120437	5.08764799903377e-14	-1
ENSG00000182827	8.28213469776221e-20	1
ENSG00000181513	2.4173788979002e-16	-1
ENSG00000107897	6.30485714026742e-10	-1
ENSG00000230124	0.000188563233897288	1
ENSG00000176244	0.000698597047778118	1
ENSG00000110455	2.76130264206404e-12	-1
ENSG00000205126	0.999999999999996	1
ENSG00000102977	2.46538607578457e-08	1
ENSG00000159640	3.52352861242443e-16	-1
ENSG00000130234	6.34041916629443e-08	-1
ENSG00000167769	0.999999415292372	1
ENSG00000177076	5.10078717037151e-10	1
ENSG00000078124	0.0272464418812772	-1
ENSG00000087085	8.22656464280406e-16	-1
ENSG00000100813	1.45818058899345e-15	-1
ENSG00000144648	2.15816142037051e-11	1
ENSG00000144476	4.22273635902487e-07	1
ENSG00000129048	1.40163220777586e-09	-1
ENSG00000131473	1.89625461131092e-21	1
ENSG00000153086	1.31062144121551e-08	-1
ENSG00000122729	4.90276332411605e-19	-1
ENSG00000100412	2.665559422217e-14	1
ENSG00000184227	8.19080043497645e-13	-1
ENSG00000162390	4.84718296079149e-10	-1
ENSG00000172497	0.403400534568533	-1
ENSG00000112304	2.60608762770808e-05	-1
ENSG00000119673	3.09664565986726e-11	-1
ENSG00000177465	0.00119358506809398	-1
ENSG00000205669	0.97265337842843	-1
ENSG00000097021	0.00614531560890703	-1
ENSG00000101473	1.46875263414303e-07	-1
ENSG00000123130	2.71824040595533e-11	1
ENSG00000161533	4.91336304275888e-17	-1
ENSG00000168306	1.33983910169226e-10	-1
ENSG00000087008	0.027748938279542	-1
ENSG00000153093	0.00832051603888623	-1
ENSG00000143727	4.77249461519712e-07	1
ENSG00000134575	1.62134067918062e-14	1
ENSG00000102575	1.1852033740696e-19	-1
ENSG00000162836	1.21435232281203e-08	-1
ENSG00000014257	1.49941477646187e-06	-1
ENSG00000100312	0.0136270177766001	1
ENSG00000283539	0.0136270177766001	1
ENSG00000111644	1.89403855006629e-06	-1
ENSG00000134940	0.914887390555945	1
ENSG00000103740	3.32458274169913e-06	-1
ENSG00000130377	0.999998118963901	1
ENSG00000167107	2.6092260020703e-12	-1
ENSG00000176715	4.39001897176596e-15	-1
ENSG00000151726	6.59895245101514e-25	1
ENSG00000123983	2.46826656902197e-21	1
ENSG00000068366	1.40212661785308e-15	1
ENSG00000197142	1.27381376133885e-13	1
ENSG00000164398	0.00110111925254086	-1
ENSG00000166743	3.39235266647846e-08	-1
ENSG00000183747	0.986078753612433	-1
ENSG00000066813	0.998941488414771	-1
ENSG00000005187	7.8564435330219e-26	-1
ENSG00000215009	1	1
