"protein" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Q12805" 0.0246543309476462 22.6652607014207 11.8159571621203 1.81505694427588e-19 7.44173347153112e-17 33.1322568773469
"P08493" 0.0207659353434278 24.5979981949325 8.98550322945844 6.99274371139924e-14 1.43351246083684e-11 20.2520203017012
"P35858" -0.0175136297529472 28.5979466422532 -8.79469849945404 1.68467210670513e-13 2.30238521249701e-11 19.3738953189133
"P61769" 0.0212522232159265 24.1853251988998 8.22992887129535 2.26761590907917e-12 2.32430630680615e-10 16.7802121682057
"P00746" 0.0174009335841239 26.7014382188285 7.68730241057818 2.72238447489943e-11 2.23235526941753e-09 14.3049655883739
"P08294" 0.0174139788564826 23.1328185292086 7.32594380329455 1.40695942808533e-10 9.61422275858308e-09 12.6719436322517
"P41222" 0.017323272671532 25.2129303052627 7.18103099702344 2.70806930893275e-10 1.58615488094632e-08 12.0216352116978
"Q06033" 0.0170424387172516 28.521507987032 7.14934244299943 3.12390752206745e-10 1.60100260505957e-08 11.8798258503225
"P36222" 0.0485768788501449 19.4123217872827 7.11602097099081 3.62972170008467e-10 1.65353988559413e-08 11.730869574603
"P17936" -0.0180188620106103 25.6118387183366 -6.99256687803999 6.32094700899906e-10 2.58523813453521e-08 11.1804903211453
"Q14767" 0.0504155083832471 17.80361996709 7.02178444646661 7.56655063766402e-10 2.58523813453521e-08 11.1188286742377
"Q13477" -0.0260822427804113 20.1887522176233 -6.97780978064582 7.0895538340112e-10 2.58523813453521e-08 11.070877230767
"P01034" 0.0178999950757327 25.967554924183 6.66994331827868 2.66501906445566e-09 8.09946007050897e-08 9.75447717918724
"P39060" 0.0142034644176209 23.8872232162204 6.66158068514373 2.76566929236892e-09 8.09946007050897e-08 9.71777259033695
"P20774" 0.0176107444571678 21.0132001893938 6.44238698791927 7.27479578402948e-09 1.98844418096806e-07 8.76087045455177
"Q9Y6R7" 0.0126526815291751 26.3080161043884 6.39021781449039 9.14527277857523e-09 2.3434761495099e-07 8.53466415277677
"P02760" 0.0117788583994447 28.339540782133 5.97598070794044 5.50999923642541e-08 1.32888216878495e-06 6.76216820977069
"P49747" 0.0134751590326591 22.8626977916218 5.61914779814775 2.50122626501821e-07 5.6972376036526e-06 5.2736799559017
"P10643" 0.0103947520163943 28.0611965295759 5.43807734317366 5.31458479788612e-07 1.08948988356665e-05 4.53397315997768
"Q9UBX5" 0.0228859229732293 18.0777494717775 5.42860990511368 7.09253952568485e-07 1.32179145705945e-05 4.31878448992499
"P23142" 0.0101295719112078 26.5781114478174 5.34883460789896 7.67626853255925e-07 1.36837830363013e-05 4.17361103236163
"P61626" 0.0132166992979515 27.0342672986382 5.12543407633153 1.90460172144615e-06 3.00341040689586e-05 3.28452682654589
"A0A0B4J1Y9" -0.0225892980836401 24.2829962584684 -5.00440801436921 3.09318312700293e-06 4.69705585952297e-05 2.81106959622138
"O43866" -0.0174628570817771 24.8072889586518 -4.92195313634152 4.29072563237827e-06 6.28284824741104e-05 2.49198018853947
"P01871" -0.0176474075975586 31.8511603684396 -4.87148024645118 5.23564228057349e-06 7.06563182370525e-05 2.2980894533854
"Q9NQ79" 0.0112103610935391 26.0950005564914 4.86635172525124 5.34230698865519e-06 7.06563182370525e-05 2.27845020667729
"P0DOX6" -0.0184391146145467 30.1819106848064 -4.82950117408926 6.17351455970363e-06 7.67012414993481e-05 2.13767338323428
"Q96KN2" -0.0165250432756739 25.4375448703812 -4.80182004957415 6.87946404814521e-06 8.29582429335157e-05 2.03232065228661
"Q15113" 0.0150968192128048 21.4848230084864 4.69900848116558 1.02570063531225e-05 0.00012015350299372 1.64404944347576
"P09172" -0.0181655726810672 23.0840903344452 -4.66919192653902 1.150730019001e-05 0.000127513326429841 1.53235371270165
"P24593" -0.0183252300266573 20.2587163989118 -4.63559936177064 1.32735265590063e-05 0.000143214365505068 1.41295223389918
"Q8IUL8" -0.0230146554066942 16.9878154043516 -4.66694058636962 1.57594042546233e-05 0.000163060740793245 1.36415463250921
"Q14118" 0.0153355601996934 21.1002359023982 4.57689170524293 1.63897443498422e-05 0.000163897443498422 1.189239841303
"A0A0C4DH67" -0.0124555638945908 24.4286798293903 -4.35733421545746 3.74470303712895e-05 0.000357053080284388 0.389781534237129
"P69891" -0.0337743344020063 22.1326722760955 -3.97038955137719 0.000151990446036483 0.0011330196886356 -0.957546171561534
"Q9BUN1" -0.0153952062607725 21.5414918923976 -3.85489621081933 0.000229222017844697 0.00159289876807332 -1.34876903272301
"P04275" 0.0279839622736183 26.6424939513526 3.75727570756113 0.000318233378715539 0.00217459475455618 -1.66322159301104
