Global absolute abundance estimations for all proteins identified in dataset 2 (see supplemental Figure 4 for dataset details)																																																																							
						Protein copies/cell																						Protein Mass (fg) / Cell																						Coefficient of Variance (%) Between Biological Triplicates																					
Uniprot Accession	Description	Gene	Peptides used for quantitation	Confidence score	Molecular weight (Da)	Glucose_copies	LB_copies	Glycerol + AA_copies	Acetate_copies	Fumarate_copies	Glucosamine_copies	Glycerol_copies	Pyruvate_copies	Chemostat µ=0.5_copies	Chemostat µ=0.35_copies	Chemostat µ=0.20_copies	Chemostat µ=0.12_copies	Stationary phase 1 day_copies	Stationary phase 3 days_copies	Osmotic-stress glucose_copies	42°C glucose_copies	pH6 glucose_copies	Xylose_copies	Mannose_copies	Galactose _copies	Succinate_copies	Fructose_copies	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose 	Succinate	Fructose	Glucose_cv	LB_cv	Glycerol + AA_cv	Acetate_cv	Fumarate_cv	Glucosamine_cv	Glycerol_cv	Pyruvate_cv	Chemostat µ=0.5_cv	Chemostat µ=0.35_cv	Chemostat µ=0.20_cv	Chemostat µ=0.12_cv	Stationary phase 1 day_cv	Stationary phase 3 days_cv	Osmotic-stress glucose_cv	42°C glucose_cv	pH6 glucose_cv	Xylose_cv	Mannose_cv	Galactose _cv	Succinate_cv	Fructose_cv
P0A8T7	DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1	rpoC	91	6045.53	155045.008	2779	7164	4503	2180	2444	3316	2845	2730	4780	3900	3477	3000	1735	1907	2248	3985	3339	3632	3401	2258	2764	4517	7.15E-01	1.84E+00	1.16E+00	5.61E-01	6.29E-01	8.54E-01	7.32E-01	7.03E-01	1.23E+00	1.00E+00	8.95E-01	7.72E-01	4.47E-01	4.91E-01	5.79E-01	1.03E+00	8.60E-01	9.35E-01	8.76E-01	5.81E-01	7.12E-01	1.16E+00	20.47	4.82	20.64	10.69	8.87	3.10	10.83	33.45	8.68	1.74	8.99	1.47	6.76	12.08	20.91	13.86	6.14	6.27	16.15	22.87	16.45	9.29
P0A8V2	DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	rpoB	89	5061.29	150520.2758	3957	8888	5199	2661	3199	3999	3749	3714	5245	4388	3860	3455	2379	2227	3254	4923	4032	4437	4143	2820	3855	5269	9.89E-01	2.22E+00	1.30E+00	6.65E-01	8.00E-01	1.00E+00	9.37E-01	9.28E-01	1.31E+00	1.10E+00	9.65E-01	8.64E-01	5.94E-01	5.57E-01	8.13E-01	1.23E+00	1.01E+00	1.11E+00	1.04E+00	7.05E-01	9.64E-01	1.32E+00	18.15	2.91	14.56	10.33	6.12	5.08	7.44	25.11	8.28	2.75	8.53	1.24	14.42	11.18	17.48	10.51	5.93	4.27	13.51	19.75	13.60	7.77
P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	67	4505.67	93420.9457	7596	16600	17548	22844	19491	13753	10792	16395	15733	20261	16410	13763	933	756	2815	4842	4649	6697	16517	12875	19547	8782	1.18E+00	2.58E+00	2.72E+00	3.54E+00	3.02E+00	2.13E+00	1.67E+00	2.54E+00	2.44E+00	3.14E+00	2.55E+00	2.14E+00	1.45E-01	1.17E-01	4.37E-01	7.51E-01	7.21E-01	1.04E+00	2.56E+00	2.00E+00	3.03E+00	1.36E+00	17.23	0.96	3.98	8.11	2.63	5.71	2.22	4.57	4.97	3.10	5.24	0.93	3.93	10.04	16.60	9.57	4.47	21.78	3.16	2.07	4.21	3.25
P15254	Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3	purL	65	4277.71	141295.8984	2456	821	2339	1438	2071	1959	2068	2708	2285	1730	1468	1219	618	735	1318	1885	1708	1721	1764	1570	1913	2406	5.76E-01	1.93E-01	5.49E-01	3.37E-01	4.86E-01	4.60E-01	4.85E-01	6.35E-01	5.36E-01	4.06E-01	3.44E-01	2.86E-01	1.45E-01	1.72E-01	3.09E-01	4.42E-01	4.01E-01	4.04E-01	4.14E-01	3.68E-01	4.49E-01	5.64E-01	9.31	5.12	8.30	1.02	3.24	6.88	4.74	4.28	8.93	4.43	9.08	3.30	7.01	4.02	12.97	11.38	1.78	7.88	1.22	7.69	2.96	6.20
P09831	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3	gltB	64	4111.74	163176.3153	2859	604	652	1363	1281	1977	2204	1691	2321	1959	1771	1379	230	183	834	2979	2723	2496	2079	1398	1553	3858	7.75E-01	1.64E-01	1.77E-01	3.69E-01	3.47E-01	5.36E-01	5.97E-01	4.58E-01	6.29E-01	5.31E-01	4.80E-01	3.74E-01	6.22E-02	4.96E-02	2.26E-01	8.07E-01	7.38E-01	6.76E-01	5.63E-01	3.79E-01	4.21E-01	1.05E+00	6.30	4.23	9.76	21.93	6.04	2.45	9.79	23.57	7.97	5.28	5.38	3.14	17.44	3.98	28.41	17.39	7.84	20.05	17.71	22.36	10.69	8.91
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	59	3547.25	99587.94042	5815	11820	6671	2445	4521	4198	4067	15791	5884	5275	4409	4794	5279	5888	6283	6983	9459	10243	4905	3263	4739	9414	9.62E-01	1.95E+00	1.10E+00	4.04E-01	7.48E-01	6.94E-01	6.73E-01	2.61E+00	9.73E-01	8.72E-01	7.29E-01	7.93E-01	8.73E-01	9.74E-01	1.04E+00	1.15E+00	1.56E+00	1.69E+00	8.11E-01	5.40E-01	7.84E-01	1.56E+00	22.23	2.34	14.36	9.05	2.39	2.18	9.61	22.87	8.33	3.68	9.07	1.24	4.58	9.58	19.84	9.78	8.08	7.27	13.71	20.08	6.64	13.13
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	adhE	58	4443.68	96048.64958	4851	5472	5634	4510	4007	7361	5186	3292	10354	7637	7837	8009	7038	6714	5216	9029	9015	8391	5977	6324	4052	19994	7.74E-01	8.73E-01	8.99E-01	7.19E-01	6.39E-01	1.17E+00	8.27E-01	5.25E-01	1.65E+00	1.22E+00	1.25E+00	1.28E+00	1.12E+00	1.07E+00	8.32E-01	1.44E+00	1.44E+00	1.34E+00	9.53E-01	1.01E+00	6.46E-01	3.19E+00	23.53	4.18	10.32	11.05	6.40	2.82	9.27	27.11	14.63	5.56	10.67	3.89	6.36	7.09	16.80	10.42	13.96	3.19	18.77	20.21	29.64	6.36
P0CE47	Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1	tufA	57	4565.07	43238.30279	252452	443852	368888	149278	190256	173736	191041	187233	180819	142247	112618	102131	86996	88447	214484	250232	192346	216764	192017	140285	195883	233116	1.81E+01	3.19E+01	2.65E+01	1.07E+01	1.37E+01	1.25E+01	1.37E+01	1.34E+01	1.30E+01	1.02E+01	8.09E+00	7.33E+00	6.25E+00	6.35E+00	1.54E+01	1.80E+01	1.38E+01	1.56E+01	1.38E+01	1.01E+01	1.41E+01	1.67E+01	9.45	2.95	3.44	2.92	1.94	3.20	4.70	5.53	5.53	1.56	3.30	2.74	5.04	1.78	1.93	7.95	6.29	0.71	2.96	3.21	3.92	3.95
P25665	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6	metE	56	4067.16	84602.80905	51584	1711	1690	17413	19719	23978	28808	18643	27208	13268	8295	4243	3382	3563	30109	32362	25744	32790	26643	11660	19185	38848	7.25E+00	2.40E-01	2.37E-01	2.45E+00	2.77E+00	3.37E+00	4.05E+00	2.62E+00	3.82E+00	1.86E+00	1.17E+00	5.96E-01	4.75E-01	5.01E-01	4.23E+00	4.55E+00	3.62E+00	4.61E+00	3.74E+00	1.64E+00	2.70E+00	5.46E+00	6.49	3.17	8.99	8.05	4.71	2.20	1.66	2.46	3.61	4.33	3.17	2.59	1.71	12.89	11.51	13.13	5.26	1.05	5.26	16.24	14.80	3.17
